Fri Apr 26 12:50:28 2019
Controller Frequency: 1.00 kHz
Time(s), Time(ns), x, xa, v, va, v_unfilt, f, f_unfilt, xdes, vdes, cmd, LSB, LSF
215, 36355383, 0.000, -0.005, 0.000, -0.074, 0.000, 5.712, 57.123, 0.005, 5.000, 2.580, 0, 0 
215, 37528613, 0.000, -0.010, 0.000, 0.004, 0.000, -1.859, -18.591, 0.010, 5.005, 2.590, 0, 0 
215, 38678393, 0.000, -0.015, 0.000, -0.027, 0.000, 3.553, -21.588, 0.015, 5.010, 2.600, 0, 0 
215, 40047684, 0.000, -0.020, 0.000, -0.032, 0.000, 2.246, -16.067, 0.020, 5.015, 2.610, 0, 0 
215, 41117700, 0.000, -0.025, 0.000, 0.000, 0.000, 0.422, -12.723, 0.025, 5.020, 2.620, 0, 0 
215, 42176239, 0.000, -0.030, 0.000, 0.058, 0.000, -0.885, -9.726, 0.030, 5.025, 2.630, 0, 0 
215, 43188883, 0.000, -0.035, 0.000, 0.071, 0.000, 1.351, 25.355, 0.035, 5.030, 2.640, 0, 0 
215, 44200796, 0.000, -0.040, 0.000, -0.161, 0.000, 13.641, 157.980, 0.040, 5.035, 2.650, 0, 0 
215, 45214550, 0.000, -0.046, 0.000, -0.531, 0.000, 20.650, 202.714, 0.045, 5.040, 2.661, 0, 0 
215, 46229208, 0.000, -0.052, 0.000, -1.212, 0.000, 36.448, 202.714, 0.050, 5.045, 2.673, 0, 0 
215, 47243168, 0.000, -0.058, 0.000, -2.292, 0.000, 56.719, 202.714, 0.055, 5.050, 2.500, 0, 0 
215, 48359712, 0.000, -0.066, 0.000, -3.653, 0.000, 71.278, 202.714, 0.060, 5.055, 2.500, 0, 0 
215, 49372105, 0.000, -0.076, 0.000, -5.444, 0.000, 93.409, 202.714, 0.065, 5.060, 2.500, 0, 0 
215, 50427077, 0.000, -0.088, 0.000, -7.668, 0.000, 115.839, 202.714, 0.070, 5.065, 2.500, 0, 0 
215, 51503727, 0.000, -0.102, 0.000, -10.309, 0.000, 137.717, 202.714, 0.076, 5.070, 2.500, 0, 0 
215, 52516182, 0.000, -0.118, 0.000, -13.183, 0.000, 150.434, 114.444, 0.081, 5.075, 2.500, 0, 0 
215, 53527713, 0.000, -0.138, 0.000, -16.298, 0.000, 163.715, 34.819, 0.086, 5.080, 2.500, 0, 0 
215, 54538671, 0.000, -0.161, 0.000, -19.445, 0.000, 166.564, -25.784, 0.091, 5.085, 2.500, 0, 0 
215, 55568274, 0.000, -0.187, 0.000, -22.333, 0.000, 154.800, -20.263, 0.096, 5.091, 2.500, 0, 0 
215, 56888368, 0.000, -0.216, 0.000, -24.749, 0.000, 132.266, -17.108, 0.101, 5.096, 2.500, 0, 0 
215, 57898741, 0.000, -0.247, 0.000, -26.707, 0.000, 110.299, -13.796, 0.106, 5.101, 2.500, 0, 0 
215, 58909594, 0.000, -0.279, 0.000, -28.218, 0.000, 88.610, -10.862, 0.111, 5.106, 2.500, 0, 0 
215, 59921642, 0.000, -0.313, 0.000, -29.388, 0.000, 72.108, 40.624, 0.116, 5.111, 2.500, 0, 0 
215, 60930539, 0.000, -0.348, 0.000, -30.352, 0.000, 62.246, 155.582, 0.121, 5.116, 2.500, 0, 0 
215, 61939401, 0.000, -0.384, 0.000, -31.080, 0.000, 50.750, 202.714, 0.127, 5.121, 2.500, 0, 0 
215, 62947702, 0.000, -0.421, 0.000, -31.707, 0.000, 46.037, 202.714, 0.132, 5.126, 2.820, 0, 0 
215, 63955918, 0.000, -0.458, 0.000, -32.505, 0.000, 54.864, 202.714, 0.137, 5.131, 2.500, 0, 0 
215, 64963438, 0.000, -0.496, 0.000, -33.631, 0.000, 71.654, 202.714, 0.142, 5.136, 2.500, 0, 0 
215, 65972147, 0.000, -0.536, 0.000, -35.204, 0.000, 94.503, 202.714, 0.147, 5.142, 2.500, 0, 0 
215, 66982789, 0.000, -0.577, 0.000, -37.208, 0.000, 116.801, 202.714, 0.152, 5.147, 2.500, 0, 0 
215, 67993008, 0.000, -0.620, 0.000, -39.633, 0.000, 138.783, 202.714, 0.157, 5.152, 2.500, 0, 0 
215, 69003394, 0.000, -0.667, 0.000, -42.389, 0.000, 156.333, 161.702, 0.162, 5.157, 2.500, 0, 0 
215, 70014458, 0.000, -0.716, 0.000, -45.316, 0.000, 166.075, 45.545, 0.168, 5.162, 2.500, 0, 0 
215, 71022804, 0.000, -0.768, 0.000, -48.323, 0.000, 171.227, -24.017, 0.173, 5.167, 2.500, 0, 0 
215, 72157664, 0.000, -0.823, 0.000, -51.086, 0.000, 160.195, -24.301, 0.178, 5.172, 2.500, 0, 0 
215, 73167132, 0.000, -0.880, 0.000, -53.383, 0.000, 137.913, -20.389, 0.183, 5.178, 2.500, 0, 0 
215, 74175853, 0.000, -0.939, 0.000, -55.215, 0.000, 115.492, -17.581, 0.188, 5.183, 2.500, 0, 0 
215, 75186150, 0.000, -1.001, 0.000, -56.594, 0.000, 93.513, -14.269, 0.194, 5.188, 2.500, 0, 0 
215, 76199621, 0.000, -1.063, 0.000, -57.529, 0.000, 71.786, -11.240, 0.199, 5.193, 2.500, 0, 0 
215, 77207301, 0.000, -1.126, 0.000, -58.208, 0.000, 59.300, 80.878, 0.204, 5.198, 2.500, 0, 0 
215, 78212671, 0.000, -1.189, 0.000, -58.683, 0.000, 49.324, 195.080, 0.209, 5.203, 2.820, 0, 0 
215, 79221037, 0.000, -1.253, 0.000, -58.926, 0.000, 37.904, 202.714, 0.214, 5.209, 2.820, 0, 0 
215, 80226109, 0.000, -1.318, 0.000, -59.233, 0.000, 41.242, 202.714, 0.220, 5.214, 2.820, 0, 0 
215, 81234750, 0.000, -1.383, 0.000, -59.851, 0.000, 56.959, 202.714, 0.225, 5.219, 2.500, 0, 0 
215, 82272473, 0.000, -1.448, 0.000, -60.916, 0.000, 79.632, 202.714, 0.230, 5.224, 2.500, 0, 0 
215, 83351710, 0.000, -1.515, 0.000, -62.424, 0.000, 102.333, 202.714, 0.235, 5.229, 2.500, 0, 0 
215, 84357741, 0.000, -1.584, 0.000, -64.364, 0.000, 124.644, 202.714, 0.240, 5.235, 2.500, 0, 0 
215, 85362966, 0.000, -1.654, 0.000, -66.720, 0.000, 146.323, 199.212, 0.246, 5.240, 2.500, 0, 0 
215, 86371556, 0.000, -1.728, 0.000, -69.264, 0.000, 156.693, 85.926, 0.251, 5.245, 2.500, 0, 0 
215, 87378211, 0.000, -1.804, 0.000, -72.046, 0.000, 169.624, 4.786, 0.256, 5.250, 2.500, 0, 0 
215, 88395040, 0.000, -1.882, 0.000, -74.754, 0.000, 167.110, -25.405, 0.261, 5.256, 2.500, 0, 0 
215, 89515480, 0.000, -1.963, 0.000, -77.068, 0.000, 148.377, -22.440, 0.267, 5.261, 2.500, 0, 0 
215, 90522903, 0.000, -2.047, 0.000, -78.917, 0.000, 126.000, -18.086, 0.272, 5.266, 2.500, 0, 0 
215, 91528439, 0.000, -2.132, 0.000, -80.309, 0.000, 103.772, -15.215, 0.277, 5.271, 2.500, 0, 0 
215, 92535060, 0.000, -2.218, 0.000, -81.256, 0.000, 81.992, -12.218, 0.283, 5.277, 2.500, 0, 0 
215, 93540280, 0.000, -2.304, 0.000, -81.875, 0.000, 65.978, 45.577, 0.288, 5.282, 2.500, 0, 0 
215, 94545306, 0.000, -2.392, 0.000, -82.290, 0.000, 55.927, 159.999, 0.293, 5.287, 2.500, 0, 0 
215, 95550341, 0.000, -2.480, 0.000, -82.472, 0.000, 44.485, 202.714, 0.298, 5.292, 2.820, 0, 0 
215, 96555464, 0.000, -2.567, 0.000, -82.575, 0.000, 40.564, 202.714, 0.304, 5.298, 2.820, 0, 0 
215, 97560495, 0.000, -2.655, 0.000, -82.910, 0.000, 52.242, 202.714, 0.309, 5.303, 2.500, 0, 0 
215, 98566378, 0.000, -2.744, 0.000, -83.636, 0.000, 72.035, 202.714, 0.314, 5.308, 2.500, 0, 0 
215, 99578187, 0.000, -2.834, 0.000, -84.811, 0.000, 94.847, 202.714, 0.320, 5.314, 2.500, 0, 0 
215, 100585913, 0.000, -2.924, 0.000, -86.424, 0.000, 117.363, 202.714, 0.325, 5.319, 2.500, 0, 0 
215, 101592897, 0.000, -3.017, 0.000, -88.464, 0.000, 139.443, 202.714, 0.330, 5.324, 2.500, 0, 0 
215, 102610832, 0.000, -3.112, 0.000, -90.760, 0.000, 153.118, 121.543, 0.336, 5.329, 2.500, 0, 0 
