Fri Dec  7 12:09:43 2018
Controller Frequency: 1000.000 kHz
Time(s), Time(ns), x, xa, v, va, v_unfilt, f, f_unfilt, xdes, vdes, cmd, LSB, LSF
1043, 116752522, -1.550, 201.550, -0.000, -7.517, -0.001, 0.677, 6.766, 200.000, 0.000, 2.826, 0, 0 
1043, 120444834, -1.550, 201.550, 0.000, -7.728, 0.000, 0.696, 6.956, 200.000, 0.000, 2.825, 0, 0 
1043, 121986043, -1.550, 201.550, -0.000, -15.095, 0.000, 1.359, 6.820, 200.000, 0.000, 2.818, 0, 0 
1043, 123488177, -1.550, 201.550, -0.000, -23.110, 0.000, 2.080, 7.078, 200.000, 0.000, 2.810, 0, 0 
1043, 125043345, -1.550, 201.550, -0.000, -29.829, 0.000, 2.685, 6.305, 200.000, 0.000, 2.803, 0, 0 
1043, 126542983, -1.550, 201.550, -0.000, -38.326, 0.000, 3.449, 6.874, 200.000, 0.000, 2.795, 0, 0 
1043, 127669164, -1.550, 201.550, -0.000, -45.391, 0.000, 4.085, 6.929, 200.000, 0.000, 2.788, 0, 0 
1043, 129046653, -1.550, 201.550, -0.000, -52.743, 0.000, 4.747, 6.671, 200.000, 0.000, 2.780, 0, 0 
1043, 130416137, -1.550, 201.550, -0.000, -60.487, 0.000, 5.444, 6.711, 200.000, 0.000, 2.773, 0, 0 
1043, 131574164, -1.550, 201.550, -0.000, -67.748, 0.000, 6.097, 6.576, 200.000, 0.000, 2.765, 0, 0 
1043, 132909528, -1.550, 201.550, -0.000, -75.356, 0.000, 6.782, 6.711, 200.000, 0.000, 2.758, 1, 0 
1043, 134324557, -1.550, 201.550, 0.000, -75.250, 0.000, 6.773, 6.806, 200.000, 0.000, 2.758, 1, 0 
1043, 135576842, -1.550, 201.550, 0.000, -75.265, 0.000, 6.774, 7.064, 200.000, 0.000, 2.758, 1, 0 
1043, 136942474, -1.550, 201.550, 0.000, -75.069, 0.000, 6.756, 6.901, 200.000, 0.000, 2.758, 1, 0 
1043, 138266445, -1.550, 201.550, 0.000, -74.994, 0.000, 6.749, 6.847, 200.000, 0.000, 2.758, 1, 0 
1043, 139465219, -1.550, 201.550, 0.000, -75.537, 0.000, 6.798, 6.739, 200.000, 0.000, 2.758, 1, 0 
1043, 140647403, -1.550, 201.550, 0.000, -75.612, 0.000, 6.805, 6.834, 200.000, 0.000, 2.757, 1, 0 
1043, 141780305, -1.550, 201.550, 0.000, -75.612, 0.000, 6.805, 7.023, 200.000, 0.000, 2.757, 1, 0 
1043, 142821160, -1.550, 201.550, 0.000, -75.687, 0.000, 6.812, 6.929, 200.000, 0.000, 2.757, 1, 0 
1043, 143838289, -1.550, 201.550, 0.000, -75.883, 0.000, 6.829, 6.793, 200.000, 0.000, 2.757, 1, 0 
1043, 145158201, -1.550, 201.550, 0.000, -76.200, 0.000, 6.858, 6.725, 200.000, 0.000, 2.757, 1, 0 
1043, 146397670, -1.550, 201.550, 0.000, -76.366, 0.000, 6.873, 6.793, 200.000, 0.000, 2.757, 1, 0 
1043, 147558373, -1.550, 201.550, 0.000, -76.275, 0.000, 6.865, 6.793, 200.000, 0.000, 2.757, 1, 0 
1043, 148770259, -1.550, 201.550, 0.000, -75.989, 0.000, 6.839, 6.806, 200.000, 0.000, 2.757, 1, 0 
1043, 149924107, -1.550, 201.550, 0.000, -75.657, 0.000, 6.809, 6.617, 200.000, 0.000, 2.757, 1, 0 
1043, 151065255, -1.550, 201.550, 0.000, -76.185, 0.000, 6.857, 7.132, 200.000, 0.000, 2.757, 1, 0 
1043, 152234210, -1.550, 201.550, 0.000, -75.913, 0.000, 6.832, 7.010, 200.000, 0.000, 2.757, 1, 0 
1043, 153361002, -1.550, 201.550, 0.000, -76.109, 0.000, 6.850, 6.888, 200.000, 0.000, 2.757, 1, 0 
1043, 154461398, -1.550, 201.550, 0.000, -76.034, 0.000, 6.843, 6.834, 200.000, 0.000, 2.757, 1, 0 
1043, 155539513, -1.550, 201.550, 0.000, -76.109, 0.000, 6.850, 6.942, 200.000, 0.000, 2.757, 1, 0 
1043, 156777446, -1.550, 201.550, 0.000, -75.913, 0.000, 6.832, 6.725, 200.000, 0.000, 2.757, 1, 0 
1043, 157930028, -1.550, 201.550, 0.000, -76.139, 0.000, 6.853, 6.711, 200.000, 0.000, 2.757, 1, 0 
1043, 158940948, -1.550, 201.550, 0.000, -76.697, 0.000, 6.903, 7.281, 200.000, 0.000, 2.756, 1, 0 
1043, 159952714, -1.550, 201.550, 0.000, -75.974, 0.000, 6.838, 6.711, 200.000, 0.000, 2.757, 1, 0 
1043, 160963055, -1.550, 201.550, 0.000, -76.667, 0.000, 6.900, 6.861, 200.000, 0.000, 2.756, 1, 0 
1043, 161975273, -1.550, 201.550, 0.000, -76.848, 0.000, 6.916, 6.929, 200.000, 0.000, 2.756, 1, 0 
1043, 162983009, -1.550, 201.550, 0.000, -76.335, 0.000, 6.870, 6.739, 200.000, 0.000, 2.757, 1, 0 
1043, 163991783, -1.550, 201.550, 0.000, -76.396, 0.000, 6.876, 6.874, 200.000, 0.000, 2.757, 1, 0 
1043, 165000760, -1.550, 201.550, 0.000, -76.230, 0.000, 6.861, 6.874, 200.000, 0.000, 2.757, 1, 0 
1043, 166009775, -1.550, 201.550, 0.000, -76.305, 0.000, 6.867, 6.901, 200.000, 0.000, 2.757, 1, 0 
1043, 167046858, -1.550, 201.550, 0.000, -76.260, 0.000, 6.863, 6.929, 200.000, 0.000, 2.757, 1, 0 
1043, 168056172, -1.550, 201.550, 0.000, -75.823, 0.000, 6.824, 6.359, 200.000, 0.000, 2.757, 1, 0 
1043, 169064960, -1.550, 201.550, 0.000, -76.486, 0.000, 6.884, 6.739, 200.000, 0.000, 2.757, 1, 0 
1043, 170171300, -1.550, 201.550, 0.000, -75.672, 0.000, 6.810, 6.929, 200.000, 0.000, 2.757, 1, 0 
1043, 171249770, -1.550, 201.550, 0.000, -75.386, 0.000, 6.785, 6.644, 200.000, 0.000, 2.758, 1, 0 
1043, 172260460, -1.550, 201.550, 0.000, -75.642, 0.000, 6.808, 6.806, 200.000, 0.000, 2.757, 1, 0 
1043, 173264795, -1.550, 201.550, 0.000, -75.506, 0.000, 6.796, 6.969, 200.000, 0.000, 2.758, 1, 0 
1043, 174270420, -1.550, 201.550, 0.000, -75.476, 0.000, 6.793, 6.874, 200.000, 0.000, 2.758, 1, 0 
1043, 175274108, -1.550, 201.550, 0.000, -75.642, 0.000, 6.808, 6.929, 200.000, 0.000, 2.757, 1, 0 
1043, 176277163, -1.550, 201.550, 0.000, -75.823, 0.000, 6.824, 7.091, 200.000, 0.000, 2.757, 1, 0 
1043, 177291249, -1.550, 201.550, 0.000, -75.295, 0.000, 6.777, 6.589, 200.000, 0.000, 2.758, 1, 0 
1043, 178294251, -1.550, 201.550, 0.000, -75.793, 0.000, 6.821, 6.874, 200.000, 0.000, 2.757, 1, 0 
1043, 179296966, -1.550, 201.550, 0.000, -76.215, 0.000, 6.859, 7.023, 200.000, 0.000, 2.757, 1, 0 
1043, 180299370, -1.550, 201.550, 0.000, -76.079, 0.000, 6.847, 6.766, 200.000, 0.000, 2.757, 1, 0 
1043, 181302241, -1.550, 201.550, 0.000, -76.381, 0.000, 6.874, 6.942, 200.000, 0.000, 2.757, 1, 0 
1043, 182305081, -1.550, 201.550, 0.000, -76.501, 0.000, 6.885, 6.929, 200.000, 0.000, 2.757, 1, 0 
1043, 183387318, -1.550, 201.550, 0.000, -76.516, 0.000, 6.886, 6.806, 200.000, 0.000, 2.757, 1, 0 
1043, 184469040, -1.550, 201.550, 0.000, -76.908, 0.000, 6.922, 7.200, 200.000, 0.000, 2.756, 1, 0 
1043, 185540305, -1.550, 201.550, 0.000, -76.170, 0.000, 6.855, 6.603, 200.000, 0.000, 2.757, 1, 0 
1043, 186544057, -1.550, 201.550, 0.000, -76.622, 0.000, 6.896, 6.739, 200.000, 0.000, 2.756, 1, 0 
1043, 187638627, -1.550, 201.550, 0.000, -76.155, 0.000, 6.854, 6.806, 200.000, 0.000, 2.757, 1, 0 
1043, 188643025, -1.550, 201.550, 0.000, -76.215, 0.000, 6.859, 6.711, 200.000, 0.000, 2.757, 1, 0 
1043, 189647445, -1.550, 201.550, 0.000, -76.064, 0.000, 6.846, 6.644, 200.000, 0.000, 2.757, 1, 0 
1043, 190736214, -1.550, 201.550, 0.000, -75.612, 0.000, 6.805, 6.549, 200.000, 0.000, 2.757, 1, 0 
1043, 191836529, -1.550, 201.550, 0.000, -75.793, 0.000, 6.821, 6.834, 200.000, 0.000, 2.757, 1, 0 
1043, 192940856, -1.550, 201.550, 0.000, -74.828, 0.000, 6.735, 6.359, 200.000, 0.000, 2.758, 1, 0 
1043, 194038974, -1.550, 201.550, 0.000, -75.356, 0.000, 6.782, 6.929, 200.000, 0.000, 2.758, 1, 0 
1043, 195140585, -1.550, 201.550, 0.000, -74.798, 0.000, 6.732, 6.874, 200.000, 0.000, 2.758, 1, 0 
1043, 196243370, -1.550, 201.550, 0.000, -74.783, 0.000, 6.730, 7.132, 200.000, 0.000, 2.758, 1, 0 
1043, 197342986, -1.550, 201.550, 0.000, -74.919, 0.000, 6.743, 6.983, 200.000, 0.000, 2.758, 1, 0 
1043, 198453059, -1.550, 201.550, 0.000, -75.295, 0.000, 6.777, 6.929, 200.000, 0.000, 2.758, 1, 0 
1043, 199531177, -1.550, 201.550, 0.000, -75.250, 0.000, 6.773, 6.711, 200.000, 0.000, 2.758, 1, 0 
1043, 200634499, -1.550, 201.550, 0.000, -75.702, 0.000, 6.813, 6.901, 200.000, 0.000, 2.757, 1, 0 
1043, 201750168, -1.550, 201.550, 0.000, -75.612, 0.000, 6.805, 6.752, 200.000, 0.000, 2.757, 1, 0 
1043, 202754068, -1.550, 201.550, 0.000, -76.139, 0.000, 6.853, 6.874, 200.000, 0.000, 2.757, 1, 0 
1043, 203869886, -1.550, 201.550, 0.000, -75.944, 0.000, 6.835, 6.779, 200.000, 0.000, 2.757, 1, 0 
1043, 204984471, -1.550, 201.550, 0.000, -76.848, 0.000, 6.916, 7.078, 200.000, 0.000, 2.756, 1, 0 
1043, 205991023, -1.550, 201.550, 0.000, -76.275, 0.000, 6.865, 6.711, 200.000, 0.000, 2.757, 1, 0 
1043, 207077977, -1.550, 201.550, 0.000, -76.712, 0.000, 6.904, 6.901, 200.000, 0.000, 2.756, 1, 0 
1043, 208082359, -1.550, 201.550, 0.000, -76.290, 0.000, 6.866, 6.942, 200.000, 0.000, 2.757, 1, 0 
1043, 209202083, -1.550, 201.550, 0.000, -76.155, 0.000, 6.854, 6.901, 200.000, 0.000, 2.757, 1, 0 
1043, 210301683, -1.550, 201.550, 0.000, -76.079, 0.000, 6.847, 6.820, 200.000, 0.000, 2.757, 1, 0 
1043, 211305764, -1.550, 201.550, 0.000, -76.200, 0.000, 6.858, 6.739, 200.000, 0.000, 2.757, 1, 0 
