Fri Feb 22 14:11:27 2019
Controller Frequency: 1.00 kHz
Time(s), Time(ns), x, xa, v, va, v_unfilt, f, f_unfilt, xdes, vdes, cmd, LSB, LSF
178685, 450087712, 0.000, 0.000, 0.000, 0.000, 0.000, 0.006, 0.060, 200.000, 0.000, 1.840, 0, 0 
178685, 451577968, 0.000, 0.000, 0.000, 0.000, 0.000, -0.010, -0.098, 200.000, 0.000, 1.840, 0, 0 
178685, 452895624, 0.000, 0.000, 0.000, 0.000, 0.000, -0.029, -0.350, 200.000, 0.000, 1.840, 0, 0 
178685, 454178819, 0.001, 0.000, 0.090, 0.000, 0.896, -0.108, -1.044, 200.000, 0.000, 1.840, 0, 0 
178685, 455569968, 0.005, 0.000, 0.248, 0.000, 2.480, -0.045, -0.066, 200.000, 0.000, 1.841, 0, 0 
178685, 456982055, 0.008, 0.000, 0.334, 0.000, 2.443, -0.131, 0.123, 200.000, 0.000, 1.841, 0, 0 
178685, 458247374, 0.011, 0.000, 0.610, 0.000, 2.727, -0.169, -0.193, 200.000, 0.000, 1.841, 0, 0 
178685, 459441903, 0.016, 0.000, 0.967, 0.000, 3.851, -0.160, -0.224, 200.000, 0.000, 1.842, 0, 0 
178685, 460685568, 0.021, 0.000, 1.224, 0.000, 3.699, -0.182, -0.256, 200.000, 0.000, 1.843, 0, 0 
178685, 461877789, 0.026, 0.000, 1.722, 0.000, 4.823, -0.249, -0.697, 200.000, 0.000, 1.844, 0, 0 
178685, 462898602, 0.032, 0.000, 2.173, 0.000, 5.633, -0.218, -0.129, 200.000, 0.000, 1.844, 0, 0 
178685, 464247046, 0.039, 0.000, 2.604, 0.000, 5.117, -0.316, -0.350, 200.000, 0.000, 1.845, 0, 0 
178685, 465461320, 0.047, 0.000, 3.318, 0.000, 6.629, -0.271, 0.123, 200.000, 0.000, 1.847, 0, 0 
178685, 466473691, 0.056, 0.000, 4.076, 0.000, 9.088, -0.281, 0.028, 200.000, 0.000, 1.848, 0, 0 
178685, 467662590, 0.064, 0.000, 4.417, 0.000, 6.771, -0.177, -0.098, 200.000, 0.000, 1.849, 0, 0 
178685, 468745529, 0.072, 0.000, 5.144, 0.000, 7.433, -0.060, 0.975, 200.000, 0.000, 1.851, 0, 0 
178685, 469829099, 0.083, 0.000, 5.789, 0.000, 9.552, -0.227, -0.476, 200.000, 0.000, 1.852, 0, 0 
178685, 470926785, 0.092, 0.000, 6.143, 0.000, 8.381, -0.085, -0.224, 200.000, 0.000, 1.853, 0, 0 
178685, 472029379, 0.102, 0.000, 6.813, 0.000, 9.387, -0.085, 0.028, 200.000, 0.000, 1.854, 0, 0 
178685, 473135809, 0.112, 0.000, 7.174, 0.000, 8.315, -0.088, -0.035, 200.000, 0.000, 1.855, 0, 0 
178685, 474245249, 0.122, 0.000, 7.732, 0.000, 9.329, -0.010, 0.028, 200.000, 0.000, 1.856, 0, 0 
178685, 475251029, 0.132, 0.000, 8.096, 0.000, 10.291, -0.003, -0.003, 200.000, 0.000, 1.857, 0, 0 
178685, 476255887, 0.141, 0.000, 8.404, 0.000, 9.156, 0.035, -0.003, 200.000, 0.000, 1.857, 0, 0 
