Fri May 31 14:49:49 2019
Controller Frequency: 1.00 kHz
Time(s), Time(ns), x, xa, v, va, v_unfilt, f, f_unfilt, xdes, vdes, cmd, LSB, LSF
865376, 15187133, 0.000, -0.005, 0.000, 0.042, 0.000, -0.099, -0.991, 0.005, 5.000, 2.500, 0, 0 
865376, 16190679, 0.000, -0.010, 0.000, 0.082, 0.000, -0.036, -0.360, 0.010, 5.005, 2.500, 0, 0 
865376, 17285918, 0.000, -0.015, 0.000, 0.124, 0.000, -0.122, -0.233, 0.015, 5.011, 2.500, 0, 0 
865376, 18292387, 0.000, -0.020, 0.000, 0.166, 0.000, -0.136, -0.013, 0.020, 5.016, 2.500, 0, 0 
865376, 19298780, 0.000, -0.025, 0.000, 0.209, 0.000, -0.204, -0.454, 0.025, 5.021, 2.500, 0, 0 
865376, 20338874, 0.000, -0.029, 0.000, 0.252, 0.000, -0.221, -0.612, 0.030, 5.027, 2.500, 0, 0 
865376, 21359142, 0.000, -0.034, 0.000, 0.294, 0.000, -0.150, 0.555, 0.035, 5.032, 2.500, 0, 0 
865376, 22687748, 0.000, -0.039, 0.000, 0.336, 0.000, -0.198, 0.681, 0.040, 5.037, 2.500, 0, 0 
865376, 23695722, 0.000, -0.043, 0.000, 0.379, 0.000, -0.272, -0.612, 0.045, 5.043, 2.500, 0, 0 
865376, 24730747, 0.000, -0.048, 0.000, 0.421, 0.000, -0.204, -0.612, 0.050, 5.048, 2.500, 0, 0 
865376, 25835225, 0.000, -0.053, 0.000, 0.463, 0.000, -0.240, -0.360, 0.055, 5.053, 2.500, 1, 0 
865376, 26862819, 0.000, -0.057, 0.000, 0.506, 0.000, -0.240, -0.738, 0.060, 5.059, 2.500, 1, 0 
865376, 27892728, 0.000, -0.062, 0.000, 0.546, 0.000, -0.196, -0.297, 0.065, 5.064, 2.500, 1, 0 
865376, 28929777, 0.000, -0.066, 0.000, 0.588, 0.000, -0.218, -0.013, 0.070, 5.069, 2.500, 1, 0 
865376, 29967241, 0.000, -0.071, 0.000, 0.631, 0.000, -0.315, -0.707, 0.076, 5.075, 2.500, 1, 0 
865376, 31007504, 0.000, -0.075, 0.000, 0.673, 0.000, -0.315, -1.148, 0.081, 5.080, 2.500, 1, 0 
865376, 32045925, 0.000, -0.080, 0.000, 0.713, 0.000, -0.208, 0.019, 0.086, 5.086, 2.500, 1, 0 
865376, 33129581, 0.000, -0.084, 0.000, 0.757, 0.000, -0.388, -0.076, 0.091, 5.091, 2.500, 1, 0 
865376, 34169484, 0.000, -0.088, 0.000, 0.803, 0.000, -0.521, -0.738, 0.096, 5.096, 2.500, 1, 0 
865376, 35174770, 0.000, -0.093, 0.000, 0.847, 0.000, -0.448, -0.549, 0.101, 5.102, 2.500, 1, 0 
865376, 36199444, 0.000, -0.097, 0.000, 0.892, 0.000, -0.467, -0.612, 0.106, 5.107, 2.500, 1, 0 
865376, 37204941, 0.000, -0.101, 0.000, 0.936, 0.000, -0.480, -0.549, 0.111, 5.113, 2.500, 1, 0 
865376, 38230647, 0.000, -0.105, 0.000, 0.980, 0.000, -0.470, -0.580, 0.116, 5.118, 2.500, 1, 0 
865376, 39237193, 0.000, -0.109, 0.000, 1.025, 0.000, -0.517, -0.801, 0.121, 5.123, 2.500, 1, 0 
