Mon Apr 22 16:08:18 2019
Controller Frequency: 1.00 kHz
Time(s), Time(ns), x, xa, v, va, v_unfilt, f, f_unfilt, xdes, vdes, cmd, LSB, LSF
872266, 74165990, 0.000, -0.005, 0.000, 0.036, 0.000, 0.199, 1.994, 0.005, 5.000, 2.500, 0, 0 
872266, 75178624, 0.000, -0.010, 0.000, 0.073, 0.000, 0.133, 1.331, 0.010, 5.005, 2.500, 0, 0 
872266, 76190462, 0.000, -0.015, 0.000, 0.103, 0.000, 0.456, 2.562, 0.015, 5.010, 2.500, 0, 0 
872266, 77201556, 0.000, -0.020, 0.000, 0.132, 0.000, 0.510, 1.773, 0.020, 5.015, 2.500, 0, 0 
872266, 78213631, 0.000, -0.025, 0.000, 0.156, 0.000, 0.750, 1.615, 0.025, 5.020, 2.500, 0, 0 
872266, 79225042, 0.000, -0.029, 0.000, 0.176, 0.000, 0.956, 1.899, 0.030, 5.025, 2.500, 0, 0 
872266, 80233100, 0.000, -0.034, 0.000, 0.194, 0.000, 1.054, 1.268, 0.035, 5.030, 2.500, 0, 0 
872266, 81241775, 0.000, -0.039, 0.000, 0.208, 0.000, 1.238, 1.205, 0.040, 5.035, 2.500, 0, 0 
872266, 82251408, 0.000, -0.044, 0.000, 0.220, 0.000, 1.324, 0.795, 0.045, 5.040, 2.500, 0, 0 
872266, 83261929, 0.000, -0.049, 0.000, 0.229, 0.000, 1.498, 1.331, 0.050, 5.045, 2.500, 0, 0 
872266, 84268750, 0.000, -0.054, 0.000, 0.233, 0.000, 1.729, 2.846, 0.055, 5.050, 2.500, 1, 0 
872266, 85278075, 0.000, -0.058, 0.000, 0.239, 0.000, 1.650, 2.719, 0.060, 5.055, 2.500, 1, 0 
872266, 86307411, 0.000, -0.063, 0.000, 0.245, 0.000, 1.644, 1.142, 0.065, 5.060, 2.500, 1, 0 
872266, 87315008, 0.000, -0.068, 0.000, 0.250, 0.000, 1.697, 1.521, 0.070, 5.065, 2.500, 1, 0 
872266, 88343078, 0.000, -0.073, 0.000, 0.255, 0.000, 1.672, 1.899, 0.076, 5.070, 2.500, 1, 0 
872266, 89353231, 0.000, -0.078, 0.000, 0.262, 0.000, 1.596, 1.237, 0.081, 5.075, 2.500, 1, 0 
872266, 90367368, 0.000, -0.083, 0.000, 0.271, 0.000, 1.502, 0.290, 0.086, 5.080, 2.500, 1, 0 
872266, 91375364, 0.000, -0.087, 0.000, 0.276, 0.000, 1.685, 2.152, 0.091, 5.085, 2.500, 1, 0 
872266, 92383914, 0.000, -0.092, 0.000, 0.284, 0.000, 1.543, 1.647, 0.096, 5.091, 2.500, 1, 0 
872266, 93401688, 0.000, -0.097, 0.000, 0.290, 0.000, 1.647, 1.331, 0.101, 5.096, 2.500, 1, 0 
872266, 94450644, 0.000, -0.102, 0.000, 0.294, 0.000, 1.738, 1.931, 0.106, 5.101, 2.500, 1, 0 
872266, 95456887, 0.000, -0.107, 0.000, 0.302, 0.000, 1.577, 1.836, 0.111, 5.106, 2.500, 1, 0 
872266, 96487188, 0.000, -0.111, 0.000, 0.311, 0.000, 1.473, 1.584, 0.116, 5.111, 2.500, 1, 0 
872266, 97494901, 0.000, -0.116, 0.000, 0.320, 0.000, 1.499, 1.142, 0.121, 5.116, 2.500, 1, 0 
872266, 98504018, 0.000, -0.121, 0.000, 0.327, 0.000, 1.593, 2.025, 0.127, 5.121, 2.500, 1, 0 
872266, 99511518, 0.000, -0.126, 0.000, 0.337, 0.000, 1.442, 1.268, 0.132, 5.126, 2.500, 1, 0 
872266, 100517613, 0.000, -0.131, 0.000, 0.347, 0.000, 1.423, 0.290, 0.137, 5.131, 2.500, 1, 0 
872266, 101545383, 0.000, -0.135, 0.000, 0.355, 0.000, 1.581, 0.890, 0.142, 5.136, 2.500, 1, 0 
