Mon Jan 21 10:40:13 2019
Controller Frequency: 1.00 kHz
Time(s), Time(ns), x, xa, v, va, v_unfilt, f, f_unfilt, xdes, vdes, cmd, LSB, LSF
3109, 622158912, 0.000, 0.000, 0.000, 0.000, 0.000, -0.001, -0.014, 200.000, 0.000, 2.830, 0, 0 
3109, 623712222, 0.000, 0.000, 0.000, 0.000, 0.000, -0.001, -0.009, 200.000, 0.000, 2.830, 0, 0 
3109, 625432079, 0.000, 0.000, 0.000, 0.000, 0.000, -0.002, -0.004, 200.000, 0.000, 2.830, 0, 0 
3109, 626924171, 0.000, 0.000, 0.000, 0.000, 0.000, -0.004, -0.014, 200.000, 0.000, 2.830, 0, 0 
3109, 628428707, 0.000, 0.000, 0.000, 0.000, 0.000, -0.003, -0.002, 200.000, 0.000, 2.830, 0, 0 
3109, 629945133, 0.000, 0.000, 0.000, 0.000, 0.000, -0.004, -0.002, 200.000, 0.000, 2.830, 0, 0 
3109, 631310713, 0.000, 0.000, 0.000, 0.000, 0.000, -0.006, -0.014, 200.000, 0.000, 2.830, 0, 0 
3109, 632488445, 0.000, 0.000, 0.000, 0.000, 0.000, -0.007, -0.021, 200.000, 0.000, 2.830, 0, 0 
3109, 633844013, 0.000, 0.000, 0.000, 0.000, 0.000, -0.007, -0.014, 200.000, 0.000, 2.830, 0, 0 
3109, 635092314, 0.000, 0.000, 0.000, 0.000, 0.000, -0.010, -0.014, 200.000, 0.000, 2.830, 0, 0 
3109, 636207311, 0.000, 0.000, 0.000, 0.000, 0.000, -0.011, -0.019, 200.000, 0.000, 2.830, 0, 0 
3109, 637570212, 0.000, 0.000, 0.000, 0.000, 0.000, -0.012, -0.024, 200.000, 0.000, 2.830, 0, 0 
3109, 638575137, 0.000, 0.000, 0.000, 0.000, 0.000, -0.013, -0.024, 200.000, 0.000, 2.830, 0, 0 
3109, 639579832, 0.000, 0.000, 0.000, 0.000, 0.000, -0.015, -0.021, 200.000, 0.000, 2.830, 0, 0 
3109, 640584548, 0.000, 0.000, 0.000, 0.000, 0.000, -0.014, -0.004, 200.000, 0.000, 2.830, 0, 0 
3109, 641589276, 0.000, 0.000, 0.000, 0.000, 0.000, -0.017, -0.014, 200.000, 0.000, 2.830, 0, 0 
3109, 642593697, 0.000, 0.000, 0.000, 0.000, 0.000, -0.017, -0.009, 200.000, 0.000, 2.830, 0, 0 
3109, 643600333, 0.000, 0.000, 0.000, 0.000, 0.000, -0.015, 0.008, 200.000, 0.000, 2.830, 0, 0 
3109, 644625718, 0.000, 0.000, 0.000, 0.000, 0.000, -0.016, -0.019, 200.000, 0.000, 2.830, 0, 0 
3109, 645629776, 0.000, 0.000, 0.000, 0.000, 0.000, -0.015, -0.024, 200.000, 0.000, 2.830, 0, 0 
3109, 646738354, 0.000, 0.000, 0.000, 0.000, 0.000, -0.014, -0.012, 200.000, 0.000, 2.830, 0, 0 
3109, 647743604, 0.000, 0.000, 0.000, 0.000, 0.000, -0.014, -0.012, 200.000, 0.000, 2.830, 0, 0 
3109, 648748655, 0.000, 0.000, 0.000, 0.000, 0.000, -0.013, -0.009, 200.000, 0.000, 2.830, 0, 0 
3109, 649753224, 0.000, 0.000, 0.000, 0.000, 0.000, -0.011, -0.007, 200.000, 0.000, 2.830, 0, 0 
3109, 650757681, 0.000, 0.000, 0.000, 0.000, 0.000, -0.010, 0.000, 200.000, 0.000, 2.830, 0, 0 
3109, 651761941, 0.000, 0.000, 0.000, 0.000, 0.000, -0.010, 0.003, 200.000, 0.000, 2.830, 0, 0 
3109, 652766398, 0.000, 0.000, 0.000, 0.000, 0.000, -0.012, -0.036, 200.000, 0.000, 2.830, 0, 0 
3109, 653770698, 0.000, 0.000, 0.000, 0.000, 0.000, -0.010, -0.029, 200.000, 0.000, 2.830, 0, 0 
3109, 654775689, 0.000, 0.000, 0.000, 0.000, 0.000, -0.015, -0.036, 200.000, 0.000, 2.830, 0, 0 
3109, 655780022, 0.000, 0.000, 0.000, 0.000, 0.000, -0.015, -0.024, 200.000, 0.000, 2.830, 0, 0 
3109, 656825969, 0.000, 0.000, 0.000, 0.000, 0.000, -0.014, -0.004, 200.000, 0.000, 2.830, 0, 0 
3109, 657855002, 0.000, 0.000, 0.000, 0.000, 0.000, -0.016, -0.014, 200.000, 0.000, 2.830, 0, 0 
3109, 658891386, 0.000, 0.000, 0.000, 0.000, 0.000, -0.014, 0.000, 200.000, 0.000, 2.830, 0, 0 
3109, 659898087, 0.000, 0.000, 0.000, 0.000, 0.000, -0.014, 0.005, 200.000, 0.000, 2.830, 0, 0 
3109, 660901560, 0.000, 0.000, 0.000, 0.000, 0.000, -0.017, -0.036, 200.000, 0.000, 2.830, 0, 0 
3109, 661977905, 0.000, 0.000, 0.000, 0.000, 0.000, -0.017, -0.033, 200.000, 0.000, 2.830, 0, 0 
3109, 663082121, 0.000, 0.000, 0.000, 0.000, 0.000, -0.019, -0.019, 200.000, 0.000, 2.830, 0, 0 
3109, 664185574, 0.000, 0.000, 0.000, 0.000, 0.000, -0.017, -0.002, 200.000, 0.000, 2.830, 0, 0 
3109, 665281804, 0.000, 0.000, 0.000, 0.000, 0.000, -0.019, -0.026, 200.000, 0.000, 2.830, 0, 0 
3109, 666377615, 0.000, 0.000, 0.000, 0.000, 0.000, -0.013, -0.002, 200.000, 0.000, 2.830, 0, 0 
3109, 667476553, 0.000, 0.000, 0.000, 0.000, 0.000, -0.013, -0.002, 200.000, 0.000, 2.830, 0, 0 
3109, 668508680, 0.000, 0.000, 0.000, 0.000, 0.000, -0.014, -0.009, 200.000, 0.000, 2.830, 0, 0 
3109, 669598976, 0.000, 0.000, 0.000, 0.000, 0.000, -0.012, -0.004, 200.000, 0.000, 2.830, 0, 0 
3109, 670603731, 0.000, 0.000, 0.000, 0.000, 0.000, -0.014, -0.019, 200.000, 0.000, 2.830, 0, 0 
3109, 671685998, 0.000, 0.000, 0.000, 0.000, 0.000, -0.014, -0.004, 200.000, 0.000, 2.830, 0, 0 
3109, 672791727, 0.000, 0.000, 0.000, 0.000, 0.000, -0.013, -0.017, 200.000, 0.000, 2.830, 0, 0 
3109, 673908755, 0.000, 0.000, 0.000, 0.000, 0.000, -0.012, -0.029, 200.000, 0.000, 2.830, 0, 0 
3109, 675028469, 0.000, 0.000, 0.000, 0.000, 0.000, -0.008, 0.003, 200.000, 0.000, 2.830, 0, 0 
3109, 676155591, 0.000, 0.000, 0.000, 0.000, 0.000, -0.011, -0.002, 200.000, 0.000, 2.830, 0, 0 
3109, 677279299, 0.000, 0.000, 0.000, 0.000, 0.000, -0.010, -0.014, 200.000, 0.000, 2.830, 0, 0 
3109, 678286400, 0.000, 0.000, 0.000, 0.000, 0.000, -0.011, -0.031, 200.000, 0.000, 2.830, 0, 0 
3109, 679290799, 0.000, 0.000, 0.000, 0.000, 0.000, -0.010, -0.007, 200.000, 0.000, 2.830, 0, 0 
3109, 680373892, 0.000, 0.000, 0.000, 0.000, 0.000, -0.013, -0.012, 200.000, 0.000, 2.830, 0, 0 
3109, 681478694, 0.000, 0.000, 0.000, 0.000, 0.000, -0.013, -0.014, 200.000, 0.000, 2.830, 0, 0 
3109, 682578489, 0.000, 0.000, 0.000, 0.000, 0.000, -0.011, -0.002, 200.000, 0.000, 2.830, 0, 0 
3109, 683657082, 0.000, 0.000, 0.000, 0.000, 0.000, -0.012, 0.005, 200.000, 0.000, 2.830, 0, 0 
3109, 684747302, 0.000, 0.000, 0.000, 0.000, 0.000, -0.011, -0.004, 200.000, 0.000, 2.830, 0, 0 
3109, 685847001, 0.000, 0.000, 0.000, 0.000, 0.000, -0.006, 0.010, 200.000, 0.000, 2.830, 0, 0 
3109, 686934527, 0.000, 0.000, 0.000, 0.000, 0.000, -0.009, -0.004, 200.000, 0.000, 2.830, 0, 0 
3109, 688032199, 0.000, 0.000, 0.000, 0.000, 0.000, -0.006, 0.005, 200.000, 0.000, 2.830, 0, 0 
3109, 689128481, 0.000, 0.000, 0.000, 0.000, 0.000, -0.009, -0.033, 200.000, 0.000, 2.830, 0, 0 
3109, 690136089, 0.000, 0.000, 0.000, 0.000, 0.000, -0.005, -0.024, 200.000, 0.000, 2.830, 0, 0 
3109, 691152673, 0.000, 0.000, 0.000, 0.000, 0.000, -0.005, 0.000, 200.000, 0.000, 2.830, 0, 0 
3109, 692156501, 0.000, 0.000, 0.000, 0.000, 0.000, -0.006, 0.000, 200.000, 0.000, 2.830, 0, 0 
3109, 693160389, 0.000, 0.000, 0.000, 0.000, 0.000, -0.005, 0.000, 200.000, 0.000, 2.830, 0, 0 
3109, 694256014, 0.000, 0.000, 0.000, 0.000, 0.000, -0.007, -0.024, 200.000, 0.000, 2.830, 0, 0 
3109, 695342951, 0.000, 0.000, 0.000, 0.000, 0.000, -0.007, -0.019, 200.000, 0.000, 2.830, 0, 0 
3109, 696429924, 0.000, 0.000, 0.000, 0.000, 0.000, -0.010, -0.026, 200.000, 0.000, 2.830, 0, 0 
3109, 697501424, 0.000, 0.000, 0.000, 0.000, 0.000, -0.011, -0.014, 200.000, 0.000, 2.830, 0, 0 
3109, 698579434, 0.000, 0.000, 0.000, 0.000, 0.000, -0.013, -0.009, 200.000, 0.000, 2.830, 0, 0 
3109, 699642554, 0.000, 0.000, 0.000, 0.000, 0.000, -0.013, 0.005, 200.000, 0.000, 2.830, 0, 0 
3109, 700720906, 0.000, 0.000, 0.000, 0.000, 0.000, -0.012, -0.007, 200.000, 0.000, 2.830, 0, 0 
3109, 701801544, 0.000, 0.000, 0.000, 0.000, 0.000, -0.009, -0.004, 200.000, 0.000, 2.830, 0, 0 
3109, 702896830, 0.000, 0.000, 0.000, 0.000, 0.000, -0.010, -0.007, 200.000, 0.000, 2.830, 0, 0 
3109, 703931189, 0.000, 0.000, 0.000, 0.000, 0.000, -0.012, -0.021, 200.000, 0.000, 2.830, 0, 0 
3109, 705033837, 0.000, 0.000, 0.000, 0.000, 0.000, -0.013, -0.021, 200.000, 0.000, 2.830, 0, 0 
3109, 706134769, 0.000, 0.000, 0.000, 0.000, 0.000, -0.010, 0.000, 200.000, 0.000, 2.830, 0, 0 
3109, 707237611, 0.000, 0.000, 0.000, 0.000, 0.000, -0.012, -0.019, 200.000, 0.000, 2.830, 0, 0 
3109, 708335250, 0.000, 0.000, 0.000, 0.000, 0.000, -0.008, 0.000, 200.000, 0.000, 2.830, 0, 0 
3109, 709343563, 0.000, 0.000, 0.000, 0.000, 0.000, -0.009, -0.002, 200.000, 0.000, 2.830, 0, 0 
3109, 710407845, 0.000, 0.000, 0.000, 0.000, 0.000, -0.009, -0.014, 200.000, 0.000, 2.830, 0, 0 
3109, 711473562, 0.000, 0.000, 0.000, 0.000, 0.000, -0.010, -0.019, 200.000, 0.000, 2.830, 0, 0 
3109, 712520482, 0.000, 0.000, 0.000, 0.000, 0.000, -0.009, -0.004, 200.000, 0.000, 2.830, 0, 0 
3109, 713599525, 0.000, 0.000, 0.000, 0.000, 0.000, -0.012, -0.014, 200.000, 0.000, 2.830, 0, 0 
3109, 714607092, 0.000, 0.000, 0.000, 0.000, 0.000, -0.012, -0.019, 200.000, 0.000, 2.830, 0, 0 
3109, 715613674, 0.000, 0.000, 0.000, 0.000, 0.000, -0.011, -0.017, 200.000, 0.000, 2.830, 0, 0 
3109, 716671733, 0.000, 0.000, 0.000, 0.000, 0.000, -0.009, 0.003, 200.000, 0.000, 2.830, 0, 0 
3109, 717763916, 0.000, 0.000, 0.000, 0.000, 0.000, -0.013, -0.026, 200.000, 0.000, 2.830, 0, 0 
3109, 718771351, 0.000, 0.000, 0.000, 0.000, 0.000, -0.011, -0.024, 200.000, 0.000, 2.830, 0, 0 
3109, 719778919, 0.000, 0.000, 0.000, 0.000, 0.000, -0.013, -0.019, 200.000, 0.000, 2.830, 0, 0 
3109, 720787589, 0.000, 0.000, 0.000, 0.000, 0.000, -0.015, -0.017, 200.000, 0.000, 2.830, 0, 0 
3109, 721797638, 0.000, 0.000, 0.000, 0.000, 0.000, -0.017, -0.033, 200.000, 0.000, 2.830, 0, 0 
3109, 722807716, 0.000, 0.000, 0.000, 0.000, 0.000, -0.017, -0.031, 200.000, 0.000, 2.830, 0, 0 
3109, 723815773, 0.000, 0.000, 0.000, 0.000, 0.000, -0.019, -0.021, 200.000, 0.000, 2.830, 0, 0 
3109, 724826380, 0.000, 0.000, 0.000, 0.000, 0.000, -0.018, 0.000, 200.000, 0.000, 2.830, 0, 0 
3109, 725851136, 0.000, 0.000, 0.000, 0.000, 0.000, -0.019, -0.007, 200.000, 0.000, 2.830, 0, 0 
3109, 726983448, 0.000, 0.000, 0.000, 0.000, 0.000, -0.019, -0.024, 200.000, 0.000, 2.830, 0, 0 
