Subject ID: 0
Mon Jun 24 12:12:33 2019
Controller Frequency: 1.00 kHz
Time(s), Time(ns), x, xa, v, va, v_unfilt, f, f_unfilt, xdes, vdes, cmd, LSB, LSF
2929541, 993181187, 250.509, 250.512, 0.000, -0.011, 0.000, -0.038, -0.382, 250.506, -3.000, 2.500, 0, 0 
2929541, 994185035, 250.509, 250.515, 0.000, -0.022, 0.000, -0.041, -0.413, 250.503, -3.001, 2.500, 0, 0 
2929541, 995259759, 250.509, 250.518, 0.000, -0.033, 0.000, -0.054, -0.161, 250.500, -3.003, 2.500, 0, 0 
2929541, 996334743, 250.509, 250.521, 0.000, -0.045, 0.000, -0.020, 0.596, 250.497, -3.004, 2.500, 0, 0 
2929541, 997407473, 250.509, 250.524, 0.000, -0.052, 0.000, -0.213, -1.170, 250.494, -3.006, 2.500, 0, 0 
2929541, 998481865, 250.509, 250.527, 0.000, -0.064, 0.000, -0.027, 0.091, 250.491, -3.007, 2.500, 0, 0 
2929541, 999563469, 250.509, 250.530, 0.000, -0.073, 0.000, -0.144, 0.091, 250.488, -3.009, 2.500, 0, 0 
2929542, 644659, 250.509, 250.533, 0.000, -0.083, 0.000, -0.087, 0.565, 250.485, -3.010, 2.500, 0, 0 
2929542, 1652952, 250.509, 250.536, 0.000, -0.092, 0.000, -0.132, 0.028, 250.482, -3.012, 2.500, 0, 0 
2929542, 2673152, 250.509, 250.539, 0.000, -0.101, 0.000, -0.129, -0.508, 250.479, -3.013, 2.500, 0, 0 
2929542, 3679567, 250.509, 250.542, 0.000, -0.111, 0.000, -0.095, -0.192, 250.476, -3.015, 2.500, 0, 1 
2929542, 4683579, 250.509, 250.544, 0.000, -0.121, 0.000, -0.066, 0.218, 250.473, -3.017, 2.500, 0, 1 
2929542, 5691337, 250.509, 250.547, 0.000, -0.131, 0.000, -0.095, -0.287, 250.470, -3.018, 2.500, 0, 1 
2929542, 6760366, 250.509, 250.550, 0.000, -0.143, 0.000, 0.022, 0.502, 250.467, -3.020, 2.500, 0, 1 
2929542, 7772669, 250.509, 250.553, 0.000, -0.153, 0.000, -0.095, 0.218, 250.464, -3.021, 2.500, 0, 1 
2929542, 8790695, 250.509, 250.556, 0.000, -0.166, 0.000, 0.066, 0.155, 250.461, -3.023, 2.500, 0, 1 
2929542, 9794081, 250.509, 250.559, 0.000, -0.179, 0.000, 0.050, -0.129, 250.458, -3.024, 2.500, 0, 1 
2929542, 10876478, 250.509, 250.562, 0.000, -0.191, 0.000, 0.028, -0.413, 250.455, -3.026, 2.500, 0, 1 
2929542, 11949599, 250.509, 250.564, 0.000, -0.201, 0.000, -0.060, -0.603, 250.452, -3.027, 2.500, 0, 1 
2929542, 13031872, 250.509, 250.567, 0.000, -0.211, 0.000, -0.085, -0.413, 250.449, -3.029, 2.500, 0, 1 
2929542, 14062686, 250.509, 250.570, 0.000, -0.222, 0.000, -0.038, 0.155, 250.446, -3.030, 2.500, 0, 1 
2929542, 15067974, 250.509, 250.573, 0.000, -0.232, 0.000, -0.047, 0.281, 250.443, -3.032, 2.500, 0, 1 
2929542, 16073269, 250.509, 250.576, 0.000, -0.242, 0.000, -0.079, 0.028, 250.440, -3.033, 2.500, 0, 1 
2929542, 17102824, 250.509, 250.579, 0.000, -0.253, 0.000, -0.047, -0.224, 250.437, -3.035, 2.500, 0, 1 
2929542, 18108392, 250.509, 250.581, 0.000, -0.263, 0.000, -0.054, 0.186, 250.434, -3.036, 2.500, 0, 1 
