Subject ID: 0
Mon Jun 24 14:04:26 2019
Controller Frequency: 1.00 kHz
Time(s), Time(ns), x, xa, v, va, v_unfilt, f, f_unfilt, Fa, xdes, vdes, cmd, LSB, LSF
2936256, 320894729, 248.555, 248.558, 0.000, -0.048, 0.000, 1.229, 12.286, 0.000, 248.552, -3.000, 2.500, 0, 0 
2936256, 321905858, 248.555, 248.561, 0.000, -0.098, 0.000, 1.295, 12.949, 0.000, 248.549, -3.002, 2.500, 0, 0 
2936256, 322925054, 248.555, 248.564, 0.000, -0.171, 0.000, 2.533, 13.043, 0.000, 248.546, -3.003, 2.500, 0, 0 
2936256, 323935727, 248.555, 248.567, 0.000, -0.270, 0.000, 3.831, 13.075, 0.000, 248.543, -3.005, 2.500, 0, 0 
2936256, 325047768, 248.555, 248.569, 0.000, -0.395, 0.000, 5.132, 13.043, 0.000, 248.540, -3.006, 2.500, 0, 0 
2936256, 326062211, 248.555, 248.572, 0.000, -0.544, 0.000, 6.455, 13.201, 0.000, 248.537, -3.008, 2.500, 0, 0 
2936256, 327126950, 248.555, 248.574, 0.000, -0.718, 0.000, 7.738, 12.980, 0.000, 248.534, -3.009, 2.500, 0, 0 
2936256, 328260173, 248.555, 248.577, 0.000, -0.918, 0.000, 9.096, 13.359, 0.000, 248.531, -3.011, 2.500, 0, 0 
2936256, 329444153, 248.555, 248.579, 0.000, -1.143, 0.000, 10.431, 13.737, 0.000, 248.528, -3.012, 2.500, 0, 0 
2936256, 330525478, 248.555, 248.580, 0.000, -1.391, 0.000, 11.695, 13.012, 0.000, 248.525, -3.014, 2.500, 0, 0 
2936256, 331536399, 248.555, 248.582, 0.000, -1.665, 0.000, 13.081, 13.138, 0.000, 248.522, -3.015, 2.500, 0, 1 
2936256, 332546101, 248.555, 248.583, 0.000, -1.937, 0.000, 13.132, 12.917, 0.000, 248.519, -3.017, 2.500, 0, 1 
2936256, 333559227, 248.555, 248.584, 0.000, -2.208, 0.000, 13.160, 13.012, 0.000, 248.516, -3.018, 2.500, 0, 1 
2936256, 334578476, 248.555, 248.585, 0.000, -2.477, 0.000, 13.128, 12.822, 0.000, 248.513, -3.020, 2.500, 0, 1 
2936256, 335589867, 248.555, 248.585, 0.000, -2.742, 0.000, 13.106, 12.665, 0.000, 248.510, -3.021, 2.500, 0, 1 
2936256, 336605903, 248.555, 248.585, 0.000, -3.006, 0.000, 13.091, 12.728, 0.000, 248.507, -3.023, 2.500, 0, 1 
2936256, 337617810, 248.555, 248.585, 0.000, -3.267, 0.000, 13.100, 13.359, 0.000, 248.504, -3.024, 2.500, 0, 1 
2936256, 338634622, 248.555, 248.585, 0.000, -3.526, 0.000, 13.050, 13.106, 0.000, 248.501, -3.026, 2.500, 0, 1 
2936256, 339791126, 248.555, 248.584, 0.000, -3.782, 0.000, 13.046, 13.075, 0.000, 248.498, -3.027, 2.500, 0, 1 
2936256, 341117380, 248.555, 248.583, 0.000, -4.035, 0.000, 12.990, 13.138, 0.000, 248.495, -3.029, 2.500, 0, 1 
2936256, 342129255, 248.555, 248.582, 0.000, -4.285, 0.000, 12.936, 12.539, 0.000, 248.492, -3.030, 2.500, 0, 1 
2936256, 343228023, 248.555, 248.581, 0.000, -4.534, 0.000, 12.980, 12.980, 0.000, 248.489, -3.032, 2.500, 0, 1 
2936256, 344240775, 248.555, 248.579, 0.000, -4.780, 0.000, 12.892, 12.475, 0.000, 248.486, -3.033, 2.500, 0, 1 
2936256, 345252529, 248.555, 248.577, 0.000, -5.024, 0.000, 12.927, 12.854, 0.000, 248.483, -3.035, 2.500, 0, 1 
