Mon May 13 14:14:12 2019
Controller Frequency: 1.00 kHz
Time(s), Time(ns), x, xa, v, va, v_unfilt, f, f_unfilt, xdes, vdes, cmd, LSB, LSF
437833, 608806889, 0.000, 0.000, 0.000, -0.001, 0.000, 0.043, 0.431, 0.000, 0.000, 2.500, 0, 0 
437833, 609812914, 0.000, 0.000, 0.000, -0.001, 0.000, -0.011, -0.106, 0.000, 0.000, 2.500, 0, 0 
437833, 610939638, 0.000, 0.000, 0.000, -0.002, 0.000, 0.051, 0.084, 0.000, 0.000, 2.500, 0, 0 
437833, 611999961, 0.000, 0.000, 0.000, -0.003, 0.000, 0.044, 0.115, 0.000, 0.000, 2.500, 0, 0 
437833, 613062143, 0.000, 0.000, 0.000, -0.004, 0.000, 0.052, 0.115, 0.000, 0.000, 2.500, 0, 0 
437833, 614135412, 0.000, 0.000, 0.000, -0.005, 0.000, 0.061, 0.084, 0.000, 0.000, 2.500, 0, 0 
437833, 615199842, 0.000, 0.000, 0.000, -0.006, 0.000, 0.082, 0.178, 0.000, 0.000, 2.500, 0, 0 
437833, 616205524, 0.000, 0.000, 0.000, -0.007, 0.000, 0.033, -0.390, 0.000, 0.000, 2.500, 0, 0 
437833, 617240573, 0.000, 0.000, 0.000, -0.009, 0.000, 0.111, 0.210, 0.000, 0.000, 2.500, 0, 0 
437833, 618247080, 0.000, 0.000, 0.000, -0.011, 0.000, 0.113, 0.620, 0.000, 0.000, 2.500, 0, 0 
437833, 619256529, 0.000, -0.000, 0.000, -0.012, 0.000, 0.036, -0.358, 0.000, 0.000, 2.500, 1, 0 
437833, 620260962, 0.000, -0.000, 0.000, -0.014, 0.000, 0.103, 0.115, 0.000, 0.000, 2.500, 1, 0 
437833, 621271805, 0.000, -0.000, 0.000, -0.015, 0.000, 0.068, 0.021, 0.000, 0.000, 2.500, 1, 0 
437833, 622286562, 0.000, -0.000, 0.000, -0.016, 0.000, 0.074, 0.052, 0.000, 0.000, 2.500, 1, 0 
437833, 623291522, 0.000, -0.000, 0.000, -0.017, 0.000, 0.058, -0.011, 0.000, 0.000, 2.500, 1, 0 
437833, 624298442, 0.000, -0.000, 0.000, -0.019, 0.000, 0.065, 0.115, 0.000, 0.000, 2.500, 1, 0 
437833, 625305219, 0.000, -0.000, 0.000, -0.020, 0.000, 0.074, 0.304, 0.000, 0.000, 2.500, 1, 0 
437833, 626311578, 0.000, -0.000, 0.000, -0.021, 0.000, 0.039, 0.021, 0.000, 0.000, 2.500, 1, 0 
437833, 627317436, 0.000, -0.000, 0.000, -0.025, 0.000, 0.210, 1.030, 0.000, 0.000, 2.500, 1, 0 
437833, 628332841, 0.000, -0.000, 0.000, -0.026, 0.000, 0.099, 0.115, 0.000, 0.000, 2.500, 1, 0 
437833, 629337518, 0.000, -0.000, 0.000, -0.029, 0.000, 0.153, 0.241, 0.000, 0.000, 2.500, 1, 0 
437833, 630343373, 0.000, -0.000, 0.000, -0.032, 0.000, 0.181, 0.052, 0.000, 0.000, 2.500, 1, 0 
437833, 631375274, 0.000, -0.000, 0.000, -0.036, 0.000, 0.197, 0.084, 0.000, 0.000, 2.500, 1, 0 
437833, 632408555, 0.000, -0.000, 0.000, -0.039, 0.000, 0.166, -0.263, 0.000, 0.000, 2.500, 1, 0 
437833, 633472429, 0.000, -0.000, 0.000, -0.042, 0.000, 0.169, -0.263, 0.000, 0.000, 2.500, 1, 0 
437833, 634478437, 0.000, -0.000, 0.000, -0.045, 0.000, 0.178, 0.084, 0.000, 0.000, 2.500, 1, 0 
