Subject ID: 2
Sat Jun 29 12:08:35 2019
Controller Frequency: 1.00 kHz
Time(s), Time(ns), x, xa, v, va, v_unfilt, f, f_unfilt, Fa, xdes, vdes, cmd, LSB, LSF
3361376, 495761346, 192.517, 192.517, 0.000, -0.008, 0.000, -0.493, -4.930, 0.000, 192.514, -3.000, 2.500, 0, 0 
3361376, 496825164, 192.517, 192.517, 0.000, -0.017, 0.000, -0.443, -4.425, 0.000, 192.511, -3.002, 2.500, 0, 0 
3361376, 497887936, 192.517, 192.517, 0.000, -0.016, 0.000, -0.945, -4.520, 0.000, 192.508, -3.004, 2.500, 0, 0 
3361376, 498960584, 192.517, 192.517, 0.000, -0.007, 0.000, -1.391, -4.552, 0.000, 192.505, -3.006, 2.500, 0, 0 
3361376, 500036249, 192.517, 192.517, 0.000, 0.013, 0.000, -1.890, -5.025, 0.000, 192.502, -3.008, 2.500, 0, 0 
3361376, 501153412, 192.517, 192.517, 0.000, 0.041, 0.000, -2.304, -4.615, 0.000, 192.499, -3.010, 2.500, 0, 0 
3361376, 502164466, 192.517, 192.517, 0.000, 0.078, 0.000, -2.794, -4.489, 0.000, 192.496, -3.012, 2.500, 0, 0 
3361376, 503169170, 192.517, 192.517, 0.000, 0.125, 0.000, -3.274, -4.678, 0.000, 192.493, -3.014, 2.500, 0, 0 
3361376, 504177103, 192.517, 192.517, 0.000, 0.179, 0.000, -3.708, -4.520, 0.000, 192.490, -3.016, 2.500, 0, 0 
3361376, 505185095, 192.517, 192.517, 0.000, 0.243, 0.000, -4.178, -4.552, 0.000, 192.487, -3.018, 2.500, 0, 0 
3361376, 506201719, 192.517, 192.517, 0.000, 0.316, 0.000, -4.624, -4.489, 0.000, 192.484, -3.020, 2.500, 0, 1 
3361376, 507378389, 192.517, 192.517, 0.000, 0.387, 0.000, -4.599, -4.615, 0.000, 192.481, -3.021, 2.500, 0, 1 
3361376, 508638731, 192.517, 192.517, 0.000, 0.458, 0.000, -4.574, -4.299, 0.000, 192.478, -3.023, 2.500, 0, 1 
3361376, 509645192, 192.517, 192.517, 0.000, 0.529, 0.000, -4.627, -4.741, 0.000, 192.475, -3.025, 2.500, 0, 1 
3361376, 510655324, 192.517, 192.517, 0.000, 0.599, 0.000, -4.627, -4.993, 0.000, 192.472, -3.027, 2.500, 0, 1 
3361376, 511665661, 192.517, 192.517, 0.000, 0.668, 0.000, -4.564, -4.646, 0.000, 192.469, -3.029, 2.500, 0, 1 
3361376, 512672475, 192.517, 192.517, 0.000, 0.740, 0.000, -4.738, -6.003, 0.000, 192.466, -3.031, 2.500, 0, 1 
3361376, 513678925, 192.517, 192.517, 0.000, 0.809, 0.000, -4.593, -4.394, 0.000, 192.463, -3.033, 2.500, 0, 1 
3361376, 514710326, 192.517, 192.517, 0.000, 0.880, 0.000, -4.738, -4.520, 0.000, 192.460, -3.035, 2.500, 0, 1 
3361376, 515715300, 192.517, 192.517, 0.000, 0.952, 0.000, -4.820, -5.466, 0.000, 192.457, -3.037, 2.500, 0, 1 
3361376, 516720378, 192.517, 192.517, 0.000, 1.024, 0.000, -4.848, -5.782, 0.000, 192.453, -3.039, 2.500, 0, 1 
3361376, 517759998, 192.517, 192.517, 0.000, 1.097, 0.000, -4.892, -5.246, 0.000, 192.450, -3.041, 2.500, 0, 1 
3361376, 518772646, 192.517, 192.517, 0.000, 1.171, 0.000, -4.990, -5.056, 0.000, 192.447, -3.043, 2.500, 0, 1 
3361376, 519778855, 192.517, 192.517, 0.000, 1.243, 0.000, -4.914, -3.353, 0.000, 192.444, -3.045, 2.500, 0, 1 
3361376, 520785638, 192.517, 192.517, 0.000, 1.317, 0.000, -5.034, -4.236, 0.000, 192.441, -3.047, 2.500, 0, 1 
3361376, 521822865, 192.517, 192.517, 0.000, 1.388, 0.000, -4.883, -4.362, 0.000, 192.438, -3.049, 2.500, 0, 1 
3361376, 522827426, 192.517, 192.517, 0.000, 1.458, 0.000, -4.864, -4.583, 0.000, 192.435, -3.051, 2.500, 0, 1 
3361376, 523833822, 192.517, 192.517, 0.000, 1.523, 0.000, -4.681, -4.394, 0.000, 192.432, -3.053, 2.500, 0, 1 
3361376, 524838798, 192.517, 192.517, 0.000, 1.589, 0.000, -4.678, -4.173, 0.000, 192.429, -3.055, 2.500, 0, 1 
