Thu Feb 21 12:03:14 2019
Controller Frequency: 1.00 kHz
Time(s), Time(ns), x, xa, v, va, v_unfilt, f, f_unfilt, xdes, vdes, cmd, LSB, LSF
84592, 943778269, 0.000, 0.034, 0.000, 62.739, 0.000, 0.269, 2.693, 200.000, 0.000, 2.556, 0, 0 
84592, 945127727, 0.000, 0.117, 0.000, 100.795, 0.000, 0.241, 2.409, 200.000, 0.000, 2.632, 0, 0 
84592, 946384758, 0.000, 0.231, 0.000, 123.656, 0.000, 0.482, 2.125, 200.000, 0.000, 2.678, 0, 0 
84592, 947494280, 0.000, 0.362, 0.000, 137.270, 0.000, 0.751, 2.409, 200.000, 0.000, 2.706, 0, 0 
84592, 948622111, 0.000, 0.503, 0.000, 145.315, 0.000, 0.967, 2.440, 200.000, 0.000, 2.722, 0, 0 
84592, 949730946, 0.000, 0.651, 0.000, 149.992, 0.000, 1.166, 2.030, 200.000, 0.000, 2.732, 0, 0 
84592, 950846919, 0.000, 0.802, 0.000, 152.574, 0.000, 1.429, 2.219, 200.000, 0.000, 2.738, 0, 0 
84592, 951851992, 0.000, 0.956, 0.000, 153.920, 0.000, 1.648, 2.377, 200.000, 0.000, 2.741, 0, 0 
84592, 952871267, 0.000, 1.110, 0.000, 154.514, 0.000, 1.870, 2.377, 200.000, 0.000, 2.742, 0, 0 
84592, 953900421, 0.000, 1.265, 0.000, 154.648, 0.000, 2.095, 2.251, 200.000, 0.000, 2.743, 0, 0 
84592, 954903879, 0.000, 1.419, 0.000, 154.486, 0.000, 2.342, 2.346, 200.000, 0.000, 2.743, 0, 0 
84592, 955908686, 0.000, 1.574, 0.000, 154.369, 0.000, 2.305, 2.409, 200.000, 0.000, 2.743, 0, 0 
84592, 956914397, 0.000, 1.728, 0.000, 154.257, 0.000, 2.295, 2.377, 200.000, 0.000, 2.744, 0, 0 
84592, 958000243, 0.000, 1.882, 0.000, 154.111, 0.000, 2.333, 2.472, 200.000, 0.000, 2.744, 0, 0 
84592, 959092028, 0.000, 2.036, 0.000, 154.003, 0.000, 2.295, 2.125, 200.000, 0.000, 2.744, 0, 0 
84592, 960184682, 0.000, 2.190, 0.000, 153.887, 0.000, 2.298, 2.125, 200.000, 0.000, 2.744, 0, 0 
84592, 961275394, 0.000, 2.344, 0.000, 153.763, 0.000, 2.305, 2.093, 200.000, 0.000, 2.745, 0, 0 
84592, 962358730, 0.000, 2.498, 0.000, 153.652, 0.000, 2.289, 2.030, 200.000, 0.000, 2.745, 0, 0 
84592, 963437027, 0.000, 2.651, 0.000, 153.601, 0.000, 2.207, 1.494, 200.000, 0.000, 2.745, 0, 0 
84592, 964503105, 0.000, 2.805, 0.000, 153.621, 0.000, 2.081, 0.579, 200.000, 0.000, 2.746, 0, 0 
84592, 965590703, 0.000, 2.958, 0.000, 153.676, 0.000, 1.964, 0.169, 200.000, 0.000, 2.746, 0, 0 
84592, 966597822, 0.000, 3.112, 0.000, 153.840, 0.000, 1.737, -0.336, 200.000, 0.000, 2.747, 0, 0 
84592, 967692508, 0.000, 3.266, 0.000, 154.088, 0.000, 1.487, -0.588, 200.000, 0.000, 2.748, 0, 0 
84592, 968706728, 0.000, 3.420, 0.000, 154.398, 0.000, 1.222, -0.525, 200.000, 0.000, 2.749, 0, 0 
84592, 969713874, 0.000, 3.575, 0.000, 154.795, 0.000, 0.894, -0.746, 200.000, 0.000, 2.750, 0, 0 
84592, 970720720, 0.000, 3.730, 0.000, 155.179, 0.000, 0.651, -0.525, 200.000, 0.000, 2.752, 0, 0 
84592, 971728493, 0.000, 3.886, 0.000, 155.596, 0.000, 0.355, -0.620, 200.000, 0.000, 2.753, 0, 0 
84592, 972736442, 0.000, 4.041, 0.000, 156.026, 0.000, 0.068, -0.872, 200.000, 0.000, 2.754, 0, 0 
84592, 973744288, 0.000, 4.198, 0.000, 156.419, 0.000, -0.162, -0.525, 200.000, 0.000, 2.755, 0, 0 
84592, 974751924, 0.000, 4.354, 0.000, 156.804, 0.000, -0.412, -0.651, 200.000, 0.000, 2.757, 0, 0 
84592, 975759635, 0.000, 4.511, 0.000, 157.085, 0.000, -0.535, -0.778, 200.000, 0.000, 2.758, 0, 0 
84592, 976768488, 0.000, 4.668, 0.000, 157.251, 0.000, -0.592, -0.525, 200.000, 0.000, 2.759, 0, 0 
84592, 977776513, 0.000, 4.826, 0.000, 157.326, 0.000, -0.623, -0.399, 200.000, 0.000, 2.759, 0, 0 
84592, 978784282, 0.000, 4.983, 0.000, 157.343, 0.000, -0.648, -0.715, 200.000, 0.000, 2.760, 0, 0 
84592, 979795808, 0.000, 5.140, 0.000, 157.293, 0.000, -0.636, -0.715, 200.000, 0.000, 2.760, 0, 0 
84592, 980873446, 0.000, 5.298, 0.000, 157.211, 0.000, -0.633, -0.715, 200.000, 0.000, 2.760, 0, 0 
84592, 981946333, 0.000, 5.455, 0.000, 157.124, 0.000, -0.648, -0.683, 200.000, 0.000, 2.761, 0, 0 
84592, 983048689, 0.000, 5.612, 0.000, 157.044, 0.000, -0.677, -0.872, 200.000, 0.000, 2.761, 0, 0 
84592, 984145501, 0.000, 5.769, 0.000, 156.909, 0.000, -0.629, -0.588, 200.000, 0.000, 2.761, 0, 0 
84592, 985241059, 0.000, 5.926, 0.000, 156.726, 0.000, -0.563, 0.421, 200.000, 0.000, 2.761, 0, 0 
84592, 986330092, 0.000, 6.082, 0.000, 156.503, 0.000, -0.484, 1.147, 200.000, 0.000, 2.761, 0, 0 
84592, 987338926, 0.000, 6.239, 0.000, 156.262, 0.000, -0.412, 0.674, 200.000, 0.000, 2.761, 0, 0 
84592, 988345577, 0.000, 6.395, 0.000, 155.905, 0.000, -0.207, 1.052, 200.000, 0.000, 2.761, 0, 0 
84592, 989437451, 0.000, 6.550, 0.000, 155.575, 0.000, -0.125, 0.800, 200.000, 0.000, 2.761, 0, 0 
84592, 990517878, 0.000, 6.706, 0.000, 155.162, 0.000, 0.084, 1.115, 200.000, 0.000, 2.760, 0, 0 
84592, 991598913, 0.000, 6.861, 0.000, 154.741, 0.000, 0.238, 1.147, 200.000, 0.000, 2.760, 0, 0 
84592, 992689461, 0.000, 7.015, 0.000, 154.295, 0.000, 0.418, 1.115, 200.000, 0.000, 2.760, 0, 0 
84592, 993697586, 0.000, 7.169, 0.000, 153.808, 0.000, 0.633, 1.431, 200.000, 0.000, 2.759, 0, 0 
84592, 994721726, 0.000, 7.323, 0.000, 153.354, 0.000, 0.771, 0.831, 200.000, 0.000, 2.759, 0, 0 
84592, 995729098, 0.000, 7.476, 0.000, 152.847, 0.000, 1.005, 1.147, 200.000, 0.000, 2.758, 0, 0 
84592, 996792731, 0.000, 7.629, 0.000, 152.494, 0.000, 1.002, 0.705, 200.000, 0.000, 2.758, 0, 0 
84592, 997800581, 0.000, 7.781, 0.000, 152.207, 0.000, 1.033, 1.021, 200.000, 0.000, 2.758, 0, 0 
84592, 998873622, 0.000, 7.933, 0.000, 151.975, 0.000, 1.046, 1.115, 200.000, 0.000, 2.758, 0, 0 
84592, 999882711, 0.000, 8.085, 0.000, 151.784, 0.000, 1.049, 1.178, 200.000, 0.000, 2.758, 0, 0 
84593, 910867, 0.000, 8.237, 0.000, 151.611, 0.000, 1.062, 0.989, 200.000, 0.000, 2.758, 0, 0 
84593, 1943747, 0.000, 8.388, 0.000, 151.433, 0.000, 1.093, 1.241, 200.000, 0.000, 2.758, 0, 0 
84593, 2976562, 0.000, 8.539, 0.000, 151.332, 0.000, 1.024, 0.705, 200.000, 0.000, 2.758, 0, 0 
84593, 4022568, 0.000, 8.691, 0.000, 151.183, 0.000, 1.074, 1.084, 200.000, 0.000, 2.758, 0, 0 
84593, 5059001, 0.000, 8.842, 0.000, 151.115, 0.000, 0.986, 0.926, 200.000, 0.000, 2.759, 0, 0 
84593, 6100844, 0.000, 8.993, 0.000, 150.984, 0.000, 1.039, 1.210, 200.000, 0.000, 2.759, 0, 0 
84593, 7136451, 0.000, 9.144, 0.000, 150.882, 0.000, 1.008, 1.115, 200.000, 0.000, 2.759, 0, 0 
84593, 8154962, 0.000, 9.295, 0.000, 150.760, 0.000, 1.024, 0.768, 200.000, 0.000, 2.759, 0, 0 
84593, 9296426, 0.000, 9.445, 0.000, 150.599, 0.000, 1.074, 1.178, 200.000, 0.000, 2.760, 0, 0 
