Thu Jan 24 11:39:56 2019
Controller Frequency: 1.00 kHz
Time(s), Time(ns), x, xa, v, va, v_unfilt, f, f_unfilt, xdes, vdes, cmd, LSB, LSF
265883, 652985001, 0.000, 0.006, 0.000, 12.000, 0.000, 0.011, 0.111, 200.000, 0.000, 2.454, 0, 0 
265883, 654381657, 0.000, 0.000, 0.000, 0.000, 0.000, -0.005, -0.052, 200.000, 0.000, 2.430, 0, 0 
265883, 655742561, 0.000, 0.006, 0.000, 11.999, 0.000, 0.007, -0.038, 200.000, 0.000, 2.454, 0, 0 
265883, 657116534, 0.000, 0.000, 0.000, 0.000, 0.000, 0.005, -0.011, 200.000, 0.000, 2.430, 0, 0 
265883, 658269932, 0.000, 0.006, 0.000, 12.000, 0.000, -0.003, -0.052, 200.000, 0.000, 2.454, 0, 0 
265883, 659282430, 0.000, 0.000, 0.000, 0.000, 0.000, 0.003, 0.016, 200.000, 0.000, 2.430, 0, 0 
265883, 660347126, 0.000, 0.006, 0.000, 12.000, 0.000, 0.006, 0.098, 200.000, 0.000, 2.454, 0, 0 
265883, 661449492, 0.000, 0.000, 0.000, 0.001, 0.000, -0.008, -0.052, 200.000, 0.000, 2.430, 0, 0 
265883, 662661722, 0.000, 0.006, 0.000, 11.999, 0.000, 0.008, 0.003, 200.000, 0.000, 2.454, 0, 0 
265883, 663713960, 0.000, 0.000, 0.000, 0.001, 0.000, -0.000, -0.024, 200.000, 0.000, 2.430, 0, 0 
265883, 664817418, 0.000, 0.006, 0.000, 11.999, 0.000, 0.018, 0.152, 200.000, 0.000, 2.454, 1, 0 
265883, 666072018, 0.000, 0.000, 0.000, 0.001, 0.000, -0.012, -0.011, 200.000, 0.000, 2.430, 1, 0 
265883, 667172766, 0.000, 0.006, 0.000, 11.998, 0.000, 0.014, 0.043, 200.000, 0.000, 2.454, 1, 0 
265883, 668258204, 0.000, 0.000, 0.000, 0.001, 0.000, 0.020, 0.084, 200.000, 0.000, 2.430, 1, 0 
265883, 669592543, 0.000, 0.006, 0.000, 11.998, 0.000, 0.023, 0.057, 200.000, 0.000, 2.454, 1, 0 
265883, 670732487, 0.000, 0.000, 0.000, 0.001, 0.000, 0.020, -0.106, 200.000, 0.000, 2.430, 1, 0 
265883, 671971081, 0.000, 0.006, 0.000, 11.998, 0.000, 0.028, -0.065, 200.000, 0.000, 2.454, 1, 0 
265883, 673331547, 0.000, 0.000, 0.000, 0.001, 0.000, 0.020, 0.057, 200.000, 0.000, 2.430, 1, 0 
265883, 674743895, 0.000, 0.006, 0.000, 11.998, 0.000, 0.015, 0.016, 200.000, 0.000, 2.454, 1, 0 
265883, 676237219, 0.000, 0.000, 0.000, 0.001, 0.000, 0.022, 0.030, 200.000, 0.000, 2.430, 1, 0 
265883, 677435431, 0.000, 0.006, 0.000, 11.998, 0.000, 0.027, 0.043, 200.000, 0.000, 2.454, 1, 0 
265883, 678805485, 0.000, 0.000, 0.000, 0.001, 0.000, 0.022, 0.111, 200.000, 0.000, 2.430, 1, 0 
265883, 680061116, 0.000, 0.006, 0.000, 11.998, 0.000, 0.007, -0.092, 200.000, 0.000, 2.454, 1, 0 
