Subject ID: 0
Thu Jun 20 10:04:50 2019
Controller Frequency: 1.00 kHz
Time(s), Time(ns), x, xa, v, va, v_unfilt, f, f_unfilt, xdes, vdes, cmd, LSB, LSF
2576379, 877222343, 0.000, -0.003, 0.000, 0.025, 0.000, -0.050, -0.503, 0.003, 3.000, 2.500, 0, 0 
2576379, 878330356, 0.000, -0.006, 0.000, 0.049, 0.000, 0.006, 0.065, 0.006, 3.001, 2.500, 0, 0 
2576379, 879434642, 0.000, -0.009, 0.000, 0.072, 0.000, -0.012, 0.380, 0.009, 3.003, 2.500, 0, 0 
2576379, 880440495, 0.000, -0.012, 0.000, 0.097, 0.000, -0.063, -0.188, 0.012, 3.004, 2.500, 0, 0 
2576379, 881464833, 0.000, -0.015, 0.000, 0.121, 0.000, -0.025, -0.188, 0.015, 3.005, 2.500, 0, 0 
2576379, 882597374, 0.000, -0.018, 0.000, 0.144, 0.000, -0.015, 0.096, 0.018, 3.007, 2.500, 0, 0 
2576379, 883600523, 0.000, -0.020, 0.000, 0.169, 0.000, -0.081, -0.377, 0.021, 3.008, 2.500, 0, 0 
2576379, 884603930, 0.000, -0.023, 0.000, 0.191, 0.000, 0.029, 0.633, 0.024, 3.009, 2.500, 0, 0 
2576379, 885640889, 0.000, -0.026, 0.000, 0.214, 0.000, -0.011, 0.601, 0.027, 3.010, 2.500, 0, 0 
2576379, 886645213, 0.000, -0.029, 0.000, 0.237, 0.000, -0.052, -0.440, 0.030, 3.012, 2.500, 0, 0 
2576379, 887650843, 0.000, -0.032, 0.000, 0.258, 0.000, 0.039, -0.125, 0.033, 3.013, 2.500, 1, 0 
2576379, 888690036, 0.000, -0.034, 0.000, 0.280, 0.000, 0.039, -0.188, 0.036, 3.014, 2.500, 1, 0 
2576379, 889727256, 0.000, -0.037, 0.000, 0.302, 0.000, 0.008, -0.314, 0.039, 3.016, 2.500, 1, 0 
2576379, 890763854, 0.000, -0.040, 0.000, 0.323, 0.000, -0.002, 0.159, 0.042, 3.017, 2.500, 1, 0 
2576379, 891796811, 0.000, -0.042, 0.000, 0.346, 0.000, -0.065, -0.345, 0.045, 3.018, 2.500, 1, 0 
2576379, 892856415, 0.000, -0.045, 0.000, 0.368, 0.000, -0.033, -0.377, 0.048, 3.020, 2.500, 1, 0 
2576379, 894095739, 0.000, -0.048, 0.000, 0.394, 0.000, -0.203, -1.639, 0.051, 3.021, 2.500, 1, 0 
2576379, 895234300, 0.000, -0.050, 0.000, 0.416, 0.000, -0.043, -0.030, 0.054, 3.022, 2.500, 1, 0 
2576379, 896268875, 0.000, -0.053, 0.000, 0.442, 0.000, -0.279, -0.125, 0.057, 3.024, 2.500, 1, 0 
2576379, 897277439, 0.000, -0.056, 0.000, 0.470, 0.000, -0.355, -0.251, 0.060, 3.025, 2.500, 1, 0 
