Subject ID: 1
Thu Jun 27 10:58:09 2019
Controller Frequency: 1.00 kHz
Time(s), Time(ns), x, xa, v, va, v_unfilt, f, f_unfilt, Fa, xdes, vdes, cmd, LSB, LSF
3184275, 533141535, 231.256, 231.256, 0.000, -0.008, 0.000, -0.186, -1.858, 0.000, 231.253, -3.000, 2.500, 0, 0 
3184275, 534155510, 231.256, 231.256, 0.000, -0.015, 0.000, -0.258, -2.583, 0.000, 231.250, -3.002, 2.500, 0, 0 
3184275, 535166975, 231.256, 231.256, 0.000, -0.014, 0.000, -0.643, -4.570, 0.000, 231.247, -3.003, 2.500, 0, 0 
3184275, 536176984, 231.256, 231.256, 0.000, -0.010, 0.000, -0.822, -3.782, 0.000, 231.244, -3.005, 2.500, 0, 0 
3184275, 537188981, 231.256, 231.256, 0.000, 0.000, 0.000, -1.090, -1.889, 0.000, 231.241, -3.006, 2.500, 0, 0 
3184275, 538199786, 231.256, 231.256, 0.000, 0.017, 0.000, -1.449, -1.700, 0.000, 231.238, -3.008, 2.500, 0, 0 
3184275, 539215589, 231.256, 231.256, 0.000, 0.037, 0.000, -1.607, -1.385, 0.000, 231.235, -3.010, 2.500, 0, 0 
3184275, 540366083, 231.256, 231.256, 0.000, 0.061, 0.000, -1.824, -1.858, 0.000, 231.232, -3.011, 2.500, 0, 0 
3184275, 541379577, 231.256, 231.256, 0.000, 0.088, 0.000, -1.972, -1.952, 0.000, 231.229, -3.013, 2.500, 0, 0 
3184275, 542392932, 231.256, 231.256, 0.000, 0.117, 0.000, -2.085, -1.227, 0.000, 231.226, -3.015, 2.500, 0, 0 
3184275, 543406437, 231.256, 231.256, 0.000, 0.153, 0.000, -2.435, -2.773, 0.000, 231.223, -3.016, 2.500, 0, 1 
3184275, 544418318, 231.256, 231.256, 0.000, 0.188, 0.000, -2.359, -2.646, 0.000, 231.220, -3.018, 2.500, 0, 1 
3184275, 545474385, 231.256, 231.256, 0.000, 0.221, 0.000, -2.318, -2.047, 0.000, 231.217, -3.020, 2.500, 0, 1 
3184275, 546632306, 231.256, 231.256, 0.000, 0.251, 0.000, -2.151, -2.299, 0.000, 231.214, -3.021, 2.500, 0, 1 
3184275, 547913227, 231.256, 231.256, 0.000, 0.276, 0.000, -1.899, -1.511, 0.000, 231.211, -3.023, 2.500, 0, 1 
3184275, 548989010, 231.256, 231.256, 0.000, 0.303, 0.000, -2.016, -2.268, 0.000, 231.208, -3.024, 2.500, 0, 1 
3184275, 550003681, 231.256, 231.256, 0.000, 0.327, 0.000, -1.911, -1.416, 0.000, 231.205, -3.026, 2.500, 0, 1 
3184275, 551014056, 231.256, 231.256, 0.000, 0.353, 0.000, -1.971, -1.132, 0.000, 231.202, -3.028, 2.500, 0, 1 
3184275, 552030822, 231.256, 231.256, 0.000, 0.382, 0.000, -2.107, -2.930, 0.000, 231.199, -3.029, 2.500, 0, 1 
3184275, 553045723, 231.256, 231.256, 0.000, 0.408, 0.000, -2.022, -2.899, 0.000, 231.195, -3.031, 2.500, 0, 1 
3184275, 554059723, 231.256, 231.256, 0.000, 0.436, 0.000, -2.069, -1.669, 0.000, 231.192, -3.033, 2.500, 0, 1 
3184275, 555073724, 231.256, 231.256, 0.000, 0.464, 0.000, -2.132, -2.173, 0.000, 231.189, -3.034, 2.500, 0, 1 
3184275, 556084344, 231.256, 231.256, 0.000, 0.490, 0.000, -1.993, -1.763, 0.000, 231.186, -3.036, 2.500, 0, 1 
3184275, 557106777, 231.256, 231.256, 0.000, 0.516, 0.000, -2.006, -1.763, 0.000, 231.183, -3.038, 2.500, 0, 1 
3184275, 558119681, 231.256, 231.256, 0.000, 0.543, 0.000, -2.069, -2.930, 0.000, 231.180, -3.039, 2.500, 0, 1 
3184275, 559131302, 231.256, 231.256, 0.000, 0.569, 0.000, -2.066, -2.646, 0.000, 231.177, -3.041, 2.500, 0, 1 
3184275, 560143465, 231.256, 231.256, 0.000, 0.599, 0.000, -2.221, -3.530, 0.000, 231.174, -3.042, 2.500, 0, 1 
3184275, 561155318, 231.256, 231.256, 0.000, 0.628, 0.000, -2.192, -2.016, 0.000, 231.171, -3.044, 2.500, 0, 1 
3184275, 562169616, 231.256, 231.256, 0.000, 0.662, 0.000, -2.419, -1.889, 0.000, 231.168, -3.046, 2.500, 0, 1 
3184275, 563182484, 231.256, 231.256, 0.000, 0.693, 0.000, -2.306, -1.669, 0.000, 231.165, -3.047, 2.500, 0, 1 
3184275, 564198817, 231.256, 231.256, 0.000, 0.720, 0.000, -2.135, -0.975, 0.000, 231.162, -3.049, 2.500, 0, 1 
3184275, 565210059, 231.256, 231.256, 0.000, 0.748, 0.000, -2.148, -1.101, 0.000, 231.159, -3.051, 2.500, 0, 1 
3184275, 566222188, 231.256, 231.256, 0.000, 0.774, 0.000, -2.098, -1.795, 0.000, 231.156, -3.052, 2.500, 0, 1 
3184275, 567236628, 231.256, 231.256, 0.000, 0.801, 0.000, -2.132, -2.804, 0.000, 231.153, -3.054, 2.500, 0, 1 
3184275, 568378678, 231.256, 231.256, 0.000, 0.829, 0.000, -2.157, -3.025, 0.000, 231.150, -3.056, 2.500, 0, 1 
3184275, 569390922, 231.256, 231.256, 0.000, 0.853, 0.000, -1.993, -1.511, 0.000, 231.147, -3.057, 2.500, 0, 1 
3184275, 570621169, 231.256, 231.256, 0.000, 0.880, 0.000, -2.164, -2.836, 0.000, 231.144, -3.059, 2.500, 0, 1 
3184275, 572283063, 231.256, 231.256, 0.000, 0.901, 0.000, -1.842, -1.637, 0.000, 231.141, -3.061, 2.500, 0, 1 
3184275, 573506728, 231.256, 231.256, 0.000, 0.924, 0.000, -1.975, -2.142, 0.000, 231.138, -3.062, 2.500, 0, 1 
3184275, 574561349, 231.256, 231.256, 0.000, 0.945, 0.000, -1.829, -0.943, 0.000, 231.135, -3.064, 2.500, 0, 1 
3184275, 575638875, 231.256, 231.256, 0.000, 0.967, 0.000, -1.937, -1.542, 0.000, 231.131, -3.066, 2.500, 0, 1 
3184275, 576651845, 231.256, 231.256, 0.000, 0.993, 0.000, -2.116, -3.372, 0.000, 231.128, -3.067, 2.500, 0, 1 
3184275, 577665042, 231.256, 231.256, 0.000, 1.017, 0.000, -2.047, -2.236, 0.000, 231.125, -3.069, 2.500, 0, 1 
3184275, 578695349, 231.256, 231.256, 0.000, 1.044, 0.000, -2.151, -1.700, 0.000, 231.122, -3.071, 2.500, 0, 1 
3184275, 579832943, 231.256, 231.256, 0.000, 1.069, 0.000, -2.104, -1.795, 0.000, 231.119, -3.072, 2.500, 0, 1 
3184275, 580846026, 231.256, 231.256, 0.000, 1.092, 0.000, -1.987, -1.952, 0.000, 231.116, -3.074, 2.500, 0, 1 
3184275, 581860110, 231.256, 231.256, 0.000, 1.114, 0.000, -1.978, -1.574, 0.000, 231.113, -3.076, 2.500, 0, 1 
3184275, 582873345, 231.256, 231.256, 0.000, 1.137, 0.000, -1.975, -2.426, 0.000, 231.110, -3.077, 2.500, 0, 1 
3184275, 583889553, 231.256, 231.256, 0.000, 1.158, 0.000, -1.937, -2.110, 0.000, 231.107, -3.079, 2.500, 0, 1 
3184275, 584951322, 231.256, 231.256, 0.000, 1.176, 0.000, -1.741, 0.129, 0.000, 231.104, -3.080, 2.500, 0, 1 
3184275, 585967711, 231.256, 231.256, 0.000, 1.202, 0.000, -2.167, -2.962, 0.000, 231.101, -3.082, 2.500, 0, 1 
3184275, 586976270, 231.256, 231.256, 0.000, 1.223, 0.000, -1.937, -2.331, 0.000, 231.098, -3.084, 2.500, 0, 1 
3184275, 587988265, 231.256, 231.256, 0.000, 1.242, 0.000, -1.833, -1.700, 0.000, 231.095, -3.085, 2.500, 0, 1 
3184275, 589000167, 231.256, 231.256, 0.000, 1.259, 0.000, -1.754, -0.817, 0.000, 231.091, -3.087, 2.500, 0, 1 
3184275, 590012089, 231.256, 231.256, 0.000, 1.280, 0.000, -1.921, -2.489, 0.000, 231.088, -3.089, 2.500, 0, 1 
3184275, 591023820, 231.256, 231.256, 0.000, 1.297, 0.000, -1.741, -1.669, 0.000, 231.085, -3.091, 2.500, 0, 1 
3184275, 592033819, 231.256, 231.256, 0.000, 1.316, 0.000, -1.823, -1.952, 0.000, 231.082, -3.092, 2.500, 0, 1 
3184275, 593052672, 231.256, 231.256, 0.000, 1.335, 0.000, -1.848, -2.110, 0.000, 231.079, -3.094, 2.500, 0, 1 
3184275, 594499407, 231.256, 231.256, 0.000, 1.352, 0.000, -1.773, -1.826, 0.000, 231.076, -3.096, 2.500, 0, 1 
3184275, 595612494, 231.256, 231.256, 0.000, 1.369, 0.000, -1.751, -1.605, 0.000, 231.073, -3.097, 2.500, 0, 1 
3184275, 596622196, 231.256, 231.256, 0.000, 1.389, 0.000, -1.921, -1.353, 0.000, 231.070, -3.099, 2.500, 0, 1 
3184275, 597631170, 231.256, 231.256, 0.000, 1.407, 0.000, -1.839, -1.889, 0.000, 231.067, -3.101, 2.500, 0, 1 
3184275, 598641753, 231.256, 231.256, 0.000, 1.423, 0.000, -1.732, -1.795, 0.000, 231.064, -3.102, 2.500, 0, 1 
3184275, 599651461, 231.256, 231.256, 0.000, 1.439, 0.000, -1.722, -1.511, 0.000, 231.060, -3.104, 2.500, 0, 1 
3184275, 600660725, 231.256, 231.256, 0.000, 1.458, 0.000, -1.848, -1.795, 0.000, 231.057, -3.106, 2.500, 0, 1 
3184275, 601670177, 231.256, 231.256, 0.000, 1.476, 0.000, -1.877, -3.056, 0.000, 231.054, -3.107, 2.500, 0, 1 
3184275, 602678970, 231.256, 231.256, 0.000, 1.498, 0.000, -2.006, -4.223, 0.000, 231.051, -3.109, 2.500, 0, 1 
3184275, 603686356, 231.256, 231.256, 0.000, 1.515, 0.000, -1.804, -1.101, 0.000, 231.048, -3.111, 2.500, 0, 1 
3184275, 604693488, 231.256, 231.256, 0.000, 1.538, 0.000, -2.110, -2.047, 0.000, 231.045, -3.112, 2.500, 0, 1 
3184275, 605701374, 231.256, 231.256, 0.000, 1.561, 0.000, -2.072, -2.394, 0.000, 231.042, -3.114, 2.500, 0, 1 
3184275, 606709641, 231.256, 231.256, 0.000, 1.583, 0.000, -2.107, -2.299, 0.000, 231.039, -3.116, 2.500, 0, 1 
3184275, 607716545, 231.256, 231.256, 0.000, 1.608, 0.000, -2.214, -2.331, 0.000, 231.036, -3.117, 2.500, 0, 1 
3184275, 608723663, 231.256, 231.256, 0.000, 1.633, 0.000, -2.183, -1.605, 0.000, 231.032, -3.119, 2.500, 0, 1 
3184275, 609731434, 231.256, 231.256, 0.000, 1.658, 0.000, -2.233, -1.574, 0.000, 231.029, -3.121, 2.500, 0, 1 
3184275, 610737735, 231.256, 231.256, 0.000, 1.688, 0.000, -2.485, -4.003, 0.000, 231.026, -3.122, 2.500, 0, 1 
3184275, 611744257, 231.256, 231.256, 0.000, 1.714, 0.000, -2.315, -2.520, 0.000, 231.023, -3.124, 2.500, 0, 1 
3184275, 612752406, 231.256, 231.256, 0.000, 1.742, 0.000, -2.369, -2.110, 0.000, 231.020, -3.126, 2.500, 0, 1 
3184275, 613760470, 231.256, 231.256, 0.000, 1.765, 0.000, -2.164, -1.763, 0.000, 231.017, -3.127, 2.500, 0, 1 
3184275, 614768188, 231.256, 231.256, 0.000, 1.790, 0.000, -2.268, -1.795, 0.000, 231.014, -3.129, 2.500, 0, 1 
3184275, 615775875, 231.256, 231.256, 0.000, 1.816, 0.000, -2.274, -2.142, 0.000, 231.011, -3.131, 2.500, 0, 1 
3184275, 616784029, 231.256, 231.256, 0.000, 1.840, 0.000, -2.252, -2.520, 0.000, 231.007, -3.133, 2.500, 0, 1 
3184275, 617792082, 231.256, 231.256, 0.000, 1.864, 0.000, -2.227, -2.426, 0.000, 231.004, -3.134, 2.500, 0, 1 
3184275, 618799437, 231.256, 231.256, 0.000, 1.887, 0.000, -2.148, -1.448, 0.000, 231.001, -3.136, 2.500, 0, 1 
3184275, 619807039, 231.256, 231.256, 0.000, 1.913, 0.000, -2.344, -2.583, 0.000, 230.998, -3.138, 2.500, 0, 1 
3184275, 620815140, 231.256, 231.256, 0.000, 1.939, 0.000, -2.312, -2.394, 0.000, 230.995, -3.139, 2.500, 0, 1 
3184275, 621822441, 231.256, 231.256, 0.000, 1.959, 0.000, -2.091, -1.605, 0.000, 230.992, -3.141, 2.500, 0, 1 
3184275, 622829211, 231.256, 231.256, 0.000, 1.981, 0.000, -2.104, -1.858, 0.000, 230.989, -3.143, 2.500, 0, 1 
3184275, 623834353, 231.256, 231.256, 0.000, 2.001, 0.000, -2.088, -2.205, 0.000, 230.985, -3.144, 2.500, 0, 1 
3184275, 624842002, 231.256, 231.256, 0.000, 2.022, 0.000, -2.113, -2.362, 0.000, 230.982, -3.146, 2.500, 0, 1 
3184275, 625848870, 231.256, 231.256, 0.000, 2.042, 0.000, -2.063, -1.448, 0.000, 230.979, -3.148, 2.500, 0, 1 
3184275, 626856282, 231.256, 231.256, 0.000, 2.063, 0.000, -2.110, -1.700, 0.000, 230.976, -3.150, 2.500, 0, 1 
3184275, 627864029, 231.256, 231.256, 0.000, 2.082, 0.000, -2.009, -1.763, 0.000, 230.973, -3.151, 2.500, 0, 1 
3184275, 628870955, 231.256, 231.256, 0.000, 2.100, 0.000, -2.000, -2.394, 0.000, 230.970, -3.153, 2.500, 0, 1 
3184275, 629877618, 231.256, 231.256, 0.000, 2.119, 0.000, -2.016, -2.236, 0.000, 230.967, -3.155, 2.500, 0, 1 
3184275, 630885296, 231.256, 231.256, 0.000, 2.134, 0.000, -1.836, -0.628, 0.000, 230.963, -3.156, 2.500, 0, 1 
3184275, 631889824, 231.256, 231.256, 0.000, 2.152, 0.000, -1.978, -2.205, 0.000, 230.960, -3.158, 2.500, 0, 1 
3184275, 632894751, 231.256, 231.256, 0.000, 2.168, 0.000, -1.892, -2.331, 0.000, 230.957, -3.160, 2.500, 0, 1 
3184275, 633900131, 231.256, 231.256, 0.000, 2.183, 0.000, -1.867, -1.732, 0.000, 230.954, -3.161, 2.500, 0, 1 
3184275, 634905504, 231.256, 231.256, 0.000, 2.198, 0.000, -1.833, -1.259, 0.000, 230.951, -3.163, 2.500, 0, 1 
3184275, 635934531, 231.256, 231.256, 0.000, 2.211, 0.000, -1.782, -1.385, 0.000, 230.948, -3.165, 2.500, 0, 1 
3184275, 636941716, 231.256, 231.256, 0.000, 2.225, 0.000, -1.807, -1.826, 0.000, 230.944, -3.167, 2.500, 0, 1 
3184275, 637948399, 231.256, 231.256, 0.000, 2.239, 0.000, -1.801, -2.079, 0.000, 230.941, -3.168, 2.500, 0, 1 
3184275, 638955393, 231.256, 231.256, 0.000, 2.252, 0.000, -1.773, -1.732, 0.000, 230.938, -3.170, 2.500, 0, 1 
3184275, 639961631, 231.256, 231.256, 0.000, 2.263, 0.000, -1.681, -1.132, 0.000, 230.935, -3.172, 2.500, 0, 1 
