Thu May 30 16:53:08 2019
Controller Frequency: 1.00 kHz
Time(s), Time(ns), x, xa, v, va, v_unfilt, f, f_unfilt, xdes, vdes, cmd, LSB, LSF
786365, 810868953, 0.000, -0.005, 0.000, 0.039, 0.000, 0.060, 0.596, 0.005, 5.000, 2.500, 0, 0 
786365, 812182942, 0.000, -0.010, 0.000, 0.079, 0.000, -0.035, -0.350, 0.010, 5.005, 2.500, 0, 0 
786365, 813542734, 0.000, -0.015, 0.000, 0.118, 0.000, 0.018, -0.413, 0.015, 5.011, 2.500, 0, 0 
786365, 814616042, 0.000, -0.020, 0.000, 0.156, 0.000, 0.078, 0.533, 0.020, 5.016, 2.500, 0, 0 
786365, 815638406, 0.000, -0.025, 0.000, 0.195, 0.000, -0.023, -0.066, 0.025, 5.021, 2.500, 0, 0 
786365, 816803981, 0.000, -0.029, 0.000, 0.233, 0.000, 0.039, 0.028, 0.030, 5.027, 2.500, 0, 0 
786365, 817822620, 0.000, -0.034, 0.000, 0.270, 0.000, 0.112, 0.817, 0.035, 5.032, 2.500, 0, 0 
786365, 818954850, 0.000, -0.039, 0.000, 0.306, 0.000, 0.130, 0.975, 0.040, 5.037, 2.500, 0, 0 
786365, 820378011, 0.000, -0.044, 0.000, 0.340, 0.000, 0.196, 0.817, 0.045, 5.043, 2.500, 0, 0 
786365, 821984637, 0.000, -0.048, 0.000, 0.372, 0.000, 0.294, 0.817, 0.050, 5.048, 2.500, 0, 0 
786365, 823386410, 0.000, -0.053, 0.000, 0.403, 0.000, 0.372, 0.786, 0.055, 5.053, 2.500, 1, 0 
786365, 824800117, 0.000, -0.058, 0.000, 0.432, 0.000, 0.423, 1.069, 0.060, 5.059, 2.500, 1, 0 
786365, 825859282, 0.000, -0.062, 0.000, 0.460, 0.000, 0.470, 0.407, 0.065, 5.064, 2.500, 1, 0 
786365, 827101343, 0.000, -0.067, 0.000, 0.485, 0.000, 0.666, 0.880, 0.070, 5.069, 2.500, 1, 0 
