Thu May  2 13:49:56 2019
Controller Frequency: 1.00 kHz
Time(s), Time(ns), x, xa, v, va, v_unfilt, f, f_unfilt, xdes, vdes, cmd, LSB, LSF
522180, 932995628, 0.000, -0.005, 0.000, 0.038, 0.000, 0.076, 0.763, 0.005, 5.000, 2.500, 0, 0 
522180, 934663997, 0.000, -0.010, 0.000, 0.080, 0.000, -0.088, -0.877, 0.010, 5.007, 2.500, 0, 0 
522180, 935840633, 0.000, -0.015, 0.000, 0.117, 0.000, 0.118, 0.416, 0.015, 5.013, 2.500, 0, 0 
522180, 936999234, 0.000, -0.020, 0.000, 0.157, 0.000, -0.049, -0.372, 0.020, 5.020, 2.500, 0, 0 
522180, 938227857, 0.000, -0.025, 0.000, 0.195, 0.000, 0.062, 0.322, 0.025, 5.027, 2.500, 0, 0 
522180, 939242984, 0.000, -0.029, 0.000, 0.234, 0.000, -0.028, -0.215, 0.030, 5.033, 2.500, 0, 0 
522180, 940257206, 0.000, -0.034, 0.000, 0.274, 0.000, -0.056, -0.814, 0.035, 5.040, 2.500, 0, 0 
522180, 941273660, 0.000, -0.039, 0.000, 0.313, 0.000, -0.002, -0.057, 0.040, 5.047, 2.500, 0, 0 
522180, 942290571, 0.000, -0.044, 0.000, 0.352, 0.000, -0.042, 0.353, 0.045, 5.053, 2.500, 0, 0 
522180, 943305109, 0.000, -0.048, 0.000, 0.392, 0.000, -0.079, 0.038, 0.050, 5.060, 2.500, 0, 0 
522180, 944326596, 0.000, -0.053, 0.000, 0.430, 0.000, -0.041, 0.069, 0.055, 5.067, 2.500, 1, 0 
522180, 945905123, 0.000, -0.058, 0.000, 0.470, 0.000, -0.107, 0.132, 0.060, 5.074, 2.500, 1, 0 
522180, 947005609, 0.000, -0.062, 0.000, 0.507, 0.000, 0.009, 0.353, 0.066, 5.080, 2.500, 1, 0 
522180, 948093797, 0.000, -0.067, 0.000, 0.547, 0.000, -0.110, -0.562, 0.071, 5.087, 2.500, 1, 0 
522180, 949261109, 0.000, -0.071, 0.000, 0.585, 0.000, -0.035, -0.530, 0.076, 5.094, 2.500, 1, 0 
522180, 950337821, 0.000, -0.076, 0.000, 0.622, 0.000, -0.025, 0.448, 0.081, 5.101, 2.500, 1, 0 
522180, 951426400, 0.000, -0.080, 0.000, 0.661, 0.000, -0.126, -0.246, 0.086, 5.107, 2.500, 1, 0 
522180, 952696558, 0.000, -0.085, 0.000, 0.697, 0.000, 0.035, 0.101, 0.091, 5.114, 2.500, 1, 0 
522180, 954394710, 0.000, -0.089, 0.000, 0.733, 0.000, 0.028, 0.227, 0.096, 5.121, 2.500, 1, 0 
522180, 955514651, 0.000, -0.093, 0.000, 0.768, 0.000, 0.038, 0.574, 0.101, 5.128, 2.500, 1, 0 
522180, 956603130, 0.000, -0.098, 0.000, 0.805, 0.000, -0.038, -0.372, 0.106, 5.135, 2.500, 1, 0 
522180, 957920713, 0.000, -0.102, 0.000, 0.840, 0.000, 0.032, -0.183, 0.112, 5.141, 2.500, 1, 0 
522180, 959051568, 0.000, -0.106, 0.000, 0.876, 0.000, -0.025, -0.246, 0.117, 5.148, 2.500, 1, 0 
522180, 960203498, 0.000, -0.111, 0.000, 0.912, 0.000, -0.019, 0.353, 0.122, 5.155, 2.500, 1, 0 
522180, 961215635, 0.000, -0.115, 0.000, 0.947, 0.000, 0.016, 0.385, 0.127, 5.162, 2.500, 1, 0 
522180, 962229916, 0.000, -0.119, 0.000, 0.980, 0.000, 0.129, 0.637, 0.132, 5.169, 2.500, 1, 0 
522180, 963246051, 0.000, -0.123, 0.000, 1.013, 0.000, 0.098, 0.385, 0.137, 5.176, 2.500, 1, 0 
522180, 964260520, 0.000, -0.127, 0.000, 1.045, 0.000, 0.120, -0.278, 0.143, 5.183, 2.500, 1, 0 
522180, 965275259, 0.000, -0.132, 0.000, 1.075, 0.000, 0.230, 0.543, 0.148, 5.189, 2.500, 1, 0 
522180, 966289109, 0.000, -0.136, 0.000, 1.107, 0.000, 0.151, 0.259, 0.153, 5.196, 2.500, 1, 0 
522180, 967305730, 0.000, -0.140, 0.000, 1.138, 0.000, 0.186, 0.637, 0.158, 5.203, 2.500, 1, 0 
522180, 968345255, 0.000, -0.144, 0.000, 1.168, 0.000, 0.199, 0.132, 0.163, 5.210, 2.500, 1, 0 
522180, 969475661, 0.000, -0.148, 0.000, 1.198, 0.000, 0.227, -0.404, 0.169, 5.217, 2.500, 1, 0 
522180, 970487710, 0.000, -0.152, 0.000, 1.225, 0.000, 0.322, 0.164, 0.174, 5.224, 2.500, 1, 0 
522180, 971504960, 0.000, -0.156, 0.000, 1.254, 0.000, 0.271, 0.416, 0.179, 5.231, 2.500, 1, 0 
522180, 972576259, 0.000, -0.160, 0.000, 1.284, 0.000, 0.183, -0.246, 0.184, 5.238, 2.500, 1, 0 
522180, 973592391, 0.000, -0.164, 0.000, 1.315, 0.000, 0.110, -0.751, 0.189, 5.245, 2.500, 1, 0 
522180, 974607276, 0.000, -0.168, 0.000, 1.345, 0.000, 0.167, 0.448, 0.195, 5.252, 2.500, 1, 0 
522180, 975622397, 0.000, -0.172, 0.000, 1.378, 0.000, 0.057, -0.183, 0.200, 5.259, 2.500, 1, 0 
522180, 976759828, 0.000, -0.175, 0.000, 1.409, 0.000, 0.107, 0.416, 0.205, 5.266, 2.500, 1, 0 
522180, 977822709, 0.000, -0.179, 0.000, 1.439, 0.000, 0.136, 1.142, 0.211, 5.273, 2.500, 1, 0 
522180, 978834566, 0.000, -0.183, 0.000, 1.471, 0.000, 0.063, 0.637, 0.216, 5.280, 2.500, 1, 0 
522180, 979844748, 0.000, -0.187, 0.000, 1.501, 0.000, 0.145, 0.448, 0.221, 5.287, 2.500, 1, 0 
522180, 980854255, 0.000, -0.191, 0.000, 1.529, 0.000, 0.252, 0.480, 0.226, 5.294, 2.500, 1, 0 
522180, 981862740, 0.000, -0.194, 0.000, 1.557, 0.000, 0.192, -0.404, 0.232, 5.301, 2.500, 1, 0 
522180, 982880620, 0.000, -0.198, 0.000, 1.585, 0.000, 0.246, 0.069, 0.237, 5.308, 2.500, 1, 0 
522180, 983923324, 0.000, -0.202, 0.000, 1.612, 0.000, 0.256, 0.322, 0.242, 5.315, 2.500, 1, 0 
522180, 984995299, 0.000, -0.206, 0.000, 1.640, 0.000, 0.202, -1.035, 0.248, 5.322, 2.500, 1, 0 
522180, 986008264, 0.000, -0.209, 0.000, 1.664, 0.000, 0.416, 1.237, 0.253, 5.329, 2.500, 1, 0 
522180, 987024832, 0.000, -0.213, 0.000, 1.691, 0.000, 0.274, 0.669, 0.258, 5.336, 2.500, 1, 0 
522180, 988041585, 0.000, -0.217, 0.000, 1.718, 0.000, 0.243, -0.467, 0.264, 5.343, 2.500, 1, 0 
522180, 989184181, 0.000, -0.220, 0.000, 1.744, 0.000, 0.293, 0.511, 0.269, 5.350, 2.500, 1, 0 
522180, 990550128, 0.000, -0.224, 0.000, 1.772, 0.000, 0.215, 0.827, 0.274, 5.357, 2.500, 1, 0 
522180, 991642600, 0.000, -0.227, 0.000, 1.800, 0.000, 0.139, 0.006, 0.280, 5.365, 2.500, 1, 0 
522180, 992755525, 0.000, -0.231, 0.000, 1.827, 0.000, 0.240, 0.669, 0.285, 5.372, 2.500, 1, 0 
522180, 993833214, 0.000, -0.235, 0.000, 1.854, 0.000, 0.205, -0.088, 0.290, 5.379, 2.500, 1, 0 
522180, 994864358, 0.000, -0.238, 0.000, 1.880, 0.000, 0.281, 0.069, 0.296, 5.386, 2.500, 1, 0 
522180, 995878969, 0.000, -0.242, 0.000, 1.908, 0.000, 0.183, -0.498, 0.301, 5.393, 2.500, 1, 0 
522180, 996892791, 0.000, -0.245, 0.000, 1.931, 0.000, 0.379, 0.353, 0.307, 5.400, 2.500, 1, 0 
522180, 998001182, 0.000, -0.248, 0.000, 1.958, 0.000, 0.208, 0.385, 0.312, 5.408, 2.500, 1, 0 
522180, 999093983, 0.000, -0.252, 0.000, 1.987, 0.000, 0.129, -0.088, 0.317, 5.415, 2.500, 1, 0 
522181, 316062, 0.000, -0.255, 0.000, 2.012, 0.000, 0.268, 0.448, 0.323, 5.422, 2.500, 1, 0 
522181, 1398820, 0.000, -0.259, 0.000, 2.041, 0.000, 0.114, -0.498, 0.328, 5.429, 2.500, 1, 0 
522181, 2412397, 0.000, -0.262, 0.000, 2.068, 0.000, 0.183, 0.574, 0.334, 5.436, 2.500, 1, 0 
522181, 3424309, 0.000, -0.265, 0.000, 2.097, 0.000, 0.050, -0.246, 0.339, 5.444, 2.500, 1, 0 
522181, 4512883, 0.000, -0.269, 0.000, 2.126, 0.000, 0.060, -0.057, 0.345, 5.451, 2.500, 1, 0 
522181, 5595843, 0.000, -0.272, 0.000, 2.156, 0.000, 0.041, -0.088, 0.350, 5.458, 2.500, 1, 0 
522181, 6677969, 0.000, -0.275, 0.000, 2.185, 0.000, 0.016, -0.215, 0.356, 5.465, 2.500, 1, 0 
522181, 7758110, 0.000, -0.279, 0.000, 2.213, 0.000, 0.104, 0.259, 0.361, 5.473, 2.500, 1, 0 
522181, 8881291, 0.000, -0.282, 0.000, 2.244, 0.000, -0.054, -0.751, 0.367, 5.480, 2.500, 1, 0 
