Thu Nov 29 13:16:46 2018
Controller Frequency: 1.50 kHz
Time(s), Time(ns), x, v, f, xdes, vdes, cmd, LSB, LSF
159747, 232625755, 0.000, -0.000, 433.916, 25.000, 0.000, 2.320, 0, 0 
159747, 234207482, 0.000, -0.000, 433.916, 25.000, 0.000, 2.320, 0, 0 
159747, 235822102, 0.000, -0.000, 433.916, 25.000, 0.000, 2.320, 0, 0 
159747, 237433225, 0.000, -0.000, 433.916, 25.000, 0.000, 2.320, 0, 0 
159747, 239047731, 0.000, -0.000, 433.916, 25.000, 0.000, 2.320, 0, 0 
159747, 240628913, 0.000, -0.000, 433.916, 25.000, 0.000, 2.320, 0, 0 
159747, 242141380, 0.000, -0.000, 433.916, 25.000, 0.000, 2.320, 0, 0 
159747, 243653743, 0.000, -0.000, 433.916, 25.000, 0.000, 2.320, 0, 0 
159747, 245162517, 0.000, -0.000, 433.916, 25.000, 0.000, 2.320, 0, 0 
159747, 246668183, 0.000, -0.000, 433.916, 25.000, 0.000, 2.320, 0, 0 
159747, 248268154, 0.000, -0.000, 433.916, 25.000, 0.000, 2.320, 0, 0 
159747, 249773354, 0.000, -0.000, 433.916, 25.000, 0.000, 2.320, 0, 0 
159747, 251335227, 0.000, -0.000, 433.916, 25.000, 0.000, 2.320, 0, 0 
159747, 252921291, 0.000, -0.000, 433.916, 25.000, 0.000, 2.320, 0, 0 
159747, 254502404, 0.000, -0.000, 433.916, 25.000, 0.000, 2.320, 0, 0 
159747, 256094208, 0.000, -0.000, 433.916, 25.000, 0.000, 2.320, 0, 0 
159747, 257672584, 0.000, -0.000, 433.916, 25.000, 0.000, 2.320, 0, 0 
159747, 259255394, 0.000, -0.000, 433.916, 25.000, 0.000, 2.320, 0, 0 
159747, 260806391, 0.000, -0.000, 433.916, 25.000, 0.000, 2.320, 0, 0 
159747, 262348641, 0.000, -0.000, 433.916, 25.000, 0.000, 2.320, 0, 0 
159747, 263918300, 0.000, -0.000, 433.916, 25.000, 0.000, 2.320, 0, 0 
159747, 265463566, 0.000, -0.000, 433.916, 25.000, 0.000, 2.320, 0, 0 
159747, 267003117, 0.000, -0.000, 433.916, 25.000, 0.000, 2.320, 0, 0 
159747, 268547897, 0.000, -0.000, 433.916, 25.000, 0.000, 2.320, 0, 0 
159747, 270089718, 0.000, -0.000, 433.916, 25.000, 0.000, 2.320, 0, 0 
159747, 271598088, 0.000, -0.000, 433.916, 25.000, 0.000, 2.320, 0, 0 
159747, 273141783, 0.000, -0.000, 433.916, 25.000, 0.000, 2.320, 0, 0 
159747, 274685341, 0.000, -0.000, 433.916, 25.000, 0.000, 2.320, 0, 0 
159747, 276195262, 0.000, -0.000, 433.916, 25.000, 0.000, 2.320, 0, 0 
159747, 277744398, 0.000, -0.000, 433.916, 25.000, 0.000, 2.320, 0, 0 
159747, 279312891, 0.000, -0.000, 433.916, 25.000, 0.000, 2.320, 0, 0 
159747, 280856227, 0.000, -0.000, 433.916, 25.000, 0.000, 2.320, 0, 0 
159747, 282399579, 0.000, -0.000, 433.916, 25.000, 0.000, 2.320, 0, 0 
159747, 283944198, 0.000, -0.000, 433.916, 25.000, 0.000, 2.320, 0, 0 
159747, 285491894, 0.000, -0.000, 433.916, 25.000, 0.000, 2.320, 0, 0 
159747, 287036440, 0.000, -0.000, 433.916, 25.000, 0.000, 2.320, 0, 0 
159747, 288583010, 0.000, -0.000, 433.916, 25.000, 0.000, 2.320, 0, 0 
159747, 290121284, 0.000, -0.000, 433.916, 25.000, 0.000, 2.320, 0, 0 
159747, 291669308, 0.000, -0.000, 433.916, 25.000, 0.000, 2.320, 0, 0 
159747, 293209225, 0.000, -0.000, 433.916, 25.000, 0.000, 2.320, 0, 0 
159747, 294769937, 0.000, -0.000, 433.916, 25.000, 0.000, 2.320, 0, 0 
159747, 296303846, 0.000, -0.000, 433.916, 25.000, 0.000, 2.320, 0, 0 
159747, 297808834, 0.000, -0.000, 433.916, 25.000, 0.000, 2.320, 0, 0 
159747, 299344597, 0.000, -0.000, 433.916, 25.000, 0.000, 2.320, 0, 0 
159747, 300886877, 0.000, -0.000, 433.916, 25.000, 0.000, 2.320, 0, 0 
159747, 302428306, 0.000, -0.000, 433.916, 25.000, 0.000, 2.320, 0, 0 
159747, 303962263, 0.000, -0.000, 433.916, 25.000, 0.000, 2.320, 0, 0 
159747, 305505739, 0.000, -0.000, 433.916, 25.000, 0.000, 2.320, 0, 0 
159747, 307045782, 0.000, -0.000, 433.916, 25.000, 0.000, 2.320, 0, 0 
159747, 308552357, 0.000, -0.000, 433.916, 25.000, 0.000, 2.320, 0, 0 
159747, 310217042, 0.000, -0.000, 433.916, 25.000, 0.000, 2.320, 0, 0 
159747, 311882360, 0.000, -0.000, 433.916, 25.000, 0.000, 2.320, 0, 0 
159747, 313482139, 0.000, -0.000, 433.916, 25.000, 0.000, 2.320, 0, 0 
159747, 315090573, 0.000, -0.000, 433.916, 25.000, 0.000, 2.320, 0, 0 
159747, 316691482, 0.000, -0.000, 433.916, 25.000, 0.000, 2.320, 0, 0 
159747, 318304402, 0.000, -0.000, 433.916, 25.000, 0.000, 2.320, 0, 0 
159747, 319909288, 0.000, -0.000, 433.916, 25.000, 0.000, 2.320, 0, 0 
159747, 321514299, 0.000, -0.000, 433.916, 25.000, 0.000, 2.320, 0, 0 
159747, 323120442, 0.000, -0.000, 433.916, 25.000, 0.000, 2.320, 0, 0 
159747, 324664152, 0.000, -0.000, 433.916, 25.000, 0.000, 2.320, 0, 0 
159747, 326343161, 0.000, -0.000, 433.916, 25.000, 0.000, 2.320, 0, 0 
159747, 327872543, 0.000, -0.000, 433.916, 25.000, 0.000, 2.320, 0, 0 
