Tue Dec  4 12:04:41 2018
Controller Frequency: 666.000 kHz
Time(s), Time(ns), x, v, f, xdes, vdes, cmd, LSB, LSF
65551, 461779459, 0.000, -0.000, -0.007, 100.000, 0.000, 2.220, 0, 0 
65551, 463406171, 0.000, -0.000, -0.007, 100.000, 0.000, 2.220, 0, 0 
65551, 464993681, 0.000, -0.000, -0.007, 100.000, 0.000, 2.220, 0, 0 
65551, 466601291, 0.000, -0.000, -0.129, 100.000, 0.000, 2.220, 0, 0 
65551, 468207564, 0.000, -0.000, -0.333, 100.000, 0.000, 2.220, 0, 0 
65551, 469817854, 0.000, -0.000, 0.007, 100.000, 0.000, 2.220, 0, 0 
65551, 471426070, 0.000, -0.000, 0.007, 100.000, 0.000, 2.220, 0, 0 
65551, 472963971, 0.000, -0.000, -0.021, 100.000, 0.000, 2.220, 0, 0 
65551, 474495078, 0.000, -0.000, -0.021, 100.000, 0.000, 2.220, 0, 0 
65551, 476034564, 0.000, -0.000, 0.020, 100.000, 0.000, 2.220, 0, 0 
65551, 477644277, 0.000, -0.000, -0.238, 100.000, 0.000, 2.220, 0, 0 
65551, 479254860, 0.000, -0.000, -0.088, 100.000, 0.000, 2.220, 0, 0 
65551, 480865226, 0.000, -0.000, -0.170, 100.000, 0.000, 2.220, 0, 0 
65551, 482472577, 0.000, -0.000, -0.034, 100.000, 0.000, 2.220, 0, 0 
65551, 484085631, 0.000, -0.000, 0.074, 100.000, 0.000, 2.220, 0, 0 
65551, 485694080, 0.000, -0.000, -0.278, 100.000, 0.000, 2.220, 0, 0 
65551, 487301764, 0.000, -0.000, -0.034, 100.000, 0.000, 2.220, 0, 0 
65551, 488840879, 0.000, -0.000, -0.061, 100.000, 0.000, 2.220, 0, 0 
65551, 490407112, 0.000, -0.000, -0.170, 100.000, 0.000, 2.220, 0, 0 
65551, 491930952, 0.000, -0.000, -0.211, 100.000, 0.000, 2.220, 0, 0 
65551, 493543417, 0.000, -0.000, -0.021, 100.000, 0.000, 2.220, 0, 0 
65551, 495137700, 0.000, -0.000, -0.048, 100.000, 0.000, 2.220, 0, 0 
65551, 496748299, 0.000, -0.000, -0.170, 100.000, 0.000, 2.220, 0, 0 
65551, 498356710, 0.000, -0.000, 0.101, 100.000, 0.000, 2.220, 0, 0 
65551, 499965373, 0.000, -0.000, -0.034, 100.000, 0.000, 2.220, 0, 0 
65551, 501569007, 0.000, -0.000, -0.075, 100.000, 0.000, 2.220, 0, 0 
65551, 503189004, 0.000, -0.000, -0.007, 100.000, 0.000, 2.220, 0, 0 
65551, 504813549, 0.000, -0.000, 0.034, 100.000, 0.000, 2.220, 0, 0 
65551, 506417140, 0.000, -0.000, -0.116, 100.000, 0.000, 2.220, 0, 0 
65551, 508019200, 0.000, -0.000, -0.034, 100.000, 0.000, 2.220, 0, 0 
65551, 509650581, 0.000, -0.000, -0.034, 100.000, 0.000, 2.220, 0, 0 
65551, 511259388, 0.000, -0.000, 0.007, 100.000, 0.000, 2.220, 0, 0 
65551, 512871522, 0.000, -0.000, 0.047, 100.000, 0.000, 2.220, 0, 0 
65551, 514464988, 0.000, -0.000, -0.075, 100.000, 0.000, 2.220, 0, 0 
65551, 516046750, 0.000, -0.000, -0.048, 100.000, 0.000, 2.220, 0, 0 
65551, 517584364, 0.000, -0.000, -0.088, 100.000, 0.000, 2.220, 0, 0 
65551, 519124993, 0.000, -0.000, -0.075, 100.000, 0.000, 2.220, 0, 0 
65551, 520665900, 0.000, -0.000, 0.183, 100.000, 0.000, 2.220, 0, 0 
65551, 522201843, 0.000, -0.000, 0.061, 100.000, 0.000, 2.220, 0, 0 
65551, 523746404, 0.000, -0.000, -0.048, 100.000, 0.000, 2.220, 0, 0 
65551, 525309350, 0.000, -0.000, -0.048, 100.000, 0.000, 2.220, 0, 0 
65551, 526853721, 0.000, -0.000, 0.129, 100.000, 0.000, 2.220, 0, 0 
65551, 528361348, 0.000, -0.000, 0.047, 100.000, 0.000, 2.220, 0, 0 
65551, 529936999, 0.000, -0.000, -0.034, 100.000, 0.000, 2.220, 0, 0 
65551, 531541164, 0.000, -0.000, 0.156, 100.000, 0.000, 2.220, 0, 0 
65551, 533117039, 0.000, -0.000, 0.142, 100.000, 0.000, 2.220, 0, 0 
65551, 534715688, 0.000, -0.000, 0.020, 100.000, 0.000, 2.220, 0, 0 
65551, 536318188, 0.000, -0.000, -0.061, 100.000, 0.000, 2.220, 0, 0 
65551, 537916772, 0.000, -0.000, 0.047, 100.000, 0.000, 2.220, 0, 0 
65551, 539508199, 0.000, -0.000, -0.088, 100.000, 0.000, 2.220, 0, 0 
65551, 541091204, 0.000, -0.000, 0.007, 100.000, 0.000, 2.220, 0, 0 
65551, 542634137, 0.000, -0.000, -0.224, 100.000, 0.000, 2.220, 0, 0 
65551, 544143309, 0.000, -0.000, -0.116, 100.000, 0.000, 2.220, 0, 0 
65551, 545709861, 0.000, -0.000, 0.142, 100.000, 0.000, 2.220, 0, 0 
65551, 547289677, 0.000, -0.000, -0.034, 100.000, 0.000, 2.220, 0, 0 
65551, 548837353, 0.000, -0.000, -0.034, 100.000, 0.000, 2.220, 0, 0 
65551, 550415133, 0.000, -0.000, 0.034, 100.000, 0.000, 2.220, 0, 0 
65551, 551986343, 0.000, -0.000, -0.021, 100.000, 0.000, 2.220, 0, 0 
65551, 553531811, 0.000, -0.000, 0.007, 100.000, 0.000, 2.220, 0, 0 
65551, 555095568, 0.000, -0.000, -0.048, 100.000, 0.000, 2.220, 0, 0 
65551, 556665417, 0.000, -0.000, -0.007, 100.000, 0.000, 2.220, 0, 0 
65551, 558255273, 0.000, -0.000, -0.034, 100.000, 0.000, 2.220, 0, 0 
65551, 559784876, 0.000, -0.000, 0.074, 100.000, 0.000, 2.220, 0, 0 
65551, 561337079, 0.000, -0.000, -0.238, 100.000, 0.000, 2.220, 0, 0 
65551, 562852241, 0.000, -0.000, -0.048, 100.000, 0.000, 2.220, 0, 0 
65551, 564435649, 0.000, -0.000, 0.142, 100.000, 0.000, 2.220, 0, 0 
65551, 566025601, 0.000, -0.000, 0.020, 100.000, 0.000, 2.220, 0, 0 
