Tue Dec  4 12:28:19 2018
Controller Frequency: 666.000 kHz
Time(s), Time(ns), x, v, v_unfilt, f, f_unfilt, xdes, vdes, cmd, LSB, LSF
66969, 439687285, 0.000, 0.000, -0.000, 7.881, 19.703, 100.000, 0.000, 2.220, 0, 0 
66969, 441296413, 0.000, 0.000, -0.000, 7.909, 19.771, 100.000, 0.000, 2.220, 0, 0 
66969, 442909613, 0.000, 0.000, -0.000, 15.817, 19.839, 100.000, 0.000, 2.220, 0, 0 
66969, 444515866, 0.000, 0.000, -0.000, 23.764, 19.934, 100.000, 0.000, 2.220, 0, 0 
66969, 446126665, 0.000, 0.000, -0.000, 31.694, 19.921, 100.000, 0.000, 2.220, 0, 0 
66969, 447735859, 0.000, -0.000, -0.000, 39.662, 19.907, 100.000, 0.000, 2.220, 0, 0 
66969, 449347097, 0.000, -0.000, -0.000, 39.749, 19.907, 100.000, 0.000, 2.220, 0, 0 
66969, 450854861, 0.000, -0.000, -0.000, 39.754, 19.785, 100.000, 0.000, 2.220, 0, 0 
66969, 452445126, 0.000, -0.000, -0.000, 39.754, 19.717, 100.000, 0.000, 2.220, 0, 0 
66969, 454031484, 0.000, -0.000, -0.000, 39.695, 19.717, 100.000, 0.000, 2.220, 0, 0 
66969, 455650413, 0.000, -0.000, -0.000, 39.608, 19.703, 100.000, 0.000, 2.220, 0, 0 
66969, 457254147, 0.000, -0.000, -0.000, 39.537, 19.717, 100.000, 0.000, 2.220, 0, 0 
66969, 458865103, 0.000, -0.000, -0.000, 39.505, 19.839, 100.000, 0.000, 2.220, 0, 0 
66969, 460474180, 0.000, -0.000, -0.000, 39.505, 19.907, 100.000, 0.000, 2.220, 0, 0 
66969, 462075607, 0.000, -0.000, -0.000, 39.553, 19.907, 100.000, 0.000, 2.220, 0, 0 
66969, 463692584, 0.000, -0.000, -0.000, 39.640, 19.934, 100.000, 0.000, 2.220, 0, 0 
66969, 465314318, 0.000, -0.000, -0.000, 39.711, 19.907, 100.000, 0.000, 2.220, 0, 0 
66969, 466987665, 0.000, -0.000, -0.000, 39.754, 19.798, 100.000, 0.000, 2.220, 0, 0 
66969, 468492958, 0.000, -0.000, -0.000, 39.760, 19.744, 100.000, 0.000, 2.220, 0, 0 
66969, 470093973, 0.000, -0.000, -0.000, 39.705, 19.717, 100.000, 0.000, 2.220, 0, 0 
66969, 471712128, 0.000, -0.000, -0.000, 39.640, 19.717, 100.000, 0.000, 2.220, 0, 0 
66969, 473316325, 0.000, -0.000, -0.000, 39.553, 19.717, 100.000, 0.000, 2.220, 0, 0 
66969, 474925820, 0.000, -0.000, -0.000, 39.499, 19.771, 100.000, 0.000, 2.220, 0, 0 
66969, 476533294, 0.000, -0.000, -0.000, 39.510, 19.880, 100.000, 0.000, 2.220, 0, 0 
66969, 478041070, 0.000, -0.000, -0.000, 39.543, 19.934, 100.000, 0.000, 2.220, 0, 0 
66969, 479578507, 0.000, -0.000, -0.000, 39.608, 19.934, 100.000, 0.000, 2.220, 0, 0 
66969, 481164811, 0.000, -0.000, -0.000, 39.684, 19.907, 100.000, 0.000, 2.220, 0, 0 
66969, 482771385, 0.000, -0.000, -0.000, 39.770, 19.907, 100.000, 0.000, 2.220, 0, 0 
66969, 484380710, 0.000, -0.000, -0.000, 39.770, 19.771, 100.000, 0.000, 2.220, 0, 0 
66969, 485983107, 0.000, -0.000, -0.000, 39.760, 19.717, 100.000, 0.000, 2.220, 0, 0 
66969, 487591263, 0.000, -0.000, -0.000, 39.695, 19.717, 100.000, 0.000, 2.220, 0, 0 
66969, 489169905, 0.000, -0.000, -0.000, 39.608, 19.717, 100.000, 0.000, 2.220, 0, 0 
66969, 490764344, 0.000, -0.000, -0.000, 39.532, 19.717, 100.000, 0.000, 2.220, 0, 0 
66969, 492365684, 0.000, -0.000, -0.000, 39.499, 19.826, 100.000, 0.000, 2.220, 0, 0 
66969, 493968833, 0.000, -0.000, -0.000, 39.505, 19.893, 100.000, 0.000, 2.220, 0, 0 
66969, 495564872, 0.000, -0.000, -0.000, 39.559, 19.921, 100.000, 0.000, 2.220, 0, 0 
66969, 497074173, 0.000, -0.000, -0.000, 39.635, 19.934, 100.000, 0.000, 2.220, 0, 0 
66969, 498580846, 0.000, -0.000, -0.000, 39.705, 19.907, 100.000, 0.000, 2.220, 0, 0 
66969, 500087801, 0.000, -0.000, -0.000, 39.760, 19.826, 100.000, 0.000, 2.220, 0, 0 
66969, 501595018, 0.000, -0.000, -0.000, 39.754, 19.731, 100.000, 0.000, 2.220, 0, 0 
66969, 503121415, 0.000, -0.000, -0.000, 39.722, 19.717, 100.000, 0.000, 2.220, 0, 0 
66969, 504629006, 0.000, -0.000, -0.000, 39.651, 19.731, 100.000, 0.000, 2.220, 0, 0 
66969, 506138251, 0.000, -0.000, -0.000, 39.564, 19.731, 100.000, 0.000, 2.220, 0, 0 
66969, 507712790, 0.000, -0.000, -0.000, 39.488, 19.717, 100.000, 0.000, 2.220, 0, 0 
66969, 509311827, 0.000, -0.000, -0.000, 39.505, 19.853, 100.000, 0.000, 2.220, 0, 0 
66969, 510819551, 0.000, -0.000, -0.000, 39.521, 19.907, 100.000, 0.000, 2.220, 0, 0 
66969, 512392501, 0.000, -0.000, -0.000, 39.581, 19.921, 100.000, 0.000, 2.220, 0, 0 
66969, 513897354, 0.000, -0.000, -0.000, 39.651, 19.921, 100.000, 0.000, 2.220, 0, 0 
66969, 515444285, 0.000, -0.000, -0.000, 39.722, 19.907, 100.000, 0.000, 2.220, 0, 0 
66969, 517017343, 0.000, -0.000, -0.000, 39.760, 19.798, 100.000, 0.000, 2.220, 0, 0 
66969, 518648088, 0.000, -0.000, -0.000, 39.754, 19.731, 100.000, 0.000, 2.220, 0, 0 
66969, 520170372, 0.000, -0.000, -0.000, 39.711, 19.731, 100.000, 0.000, 2.220, 0, 0 
66969, 521762741, 0.000, -0.000, -0.000, 39.629, 19.717, 100.000, 0.000, 2.220, 0, 0 
66969, 523349466, 0.000, -0.000, -0.000, 39.559, 19.731, 100.000, 0.000, 2.220, 0, 0 
66969, 524867946, 0.000, -0.000, -0.000, 39.521, 19.826, 100.000, 0.000, 2.220, 0, 0 
66969, 526383754, 0.000, -0.000, -0.000, 39.521, 19.893, 100.000, 0.000, 2.220, 0, 0 
66969, 527898979, 0.000, -0.000, -0.000, 39.570, 19.921, 100.000, 0.000, 2.220, 0, 0 
66969, 529412825, 0.000, -0.000, -0.000, 39.635, 19.921, 100.000, 0.000, 2.220, 0, 0 
66969, 530978426, 0.000, -0.000, -0.000, 39.711, 19.907, 100.000, 0.000, 2.220, 0, 0 
66969, 532580323, 0.000, -0.000, -0.000, 39.781, 19.893, 100.000, 0.000, 2.220, 0, 0 
66969, 534186918, 0.000, -0.000, -0.000, 39.770, 19.785, 100.000, 0.000, 2.220, 0, 0 
66969, 535789347, 0.000, -0.000, -0.000, 39.749, 19.731, 100.000, 0.000, 2.220, 0, 0 
66969, 537400568, 0.000, -0.000, -0.000, 39.684, 19.703, 100.000, 0.000, 2.220, 0, 0 
66969, 538997418, 0.000, -0.000, -0.000, 39.613, 19.717, 100.000, 0.000, 2.220, 0, 0 
66969, 540599834, 0.000, -0.000, -0.000, 39.537, 19.731, 100.000, 0.000, 2.220, 0, 0 
66969, 542163676, 0.000, -0.000, -0.000, 39.505, 19.826, 100.000, 0.000, 2.220, 0, 0 
66969, 543749872, 0.000, -0.000, -0.000, 39.510, 19.893, 100.000, 0.000, 2.220, 0, 0 
66969, 545305382, 0.000, -0.000, -0.000, 39.553, 19.907, 100.000, 0.000, 2.220, 0, 0 
66969, 546887224, 0.000, -0.000, -0.000, 39.629, 19.907, 100.000, 0.000, 2.220, 0, 0 
66969, 548398905, 0.000, -0.000, -0.000, 39.705, 19.907, 100.000, 0.000, 2.220, 0, 0 
66969, 550017402, 0.000, -0.000, -0.000, 39.754, 19.853, 100.000, 0.000, 2.220, 0, 0 
66969, 551604699, 0.000, -0.000, -0.000, 39.743, 19.744, 100.000, 0.000, 2.220, 0, 0 
66969, 553191538, 0.000, -0.000, -0.000, 39.716, 19.717, 100.000, 0.000, 2.220, 0, 0 
66969, 554781527, 0.000, -0.000, -0.000, 39.651, 19.717, 100.000, 0.000, 2.220, 0, 0 
66969, 556374824, 0.000, -0.000, -0.000, 39.570, 19.703, 100.000, 0.000, 2.220, 0, 0 
66969, 557887356, 0.000, -0.000, -0.000, 39.515, 19.758, 100.000, 0.000, 2.220, 0, 0 
66969, 559405930, 0.000, -0.000, -0.000, 39.494, 19.853, 100.000, 0.000, 2.220, 0, 0 
66969, 560921221, 0.000, -0.000, -0.000, 39.521, 19.907, 100.000, 0.000, 2.220, 0, 0 
66969, 562437281, 0.000, -0.000, -0.000, 39.570, 19.893, 100.000, 0.000, 2.220, 0, 0 
66969, 564058119, 0.000, -0.000, -0.000, 39.651, 19.907, 100.000, 0.000, 2.220, 0, 0 
66969, 565653768, 0.000, -0.000, -0.000, 39.732, 19.921, 100.000, 0.000, 2.220, 0, 0 
66969, 567225429, 0.000, -0.000, -0.000, 39.743, 19.798, 100.000, 0.000, 2.220, 0, 0 
66969, 568815940, 0.000, -0.000, -0.000, 39.738, 19.717, 100.000, 0.000, 2.220, 0, 0 
66969, 570407957, 0.000, -0.000, -0.000, 39.700, 19.731, 100.000, 0.000, 2.220, 0, 0 
66969, 571997998, 0.000, -0.000, -0.000, 39.624, 19.717, 100.000, 0.000, 2.220, 0, 0 
66969, 573585085, 0.000, -0.000, -0.000, 39.559, 19.731, 100.000, 0.000, 2.220, 0, 0 
66969, 575146056, 0.000, -0.000, -0.000, 39.515, 19.826, 100.000, 0.000, 2.220, 0, 0 
66969, 576748457, 0.000, -0.000, -0.000, 39.521, 19.907, 100.000, 0.000, 2.220, 0, 0 
66969, 578342714, 0.000, -0.000, -0.000, 39.570, 19.921, 100.000, 0.000, 2.220, 0, 0 
66969, 579937243, 0.000, -0.000, -0.000, 39.635, 19.907, 100.000, 0.000, 2.220, 0, 0 
66969, 581577710, 0.000, -0.000, -0.000, 39.716, 19.907, 100.000, 0.000, 2.220, 0, 0 
66969, 583158489, 0.000, -0.000, -0.000, 39.760, 19.839, 100.000, 0.000, 2.220, 0, 0 
66969, 584760254, 0.000, -0.000, -0.000, 39.760, 19.758, 100.000, 0.000, 2.220, 0, 0 
66969, 586368261, 0.000, -0.000, -0.000, 39.716, 19.717, 100.000, 0.000, 2.220, 0, 0 
66969, 587970448, 0.000, -0.000, -0.000, 39.651, 19.717, 100.000, 0.000, 2.220, 0, 0 
66969, 589509296, 0.000, -0.000, -0.000, 39.575, 19.717, 100.000, 0.000, 2.220, 0, 0 
66969, 591021604, 0.000, -0.000, -0.000, 39.510, 19.744, 100.000, 0.000, 2.220, 0, 0 
66969, 592602647, 0.000, -0.000, -0.000, 39.515, 19.880, 100.000, 0.000, 2.220, 0, 0 
66969, 594203933, 0.000, -0.000, -0.000, 39.526, 19.921, 100.000, 0.000, 2.220, 0, 0 
66969, 595724267, 0.000, -0.000, -0.000, 39.586, 19.907, 100.000, 0.000, 2.220, 0, 0 
66969, 597366394, 0.000, -0.000, -0.000, 39.673, 19.921, 100.000, 0.000, 2.220, 0, 0 
66969, 598936283, 0.000, -0.000, -0.000, 39.743, 19.907, 100.000, 0.000, 2.220, 0, 0 
66969, 600527202, 0.000, -0.000, -0.000, 39.765, 19.785, 100.000, 0.000, 2.220, 0, 0 
66969, 602115874, 0.000, -0.000, -0.000, 39.749, 19.717, 100.000, 0.000, 2.220, 0, 0 
66969, 603708048, 0.000, -0.000, -0.000, 39.695, 19.717, 100.000, 0.000, 2.220, 0, 0 
66969, 605297490, 0.000, -0.000, -0.000, 39.619, 19.717, 100.000, 0.000, 2.220, 0, 0 
66969, 606888465, 0.000, -0.000, -0.000, 39.532, 19.703, 100.000, 0.000, 2.220, 0, 0 
66969, 608401957, 0.000, -0.000, -0.000, 39.494, 19.798, 100.000, 0.000, 2.220, 0, 0 
66969, 610002231, 0.000, -0.000, -0.000, 39.505, 19.907, 100.000, 0.000, 2.220, 0, 0 
66969, 611597370, 0.000, -0.000, -0.000, 39.543, 19.921, 100.000, 0.000, 2.220, 0, 0 
66969, 613202702, 0.000, -0.000, -0.000, 39.608, 19.893, 100.000, 0.000, 2.220, 0, 0 
66969, 614762017, 0.000, -0.000, -0.000, 39.695, 19.907, 100.000, 0.000, 2.220, 0, 0 
