Tue Dec  4 14:43:52 2018
Controller Frequency: 1000.000 kHz
Time(s), Time(ns), x, xa, v, va, v_unfilt, f, f_unfilt, xdes, vdes, cmd, LSB, LSF
75117, 214735584, -0.035, 0.000, -0.000, 0.000, -0.000, -0.535, -5.352, 200.000, 0.000, 2.825, 0, 0 
75117, 215814522, -0.061, 0.000, -2.451, 0.000, -24.515, -0.488, -4.877, 200.000, 0.000, 2.829, 0, 0 
75117, 216824408, -0.081, 0.000, -1.936, 0.000, -19.359, -1.167, -6.315, 200.000, 0.000, 2.828, 0, 0 
75117, 217834417, -0.101, 0.000, -4.501, 0.000, -20.495, -1.730, -7.075, 200.000, 0.000, 2.832, 0, 0 
75117, 218844558, -0.123, 0.000, -6.550, 0.000, -21.631, -2.426, -7.712, 200.000, 0.000, 2.835, 0, 0 
75117, 219853671, -0.145, 0.000, -8.602, 0.000, -21.653, -3.076, -7.142, 200.000, 0.000, 2.838, 0, 0 
75117, 220864901, -0.169, 0.000, -10.988, 0.000, -23.882, -3.851, -7.183, 200.000, 0.000, 2.842, 0, 0 
75117, 221952912, -0.189, 0.000, -12.562, 0.000, -17.969, -4.587, -7.400, 200.000, 0.000, 2.844, 0, 0 
75117, 222969773, -0.208, 0.000, -15.076, 0.000, -19.226, -5.331, -7.658, 200.000, 0.000, 2.848, 0, 0 
75117, 223983513, -0.227, 0.000, -16.765, 0.000, -18.151, -6.050, -7.441, 200.000, 0.000, 2.851, 0, 0 
75117, 225034088, -0.247, 0.000, -18.843, 0.000, -19.703, -6.795, -7.237, 200.000, 0.000, 2.854, 1, 0 
75117, 226047714, -0.266, 0.000, -20.503, 0.000, -18.153, -7.023, -7.427, 200.000, 0.000, 2.856, 1, 0 
75117, 227060679, -0.282, 0.000, -19.796, 0.000, -15.894, -7.250, -7.332, 200.000, 0.000, 2.855, 1, 0 
75117, 228074843, -0.298, 0.000, -19.674, 0.000, -15.875, -7.362, -7.346, 200.000, 0.000, 2.855, 1, 0 
75117, 229093975, -0.314, 0.000, -19.206, 0.000, -15.798, -7.430, -7.766, 200.000, 0.000, 2.854, 1, 0 
75117, 230106100, -0.329, 0.000, -18.528, 0.000, -14.771, -7.328, -7.115, 200.000, 0.000, 2.853, 1, 0 
75117, 231147348, -0.343, 0.000, -17.790, 0.000, -13.253, -7.434, -7.549, 200.000, 0.000, 2.852, 1, 0 
75117, 232160020, -0.356, 0.000, -16.917, 0.000, -13.627, -7.419, -7.468, 200.000, 0.000, 2.851, 1, 0 
75117, 233204215, -0.370, 0.000, -16.404, 0.000, -13.216, -7.427, -7.400, 200.000, 0.000, 2.850, 1, 0 
75117, 234249215, -0.384, 0.000, -15.843, 0.000, -13.206, -7.395, -7.264, 200.000, 0.000, 2.850, 1, 0 
75117, 235369990, -0.405, 0.000, -15.876, 0.000, -18.469, -7.406, -7.414, 200.000, 0.000, 2.850, 1, 0 
75117, 236867344, -0.415, 0.000, -14.070, 0.000, -6.912, -7.422, -7.549, 200.000, 0.000, 2.847, 1, 0 
75117, 237963427, -0.425, 0.000, -14.355, 0.000, -9.443, -7.380, -7.142, 200.000, 0.000, 2.847, 1, 0 
75117, 238973598, -0.436, 0.000, -13.537, 0.000, -10.246, -7.416, -7.292, 200.000, 0.000, 2.846, 1, 0 
75117, 239983677, -0.446, 0.000, -12.894, 0.000, -10.247, -7.395, -7.278, 200.000, 0.000, 2.845, 1, 0 
75117, 241044068, -0.454, 0.000, -12.073, 0.000, -7.592, -7.369, -7.495, 200.000, 0.000, 2.844, 1, 0 
75117, 242081251, -0.463, 0.000, -11.749, 0.000, -8.870, -7.404, -7.685, 200.000, 0.000, 2.844, 1, 0 
75117, 243095565, -0.472, 0.000, -11.089, 0.000, -7.936, -7.388, -7.576, 200.000, 0.000, 2.843, 1, 0 
75117, 244107723, -0.478, 0.000, -10.502, 0.000, -6.817, -7.415, -7.631, 200.000, 0.000, 2.842, 1, 0 
75117, 245119418, -0.484, 0.000, -9.860, 0.000, -5.684, -7.438, -7.685, 200.000, 0.000, 2.841, 1, 0 
75117, 246183565, -0.491, 0.000, -9.302, 0.000, -6.484, -7.486, -7.793, 200.000, 0.000, 2.840, 1, 0 
75117, 247194142, -0.496, 0.000, -7.830, 0.000, -4.552, -7.479, -7.454, 200.000, 0.000, 2.838, 1, 0 
75117, 248206453, -0.500, 0.000, -7.786, 0.000, -4.544, -7.477, -7.197, 200.000, 0.000, 2.838, 1, 0 
75117, 249218828, -0.505, 0.000, -7.297, 0.000, -4.544, -7.543, -7.536, 200.000, 0.000, 2.837, 1, 0 
75117, 250232809, -0.508, 0.000, -6.613, 0.000, -3.402, -7.556, -7.766, 200.000, 0.000, 2.836, 1, 0 
75117, 251245177, -0.511, 0.000, -5.929, 0.000, -2.272, -7.563, -7.576, 200.000, 0.000, 2.835, 1, 0 
75117, 252256273, -0.513, 0.000, -5.511, 0.000, -2.275, -7.522, -6.898, 200.000, 0.000, 2.834, 1, 0 
75117, 253268412, -0.515, 0.000, -4.851, 0.000, -2.272, -7.555, -7.332, 200.000, 0.000, 2.833, 1, 0 
75117, 254278815, -0.516, 0.000, -4.171, 0.000, -1.138, -7.491, -7.373, 200.000, 0.000, 2.832, 1, 0 
75117, 255291096, -0.517, 0.000, -3.716, 0.000, -1.136, -7.460, -7.359, 200.000, 0.000, 2.832, 1, 0 
75117, 256350052, -0.517, 0.000, -3.148, 0.000, 0.000, -7.415, -7.224, 200.000, 0.000, 2.831, 1, 0 
75117, 257361018, -0.517, 0.000, -2.614, 0.000, 0.000, -7.373, -7.237, 200.000, 0.000, 2.830, 1, 0 
75117, 258371297, -0.516, 0.000, -2.045, 0.000, 1.138, -7.392, -7.658, 200.000, 0.000, 2.829, 1, 0 
75117, 259381235, -0.515, 0.000, -1.590, 0.000, 1.139, -7.372, -7.414, 200.000, 0.000, 2.828, 1, 0 
75117, 260390444, -0.513, 0.000, -0.908, 0.000, 2.279, -7.400, -7.576, 200.000, 0.000, 2.827, 1, 0 
75117, 261399563, -0.511, 0.000, -0.454, 0.000, 2.279, -7.347, -7.400, 200.000, 0.000, 2.827, 1, 0 
75117, 262406462, -0.508, 0.000, 0.002, 0.000, 2.284, -7.321, -7.142, 200.000, 0.000, 2.826, 1, 0 
75117, 263413525, -0.505, 0.000, 0.571, 0.000, 3.426, -7.401, -7.441, 200.000, 0.000, 2.825, 1, 0 
75117, 264422891, -0.501, 0.000, 1.026, 0.000, 3.418, -7.399, -7.604, 200.000, 0.000, 2.824, 1, 0 
75117, 265430323, -0.497, 0.000, 1.598, 0.000, 4.566, -7.365, -7.197, 200.000, 0.000, 2.824, 1, 0 
75117, 266457752, -0.492, 0.000, 2.044, 0.000, 4.477, -7.406, -7.359, 200.000, 0.000, 2.823, 1, 0 
75117, 267464164, -0.488, 0.000, 2.510, 0.000, 4.571, -7.433, -7.658, 200.000, 0.000, 2.822, 1, 0 
75117, 268471156, -0.482, 0.000, 3.072, 0.000, 5.710, -7.438, -7.590, 200.000, 0.000, 2.821, 1, 0 
75117, 269477355, -0.475, 0.000, 3.530, 0.000, 6.857, -7.414, -7.346, 200.000, 0.000, 2.821, 1, 0 
75117, 270526591, -0.468, 0.000, 3.959, 0.000, 6.576, -7.468, -7.712, 200.000, 0.000, 2.820, 1, 0 
75117, 271599422, -0.461, 0.000, 4.402, 0.000, 6.432, -7.404, -7.305, 200.000, 0.000, 2.819, 1, 0 
75117, 272606161, -0.453, 0.000, 4.988, 0.000, 7.996, -7.471, -7.658, 200.000, 0.000, 2.818, 1, 0 
75117, 273612841, -0.445, 0.000, 5.403, 0.000, 7.997, -7.468, -7.468, 200.000, 0.000, 2.818, 1, 0 
75117, 274618796, -0.436, 0.000, 5.975, 0.000, 9.146, -7.463, -7.197, 200.000, 0.000, 2.817, 1, 0 
75117, 275624554, -0.428, 0.000, 6.319, 0.000, 8.004, -7.480, -7.509, 200.000, 0.000, 2.816, 1, 0 
75117, 276647242, -0.419, 0.000, 6.876, 0.000, 8.996, -7.427, -6.980, 200.000, 0.000, 2.816, 1, 0 
75117, 277651942, -0.409, 0.000, 7.245, 0.000, 9.157, -7.484, -7.400, 200.000, 0.000, 2.815, 1, 0 
75117, 278656327, -0.399, 0.000, 7.802, 0.000, 10.305, -7.407, -7.305, 200.000, 0.000, 2.814, 1, 0 
75117, 279660843, -0.386, 0.000, 8.375, 0.000, 12.593, -7.355, -6.980, 200.000, 0.000, 2.813, 1, 0 
75117, 280666134, -0.376, 0.000, 8.490, 0.000, 10.296, -7.365, -7.115, 200.000, 0.000, 2.813, 1, 0 
75117, 281670319, -0.365, 0.000, 9.208, 0.000, 11.452, -7.281, -7.007, 200.000, 0.000, 2.812, 1, 0 
75117, 282674615, -0.353, 0.000, 9.594, 0.000, 11.451, -7.335, -7.739, 200.000, 0.000, 2.811, 1, 0 
75117, 283677734, -0.340, 0.000, 10.056, 0.000, 12.611, -7.231, -7.346, 200.000, 0.000, 2.811, 1, 0 
75117, 284694522, -0.323, 0.000, 10.836, 0.000, 16.965, -7.292, -7.685, 200.000, 0.000, 2.809, 1, 0 
75117, 285697866, -0.314, 0.000, 10.403, 0.000, 9.169, -7.279, -7.414, 200.000, 0.000, 2.810, 1, 0 
75117, 286813685, -0.298, 0.000, 11.825, 0.000, 14.429, -7.275, -7.197, 200.000, 0.000, 2.808, 1, 0 
75117, 287912133, -0.284, 0.000, 11.656, 0.000, 12.563, -7.369, -7.699, 200.000, 0.000, 2.808, 1, 0 
75117, 289015291, -0.267, 0.000, 12.491, 0.000, 15.637, -7.301, -7.224, 200.000, 0.000, 2.807, 1, 0 
75117, 290117424, -0.250, 0.000, 12.718, 0.000, 15.651, -7.342, -7.237, 200.000, 0.000, 2.806, 1, 0 
75117, 291208637, -0.235, 0.000, 12.827, 0.000, 13.700, -7.376, -7.332, 200.000, 0.000, 2.806, 1, 0 
