Tue Jan 22 11:34:26 2019
Controller Frequency: 1.00 kHz
Time(s), Time(ns), x, xa, v, va, v_unfilt, f, f_unfilt, xdes, vdes, cmd, LSB, LSF
92761, 595039779, 0.388, 199.611, 0.000, -2.218, 0.000, 0.008, 0.076, 200.000, 0.000, 2.827, 0, 0 
92761, 596613154, 0.388, 199.611, 0.000, -2.218, 0.000, 0.012, 0.120, 200.000, 0.000, 2.827, 0, 0 
92761, 598073588, 0.388, 199.611, 0.000, -2.218, 0.000, -0.028, -0.353, 200.000, 0.000, 2.827, 0, 0 
92761, 599602639, 0.389, 199.610, 0.075, -2.293, 0.752, -0.039, -0.584, 200.000, 0.000, 2.827, 0, 0 
92761, 601103165, 0.391, 199.608, 0.153, -2.370, 1.533, -0.076, -0.608, 200.000, 0.000, 2.827, 0, 0 
92761, 602513542, 0.394, 199.604, 0.320, -2.536, 2.446, -0.132, -0.579, 200.000, 0.000, 2.827, 0, 0 
92761, 603962031, 0.399, 199.599, 0.546, -2.762, 3.176, -0.192, -0.570, 200.000, 0.000, 2.826, 0, 0 
92761, 605484706, 0.405, 199.593, 0.851, -3.066, 3.776, -0.254, -0.613, 200.000, 0.000, 2.826, 0, 0 
92761, 606902958, 0.411, 199.587, 1.196, -3.410, 4.054, -0.309, -0.596, 200.000, 0.000, 2.826, 0, 0 
92761, 608261958, 0.416, 199.581, 1.591, -3.805, 4.231, -0.371, -0.598, 200.000, 0.000, 2.825, 0, 0 
92761, 609437493, 0.423, 199.574, 2.161, -4.373, 5.870, -0.426, -0.555, 200.000, 0.000, 2.825, 1, 0 
92761, 610790893, 0.431, 199.565, 2.592, -4.804, 5.948, -0.493, -0.545, 200.000, 0.000, 2.824, 1, 0 
92761, 611897547, 0.440, 199.555, 3.415, -5.626, 8.313, -0.561, -0.555, 200.000, 0.000, 2.823, 1, 0 
92761, 613123424, 0.444, 199.552, 3.460, -5.671, 2.814, -0.582, -0.574, 200.000, 0.000, 2.823, 1, 0 
92761, 614208016, 0.452, 199.542, 4.677, -6.888, 7.422, -0.579, -0.570, 200.000, 0.000, 2.822, 1, 0 
92761, 615303536, 0.461, 199.533, 4.903, -7.113, 8.398, -0.575, -0.562, 200.000, 0.000, 2.822, 1, 0 
92761, 616394598, 0.470, 199.523, 5.404, -7.614, 8.432, -0.571, -0.533, 200.000, 0.000, 2.821, 1, 0 
92761, 617398780, 0.480, 199.513, 5.999, -8.209, 9.162, -0.580, -0.632, 200.000, 0.000, 2.821, 1, 0 
92761, 618493937, 0.489, 199.504, 6.388, -8.599, 8.401, -0.567, -0.582, 200.000, 0.000, 2.820, 1, 0 
92761, 619590929, 0.500, 199.492, 7.107, -9.318, 10.483, -0.572, -0.598, 200.000, 0.000, 2.820, 1, 0 
92761, 620685040, 0.512, 199.480, 7.527, -9.737, 10.511, -0.574, -0.627, 200.000, 0.000, 2.819, 1, 0 
92761, 621719254, 0.524, 199.466, 8.160, -10.370, 12.232, -0.576, -0.611, 200.000, 0.000, 2.819, 1, 0 
92761, 622748494, 0.536, 199.454, 8.511, -10.721, 11.173, -0.583, -0.598, 200.000, 0.000, 2.818, 1, 0 
92761, 623785859, 0.547, 199.443, 8.894, -11.104, 11.086, -0.591, -0.615, 200.000, 0.000, 2.818, 1, 0 
92761, 624815461, 0.559, 199.430, 9.738, -11.948, 11.169, -0.589, -0.577, 200.000, 0.000, 2.817, 1, 0 
92761, 625854673, 0.574, 199.415, 10.426, -12.636, 14.386, -0.585, -0.495, 200.000, 0.000, 2.816, 1, 0 
92761, 626891774, 0.586, 199.402, 10.485, -12.694, 12.197, -0.591, -0.531, 200.000, 0.000, 2.816, 1, 0 
92761, 627897917, 0.600, 199.387, 11.232, -13.441, 13.716, -0.591, -0.574, 200.000, 0.000, 2.815, 1, 0 
92761, 628983941, 0.616, 199.371, 11.646, -13.855, 14.825, -0.584, -0.611, 200.000, 0.000, 2.815, 1, 0 
92761, 630080746, 0.631, 199.355, 12.058, -14.267, 13.630, -0.582, -0.591, 200.000, 0.000, 2.814, 1, 0 
92761, 631174523, 0.647, 199.339, 12.601, -14.810, 14.720, -0.581, -0.572, 200.000, 0.000, 2.814, 1, 0 
92761, 632177986, 0.664, 199.322, 13.046, -15.254, 16.044, -0.575, -0.545, 200.000, 0.000, 2.813, 1, 0 
92761, 633272700, 0.682, 199.304, 13.371, -15.579, 16.808, -0.570, -0.538, 200.000, 0.000, 2.813, 1, 0 
92761, 634370108, 0.698, 199.287, 13.644, -15.852, 14.671, -0.573, -0.620, 200.000, 0.000, 2.813, 1, 0 
92761, 635462832, 0.718, 199.267, 14.539, -16.747, 17.891, -0.566, -0.627, 200.000, 0.000, 2.812, 1, 0 
92761, 636556196, 0.737, 199.247, 14.888, -17.095, 17.881, -0.566, -0.584, 200.000, 0.000, 2.811, 1, 0 
92761, 637560253, 0.756, 199.228, 15.283, -17.490, 18.326, -0.580, -0.591, 200.000, 0.000, 2.811, 1, 0 
92761, 638564635, 0.774, 199.209, 15.851, -18.058, 18.320, -0.584, -0.574, 200.000, 0.000, 2.810, 1, 0 
92761, 639568869, 0.790, 199.193, 16.083, -18.290, 16.032, -0.592, -0.637, 200.000, 0.000, 2.810, 1, 0 
92761, 640573454, 0.812, 199.170, 17.004, -19.211, 21.750, -0.589, -0.647, 200.000, 0.000, 2.809, 1, 0 
92761, 641611138, 0.833, 199.149, 17.064, -19.270, 19.948, -0.595, -0.661, 200.000, 0.000, 2.809, 1, 0 
92761, 642614623, 0.850, 199.132, 17.491, -19.697, 17.190, -0.595, -0.586, 200.000, 0.000, 2.809, 1, 0 
92761, 643651078, 0.873, 199.108, 18.382, -20.587, 22.191, -0.612, -0.642, 200.000, 0.000, 2.808, 1, 0 
92761, 644656376, 0.895, 199.086, 18.374, -20.580, 21.735, -0.612, -0.591, 200.000, 0.000, 2.808, 1, 0 
92761, 645723012, 0.917, 199.063, 19.001, -21.207, 20.485, -0.610, -0.553, 200.000, 0.000, 2.807, 1, 0 
92761, 646788916, 0.938, 199.041, 19.387, -21.592, 20.499, -0.612, -0.606, 200.000, 0.000, 2.806, 1, 0 
92761, 647846772, 0.961, 199.018, 19.772, -21.977, 21.742, -0.608, -0.594, 200.000, 0.000, 2.806, 1, 0 
92761, 648920497, 0.988, 198.991, 20.278, -22.483, 24.634, -0.611, -0.611, 200.000, 0.000, 2.805, 1, 0 
92761, 649994550, 1.012, 198.966, 20.406, -22.610, 22.485, -0.611, -0.594, 200.000, 0.000, 2.805, 1, 0 
92761, 651075120, 1.036, 198.941, 21.252, -23.456, 22.349, -0.603, -0.541, 200.000, 0.000, 2.804, 1, 0 
92761, 652112188, 1.060, 198.917, 21.420, -23.623, 23.287, -0.601, -0.574, 200.000, 0.000, 2.804, 1, 0 
92761, 653120523, 1.089, 198.888, 22.182, -24.386, 28.512, -0.594, -0.620, 200.000, 0.000, 2.803, 1, 0 
92761, 654128345, 1.114, 198.862, 22.451, -24.654, 25.104, -0.594, -0.635, 200.000, 0.000, 2.803, 1, 0 
92761, 655135863, 1.141, 198.835, 23.198, -25.401, 26.253, -0.588, -0.594, 200.000, 0.000, 2.802, 1, 0 
92761, 656143671, 1.164, 198.812, 23.192, -25.394, 22.822, -0.591, -0.579, 200.000, 0.000, 2.802, 1, 0 
92761, 657150940, 1.190, 198.785, 24.112, -26.315, 26.259, -0.601, -0.642, 200.000, 0.000, 2.801, 1, 0 
92761, 658157855, 1.218, 198.757, 24.460, -26.662, 27.410, -0.588, -0.541, 200.000, 0.000, 2.801, 1, 0 
92761, 659164936, 1.242, 198.732, 24.568, -26.770, 23.980, -0.596, -0.572, 200.000, 0.000, 2.801, 1, 0 
92761, 660172847, 1.271, 198.703, 25.301, -27.502, 28.524, -0.587, -0.553, 200.000, 0.000, 2.800, 1, 0 
92761, 661179863, 1.299, 198.674, 25.453, -27.654, 28.550, -0.588, -0.584, 200.000, 0.000, 2.800, 1, 0 
92761, 662187010, 1.329, 198.643, 26.184, -28.385, 29.688, -0.591, -0.596, 200.000, 0.000, 2.799, 1, 0 
92761, 663194571, 1.355, 198.618, 26.252, -28.453, 25.110, -0.587, -0.555, 200.000, 0.000, 2.799, 1, 0 
92761, 664202692, 1.385, 198.587, 26.825, -29.025, 29.659, -0.584, -0.541, 200.000, 0.000, 2.798, 1, 0 
92761, 665270656, 1.416, 198.556, 26.767, -28.967, 29.074, -0.577, -0.560, 200.000, 0.000, 2.798, 1, 0 
92761, 666330036, 1.447, 198.525, 27.131, -29.331, 29.310, -0.575, -0.589, 200.000, 0.000, 2.798, 1, 0 
92761, 667369056, 1.479, 198.492, 27.925, -30.124, 30.991, -0.573, -0.584, 200.000, 0.000, 2.797, 1, 0 
92761, 668441728, 1.511, 198.460, 28.132, -30.331, 30.018, -0.562, -0.526, 200.000, 0.000, 2.797, 1, 0 
92761, 669448350, 1.539, 198.432, 28.230, -30.429, 27.418, -0.564, -0.512, 200.000, 0.000, 2.796, 1, 0 
92761, 670520152, 1.572, 198.398, 29.204, -31.402, 31.116, -0.567, -0.584, 200.000, 0.000, 2.795, 1, 0 
92761, 671591069, 1.607, 198.363, 29.203, -31.401, 32.215, -0.566, -0.618, 200.000, 0.000, 2.795, 1, 0 
92761, 672665962, 1.646, 198.323, 29.876, -32.073, 36.376, -0.566, -0.615, 200.000, 0.000, 2.795, 1, 0 
92761, 673672374, 1.674, 198.295, 29.348, -31.545, 28.567, -0.564, -0.572, 200.000, 0.000, 2.795, 1, 0 
92761, 674679762, 1.710, 198.258, 31.157, -33.353, 35.389, -0.572, -0.596, 200.000, 0.000, 2.793, 1, 0 
92761, 675686124, 1.740, 198.228, 30.480, -32.676, 29.711, -0.576, -0.598, 200.000, 0.000, 2.794, 1, 0 
92761, 676693695, 1.777, 198.190, 31.792, -33.988, 36.523, -0.583, -0.635, 200.000, 0.000, 2.792, 1, 0 
92761, 677700949, 1.814, 198.154, 31.834, -34.029, 36.535, -0.567, -0.463, 200.000, 0.000, 2.792, 1, 0 
