Tue Jun 11 13:12:22 2019
Controller Frequency: 1.00 kHz
Time(s), Time(ns), x, xa, v, va, v_unfilt, f, f_unfilt, xdes, vdes, cmd, LSB, LSF
1810028, 176349690, 0.000, -0.005, 0.000, 0.038, 0.000, 0.077, 0.765, 0.005, 5.000, 2.500, 0, 0 
1810028, 177395059, 0.000, -0.010, 0.000, 0.077, 0.000, 0.048, 0.481, 0.010, 5.004, 2.500, 0, 0 
1810028, 178409084, 0.000, -0.015, 0.000, 0.115, 0.000, 0.055, -0.213, 0.015, 5.007, 2.500, 0, 0 
1810028, 179497353, 0.000, -0.020, 0.000, 0.152, 0.000, 0.122, -0.024, 0.020, 5.011, 2.500, 0, 0 
1810028, 180658978, 0.000, -0.025, 0.000, 0.189, 0.000, 0.066, -0.371, 0.025, 5.014, 2.500, 0, 0 
1810028, 182053617, 0.000, -0.029, 0.000, 0.225, 0.000, 0.130, 0.292, 0.030, 5.018, 2.500, 0, 0 
1810028, 183266409, 0.000, -0.034, 0.000, 0.262, 0.000, 0.071, 0.071, 0.035, 5.021, 2.500, 0, 0 
1810028, 184468190, 0.000, -0.039, 0.000, 0.299, 0.000, 0.056, -0.371, 0.040, 5.025, 2.500, 0, 0 
1810028, 185673873, 0.000, -0.044, 0.000, 0.337, 0.000, -0.000, -1.002, 0.045, 5.028, 2.500, 0, 0 
1810028, 186786019, 0.000, -0.048, 0.000, 0.373, 0.000, 0.067, 0.039, 0.050, 5.032, 2.500, 0, 0 
1810028, 188236371, 0.000, -0.053, 0.000, 0.412, 0.000, -0.065, -0.276, 0.055, 5.035, 2.500, 1, 0 
1810028, 189478299, 0.000, -0.058, 0.000, 0.450, 0.000, -0.065, 0.450, 0.060, 5.039, 2.500, 1, 0 
1810028, 190742540, 0.000, -0.062, 0.000, 0.491, 0.000, -0.175, 0.103, 0.065, 5.042, 2.500, 1, 0 
1810028, 191937293, 0.000, -0.067, 0.000, 0.528, 0.000, -0.036, 0.828, 0.070, 5.046, 2.500, 1, 0 
1810028, 193407909, 0.000, -0.071, 0.000, 0.570, 0.000, -0.301, -1.948, 0.075, 5.049, 2.500, 1, 0 
1810028, 194501650, 0.000, -0.076, 0.000, 0.609, 0.000, -0.109, -1.222, 0.080, 5.053, 2.500, 1, 0 
1810028, 195586243, 0.000, -0.080, 0.000, 0.648, 0.000, -0.200, 0.103, 0.085, 5.057, 2.500, 1, 0 
1810028, 196605023, 0.000, -0.084, 0.000, 0.691, 0.000, -0.368, -0.276, 0.091, 5.060, 2.500, 1, 0 
1810028, 197694395, 0.000, -0.089, 0.000, 0.732, 0.000, -0.273, 0.197, 0.096, 5.063, 2.500, 1, 0 
1810028, 198799317, 0.000, -0.093, 0.000, 0.771, 0.000, -0.229, -0.087, 0.101, 5.067, 2.500, 1, 0 
1810028, 199897808, 0.000, -0.097, 0.000, 0.812, 0.000, -0.292, -0.875, 0.106, 5.071, 2.500, 1, 0 
1810028, 201115453, 0.000, -0.102, 0.000, 0.848, 0.000, -0.099, 0.860, 0.111, 5.074, 2.500, 1, 0 
1810028, 202341734, 0.000, -0.106, 0.000, 0.889, 0.000, -0.355, -0.371, 0.116, 5.078, 2.500, 1, 0 
1810028, 203552589, 0.000, -0.110, 0.000, 0.928, 0.000, -0.222, 0.197, 0.121, 5.081, 2.500, 1, 0 
1810028, 204827197, 0.000, -0.114, 0.000, 0.969, 0.000, -0.405, -0.434, 0.126, 5.085, 2.500, 1, 0 
1810028, 206122915, 0.000, -0.118, 0.000, 1.006, 0.000, -0.156, -0.087, 0.131, 5.088, 2.500, 1, 0 
1810028, 207207946, 0.000, -0.122, 0.000, 1.041, 0.000, -0.090, -0.213, 0.136, 5.092, 2.500, 1, 0 
1810028, 208437228, 0.000, -0.126, 0.000, 1.073, 0.000, 0.002, 0.891, 0.141, 5.096, 2.500, 1, 0 
1810028, 209666292, 0.000, -0.130, 0.000, 1.108, 0.000, -0.125, -0.434, 0.146, 5.099, 2.500, 1, 0 
1810028, 210859307, 0.000, -0.134, 0.000, 1.141, 0.000, -0.027, -0.150, 0.152, 5.103, 2.500, 1, 0 
1810028, 212147216, 0.000, -0.138, 0.000, 1.175, 0.000, -0.090, -0.434, 0.157, 5.106, 2.500, 1, 0 
1810028, 213610127, 0.000, -0.142, 0.000, 1.208, 0.000, -0.017, -0.434, 0.162, 5.110, 2.500, 1, 0 
1810028, 214835489, 0.000, -0.146, 0.000, 1.243, 0.000, -0.162, -0.592, 0.167, 5.113, 2.500, 1, 0 
1810028, 215979265, 0.000, -0.150, 0.000, 1.278, 0.000, -0.178, -0.686, 0.172, 5.117, 2.500, 1, 0 
1810028, 217099891, 0.000, -0.154, 0.000, 1.313, 0.000, -0.213, -0.244, 0.177, 5.121, 2.500, 1, 0 
1810028, 218171864, 0.000, -0.158, 0.000, 1.350, 0.000, -0.308, -0.939, 0.182, 5.124, 2.500, 1, 0 
1810028, 219214432, 0.000, -0.161, 0.000, 1.386, 0.000, -0.222, 0.071, 0.187, 5.128, 2.500, 1, 0 
1810028, 220478870, 0.000, -0.165, 0.000, 1.423, 0.000, -0.339, -0.371, 0.192, 5.131, 2.500, 1, 0 
1810028, 221673057, 0.000, -0.169, 0.000, 1.461, 0.000, -0.371, 0.134, 0.198, 5.135, 2.500, 1, 0 
1810028, 222749298, 0.000, -0.172, 0.000, 1.498, 0.000, -0.377, 0.008, 0.203, 5.139, 2.500, 1, 0 
1810028, 223832431, 0.000, -0.176, 0.000, 1.536, 0.000, -0.390, -0.402, 0.208, 5.142, 2.500, 1, 0 
1810028, 225054470, 0.000, -0.180, 0.000, 1.572, 0.000, -0.317, -0.118, 0.213, 5.146, 2.500, 1, 0 
1810028, 226126568, 0.000, -0.183, 0.000, 1.607, 0.000, -0.327, -0.244, 0.218, 5.149, 2.500, 1, 0 
1810028, 227190193, 0.000, -0.187, 0.000, 1.643, 0.000, -0.304, -0.497, 0.223, 5.153, 2.500, 1, 0 
1810028, 228272484, 0.000, -0.190, 0.000, 1.677, 0.000, -0.279, -0.686, 0.229, 5.157, 2.500, 1, 0 
1810028, 229288219, 0.000, -0.194, 0.000, 1.711, 0.000, -0.295, -0.592, 0.234, 5.160, 2.500, 1, 0 
1810028, 230330622, 0.000, -0.197, 0.000, 1.742, 0.000, -0.137, 0.733, 0.239, 5.164, 2.500, 1, 0 
1810028, 231430514, 0.000, -0.201, 0.000, 1.775, 0.000, -0.235, 0.418, 0.244, 5.167, 2.500, 1, 0 
1810028, 232507583, 0.000, -0.204, 0.000, 1.810, 0.000, -0.330, -1.633, 0.249, 5.171, 2.500, 1, 0 
1810028, 233579714, 0.000, -0.207, 0.000, 1.840, 0.000, -0.144, -0.055, 0.254, 5.175, 2.500, 1, 0 
1810028, 234667609, 0.000, -0.211, 0.000, 1.875, 0.000, -0.333, -0.308, 0.260, 5.178, 2.500, 1, 0 
1810028, 235753218, 0.000, -0.214, 0.000, 1.908, 0.000, -0.311, -0.434, 0.265, 5.182, 2.500, 1, 0 
1810028, 236843375, 0.000, -0.217, 0.000, 1.941, 0.000, -0.304, -0.181, 0.270, 5.186, 2.500, 1, 0 
1810028, 237934590, 0.000, -0.220, 0.000, 1.975, 0.000, -0.342, -0.371, 0.275, 5.189, 2.500, 1, 0 
1810028, 239011004, 0.000, -0.224, 0.000, 2.009, 0.000, -0.368, -0.939, 0.280, 5.193, 2.500, 1, 0 
1810028, 240155975, 0.000, -0.227, 0.000, 2.040, 0.000, -0.260, -0.181, 0.285, 5.197, 2.500, 1, 0 
1810028, 241326510, 0.000, -0.230, 0.000, 2.073, 0.000, -0.336, -0.592, 0.291, 5.200, 2.500, 1, 0 
1810028, 242407405, 0.000, -0.233, 0.000, 2.107, 0.000, -0.368, 0.008, 0.296, 5.204, 2.500, 1, 0 
1810028, 243501503, 0.000, -0.236, 0.000, 2.142, 0.000, -0.491, -0.213, 0.301, 5.208, 2.500, 1, 0 
1810028, 244619829, 0.000, -0.239, 0.000, 2.173, 0.000, -0.248, 0.576, 0.306, 5.211, 2.500, 1, 0 
1810028, 245709590, 0.000, -0.242, 0.000, 2.205, 0.000, -0.358, -0.371, 0.312, 5.215, 2.500, 1, 0 
1810028, 246860615, 0.000, -0.245, 0.000, 2.236, 0.000, -0.276, -0.434, 0.317, 5.218, 2.500, 1, 0 
1810028, 248132671, 0.000, -0.248, 0.000, 2.266, 0.000, -0.251, -0.244, 0.322, 5.222, 2.500, 1, 0 
1810028, 249281689, 0.000, -0.251, 0.000, 2.296, 0.000, -0.298, -0.465, 0.327, 5.226, 2.500, 1, 0 
1810028, 250352954, 0.000, -0.254, 0.000, 2.325, 0.000, -0.181, 0.576, 0.332, 5.229, 2.500, 1, 0 
1810028, 251446012, 0.000, -0.257, 0.000, 2.353, 0.000, -0.229, -0.371, 0.338, 5.233, 2.500, 1, 0 
1810028, 252529427, 0.000, -0.260, 0.000, 2.380, 0.000, -0.106, 0.103, 0.343, 5.237, 2.500, 1, 0 
1810028, 253602365, 0.000, -0.263, 0.000, 2.406, 0.000, -0.118, -0.244, 0.348, 5.240, 2.500, 1, 0 
1810028, 254706244, 0.000, -0.265, 0.000, 2.432, 0.000, -0.077, 0.071, 0.353, 5.244, 2.500, 1, 0 
1810028, 255786789, 0.000, -0.268, 0.000, 2.456, 0.000, -0.043, 0.450, 0.359, 5.248, 2.500, 1, 0 
1810028, 257017590, 0.000, -0.271, 0.000, 2.481, 0.000, -0.065, 0.733, 0.364, 5.251, 2.500, 1, 0 
1810028, 258535623, 0.000, -0.274, 0.000, 2.505, 0.000, -0.058, -0.024, 0.369, 5.255, 2.500, 1, 0 
1810028, 259619958, 0.000, -0.276, 0.000, 2.528, 0.000, 0.017, -0.434, 0.374, 5.259, 2.500, 1, 0 
1810028, 260819324, 0.000, -0.279, 0.000, 2.550, 0.000, 0.049, -0.339, 0.380, 5.263, 2.500, 1, 0 
