Subject ID: 0
Tue Jun 25 11:07:39 2019
Controller Frequency: 1.00 kHz
Time(s), Time(ns), x, xa, v, va, v_unfilt, f, f_unfilt, Fa, xdes, vdes, cmd, LSB, LSF
3012032, 659862429, 248.627, 248.630, 0.000, -0.010, 0.000, -0.083, -0.831, 0.000, 248.624, -3.000, 2.500, 0, 0 
3012032, 660922052, 248.627, 248.633, 0.000, -0.022, 0.000, 0.008, 0.084, 0.000, 248.621, -3.002, 2.500, 0, 0 
3012032, 661982535, 248.627, 248.636, 0.000, -0.034, 0.000, -0.031, 0.525, 0.000, 248.618, -3.003, 2.500, 0, 0 
3012032, 663042847, 248.627, 248.638, 0.000, -0.044, 0.000, -0.070, 0.052, 0.000, 248.615, -3.005, 2.500, 0, 0 
3012032, 664066310, 248.627, 248.641, 0.000, -0.055, 0.000, -0.058, -0.358, 0.000, 248.612, -3.006, 2.500, 0, 0 
3012032, 665135881, 248.627, 248.644, 0.000, -0.068, 0.000, 0.058, 0.746, 0.000, 248.609, -3.008, 2.500, 0, 0 
3012032, 666154130, 248.627, 248.647, 0.000, -0.079, 0.000, -0.054, -0.011, 0.000, 248.606, -3.009, 2.398, 0, 0 
3012032, 667161230, 248.627, 248.650, 0.000, -0.092, 0.000, 0.055, 0.336, 0.000, 248.603, -3.011, 2.500, 0, 0 
3012032, 668170288, 248.627, 248.653, 0.000, -0.104, 0.000, -0.012, -0.327, 0.000, 248.599, -3.012, 2.500, 0, 0 
3012032, 669178107, 248.627, 248.656, 0.000, -0.118, 0.000, 0.097, 0.431, 0.000, 248.596, -3.014, 2.500, 0, 0 
3012032, 670187395, 248.627, 248.659, 0.000, -0.131, 0.000, 0.087, 0.651, 0.000, 248.593, -3.015, 2.500, 0, 1 
3012032, 671219398, 248.627, 248.662, 0.000, -0.145, 0.000, 0.096, -0.516, 0.000, 248.590, -3.017, 2.500, 0, 1 
3012032, 672335530, 248.627, 248.665, 0.000, -0.161, 0.000, 0.219, 0.147, 0.000, 248.587, -3.018, 2.500, 0, 1 
3012032, 673342619, 248.627, 248.668, 0.000, -0.173, 0.000, -0.008, -1.084, 0.000, 248.584, -3.020, 2.500, 0, 1 
3012032, 674348033, 248.627, 248.670, 0.000, -0.187, 0.000, 0.099, -0.106, 0.000, 248.581, -3.021, 2.500, 0, 1 
3012032, 675357526, 248.627, 248.673, 0.000, -0.197, 0.000, -0.058, -0.957, 0.000, 248.578, -3.023, 2.500, 0, 1 
3012032, 676361802, 248.627, 248.676, 0.000, -0.209, 0.000, -0.024, 0.241, 0.000, 248.575, -3.024, 2.500, 0, 0 
3012032, 677395691, 248.627, 248.679, 0.000, -0.216, 0.000, -0.226, -0.831, 0.000, 248.572, -3.026, 2.500, 0, 1 
3012032, 678467013, 248.627, 248.682, 0.000, -0.225, 0.000, -0.162, -0.106, 0.000, 248.569, -3.027, 2.500, 0, 1 
3012032, 679526060, 248.627, 248.684, 0.000, -0.232, 0.000, -0.241, -0.390, 0.000, 248.566, -3.029, 2.500, 0, 1 
3012032, 680568810, 248.627, 248.687, 0.000, -0.238, 0.000, -0.276, -0.200, 0.000, 248.563, -3.030, 2.500, 0, 1 
3012032, 681578672, 248.627, 248.690, 0.000, -0.242, 0.000, -0.399, -0.390, 0.000, 248.560, -3.032, 2.500, 0, 1 
3012032, 682585509, 248.627, 248.693, 0.000, -0.247, 0.000, -0.301, 0.273, 0.000, 248.557, -3.033, 2.500, 0, 1 
3012032, 683594006, 248.627, 248.696, 0.000, -0.252, 0.000, -0.380, 0.021, 0.000, 248.554, -3.035, 2.500, 0, 1 
3012032, 684602504, 248.627, 248.698, 0.000, -0.258, 0.000, -0.282, -0.358, 0.000, 248.551, -3.036, 2.500, 0, 1 
3012032, 685611669, 248.627, 248.701, 0.000, -0.266, 0.000, -0.178, 0.557, 0.000, 248.548, -3.038, 2.500, 0, 1 
3012032, 686620279, 248.627, 248.704, 0.000, -0.275, 0.000, -0.169, 0.052, 0.000, 248.545, -3.039, 2.500, 0, 1 
3012032, 687627515, 248.627, 248.707, 0.000, -0.283, 0.000, -0.191, -0.484, 0.000, 248.542, -3.041, 2.500, 0, 1 
3012032, 688635452, 248.627, 248.709, 0.000, -0.292, 0.000, -0.109, -0.547, 0.000, 248.539, -3.043, 2.500, 0, 1 
3012032, 689702660, 248.627, 248.712, 0.000, -0.301, 0.000, -0.169, -0.768, 0.000, 248.536, -3.044, 2.500, 0, 1 
3012032, 690952434, 248.627, 248.715, 0.000, -0.311, 0.000, -0.065, 0.431, 0.000, 248.533, -3.046, 2.500, 0, 1 
3012032, 691957030, 248.627, 248.718, 0.000, -0.319, 0.000, -0.213, -0.484, 0.000, 248.530, -3.047, 2.500, 0, 1 
3012032, 692989717, 248.627, 248.720, 0.000, -0.329, 0.000, -0.084, -0.011, 0.000, 248.527, -3.049, 2.500, 0, 1 
