Tue Jun  4 14:25:30 2019
Controller Frequency: 1.00 kHz
Time(s), Time(ns), x, xa, v, va, v_unfilt, f, f_unfilt, xdes, vdes, cmd, LSB, LSF
1209523, 150359779, 0.000, -0.005, 0.000, 0.041, 0.000, -0.046, -0.461, 0.005, 5.000, 2.580, 0, 0 
1209523, 151599906, 0.000, -0.010, 0.000, 0.082, 0.000, -0.056, -0.555, 0.010, 5.005, 2.590, 0, 0 
1209523, 152780042, 0.000, -0.015, 0.000, 0.123, 0.000, -0.092, -0.461, 0.015, 5.010, 2.600, 0, 0 
1209523, 153794100, 0.000, -0.020, 0.000, 0.165, 0.000, -0.173, -0.713, 0.020, 5.015, 2.609, 0, 0 
1209523, 154808329, 0.000, -0.025, 0.000, 0.211, 0.000, -0.310, -1.628, 0.025, 5.021, 2.619, 0, 0 
1209523, 155837057, -0.001, -0.029, -0.112, 0.258, -1.118, -0.429, -2.101, 0.030, 5.026, 2.604, 0, 0 
1209523, 156960647, -0.001, -0.034, 0.000, 0.308, 0.000, -0.611, -2.290, 0.035, 5.031, 2.636, 0, 0 
1209523, 157976830, -0.001, -0.039, -0.112, 0.362, 0.000, -0.789, -1.975, 0.040, 5.036, 2.623, 0, 0 
1209523, 158998094, -0.001, -0.043, -0.112, 0.421, 0.000, -1.044, -2.227, 0.045, 5.041, 2.632, 0, 0 
1209523, 160306422, -0.002, -0.048, -0.200, 0.481, -0.879, -1.143, -1.249, 0.050, 5.046, 2.622, 0, 0 
1209523, 161419354, -0.003, -0.053, -0.215, 0.546, -1.033, -1.398, -1.565, 0.055, 5.052, 2.625, 0, 0 
1209523, 162433539, -0.003, -0.057, -0.200, 0.610, 0.000, -1.379, -0.587, 0.060, 5.057, 2.637, 0, 0 
1209523, 163447184, -0.005, -0.061, -0.416, 0.678, -1.135, -1.590, -1.691, 0.065, 5.062, 2.600, 0, 0 
1209523, 164553678, -0.005, -0.066, -0.303, 0.746, 0.000, -1.593, -1.596, 0.070, 5.067, 2.632, 0, 0 
1209523, 165741627, -0.007, -0.070, -0.610, 0.815, -1.936, -1.713, -1.817, 0.076, 5.072, 2.574, 0, 0 
1209523, 167124142, -0.007, -0.074, -0.416, 0.884, 0.000, -1.713, -1.849, 0.081, 5.078, 2.622, 0, 0 
1209523, 168148704, -0.009, -0.078, -0.723, 0.951, -2.245, -1.631, -1.312, 0.086, 5.083, 2.434, 0, 0 
1209523, 169624220, -0.010, -0.083, -0.576, 1.017, -0.779, -1.606, -1.502, 0.091, 5.088, 2.599, 0, 0 
1209523, 170774073, -0.011, -0.087, -0.823, 1.080, -1.000, -1.499, -1.092, 0.096, 5.093, 2.426, 0, 0 
1209523, 171790562, -0.013, -0.091, -0.914, 1.144, -1.131, -1.521, -2.038, 0.101, 5.099, 2.413, 0, 0 
1209523, 172801822, -0.014, -0.095, -0.927, 1.206, -1.137, -1.492, -1.912, 0.106, 5.104, 2.416, 0, 0 
1209523, 173819479, -0.015, -0.098, -0.936, 1.264, -1.130, -1.300, 0.486, 0.111, 5.109, 2.420, 0, 0 
1209523, 174856188, -0.015, -0.102, -0.936, 1.324, 0.000, -1.375, 1.054, 0.116, 5.114, 2.427, 0, 0 
1209523, 175921882, -0.016, -0.106, -1.044, 1.381, -1.079, -1.262, 0.013, 0.121, 5.120, 2.411, 0, 0 
1209523, 177011119, -0.017, -0.110, -1.041, 1.432, -1.056, -1.025, -0.271, 0.127, 5.125, 2.417, 0, 0 
1209523, 178147762, -0.017, -0.113, -0.850, 1.477, 0.000, -0.694, 1.211, 0.132, 5.130, 2.592, 0, 0 
1209523, 179192606, -0.018, -0.117, -1.066, 1.522, -1.101, -0.729, -0.713, 0.137, 5.135, 2.424, 0, 0 
1209523, 180269182, -0.018, -0.121, -0.731, 1.562, 0.000, -0.470, -0.650, 0.142, 5.141, 2.628, 0, 0 
1209523, 181341934, -0.018, -0.124, -0.763, 1.595, 0.000, -0.167, 1.590, 0.147, 5.146, 2.629, 0, 0 
1209523, 182445776, -0.020, -0.128, -0.768, 1.634, -1.042, -0.457, -1.754, 0.152, 5.151, 2.633, 0, 0 
1209523, 183460956, -0.020, -0.131, -0.550, 1.666, 0.000, -0.066, -1.470, 0.157, 5.157, 2.683, 0, 0 
1209523, 184480299, -0.021, -0.135, -0.654, 1.697, -1.128, -0.079, -1.754, 0.163, 5.162, 2.667, 0, 0 
1209523, 185793158, -0.021, -0.138, -0.428, 1.733, 0.000, -0.344, -2.448, 0.168, 5.167, 2.719, 0, 0 
1209523, 186982441, -0.022, -0.142, -0.637, 1.774, -0.967, -0.587, -2.070, 0.173, 5.173, 2.682, 0, 0 
1209523, 188023065, -0.023, -0.145, -0.543, 1.819, -1.105, -0.823, -1.975, 0.178, 5.178, 2.705, 0, 0 
1209523, 189088105, -0.024, -0.148, -0.532, 1.867, -1.080, -0.940, -1.344, 0.183, 5.183, 2.712, 0, 0 
1209523, 190098869, -0.025, -0.152, -0.648, 1.924, -1.138, -1.426, -3.016, 0.188, 5.188, 2.693, 0, 0 
1209523, 191111886, -0.026, -0.155, -0.646, 1.980, -1.135, -1.407, -2.196, 0.194, 5.194, 2.698, 0, 0 
1209523, 192125273, -0.028, -0.158, -0.759, 2.042, -1.135, -1.707, -2.827, 0.199, 5.199, 2.679, 0, 0 
1209523, 193139483, -0.030, -0.161, -0.986, 2.109, -2.268, -1.984, -1.817, 0.204, 5.205, 2.635, 0, 0 
1209523, 194156280, -0.032, -0.164, -0.995, 2.177, -2.262, -2.098, -1.880, 0.209, 5.210, 2.635, 0, 0 
1209523, 195212616, -0.033, -0.167, -1.104, 2.247, -1.089, -2.145, -2.006, 0.214, 5.215, 2.617, 0, 0 
1209523, 196400950, -0.037, -0.170, -1.399, 2.314, -2.903, -2.098, -1.407, 0.220, 5.221, 2.427, 0, 0 
1209523, 197822563, -0.039, -0.173, -1.380, 2.384, -1.618, -2.227, -3.142, 0.225, 5.226, 2.432, 0, 0 
1209523, 199255489, -0.043, -0.176, -1.652, 2.446, -2.408, -1.855, -0.082, 0.230, 5.231, 2.376, 0, 0 
1209523, 200563965, -0.044, -0.179, -1.551, 2.510, -0.879, -1.928, 0.360, 0.235, 5.237, 2.400, 0, 0 
1209523, 201581266, -0.046, -0.181, -1.822, 2.570, -2.261, -1.792, 0.454, 0.241, 5.242, 2.346, 0, 0 
1209523, 202595536, -0.047, -0.184, -1.683, 2.623, -1.134, -1.473, 0.265, 0.246, 5.247, 2.377, 0, 0 
1209523, 203612685, -0.049, -0.187, -1.908, 2.670, -2.261, -1.186, 0.486, 0.251, 5.253, 2.333, 0, 0 
1209523, 204674087, -0.051, -0.189, -1.790, 2.711, -1.083, -0.871, 0.549, 0.256, 5.258, 2.359, 0, 0 
1209523, 205688938, -0.052, -0.192, -1.795, 2.747, -1.133, -0.681, 0.139, 0.262, 5.264, 2.361, 0, 0 
1209523, 206705310, -0.053, -0.194, -1.677, 2.779, -1.131, -0.439, 0.139, 0.267, 5.269, 2.387, 0, 0 
1209523, 207720287, -0.054, -0.197, -1.681, 2.804, -1.133, -0.107, 1.306, 0.272, 5.275, 2.389, 0, 0 
1209523, 208775887, -0.055, -0.199, -1.500, 2.826, -1.089, 0.022, 1.054, 0.277, 5.280, 2.428, 0, 0 
1209523, 210050503, -0.055, -0.202, -1.342, 2.840, 0.000, 0.426, 0.644, 0.283, 5.285, 2.594, 0, 0 
1209523, 211061774, -0.055, -0.204, -1.211, 2.852, 0.000, 0.521, 0.454, 0.288, 5.291, 2.626, 0, 0 
1209523, 212081789, -0.056, -0.206, -1.235, 2.867, -1.127, 0.366, -1.375, 0.293, 5.296, 2.623, 0, 0 
1209523, 213178643, -0.057, -0.209, -1.001, 2.882, -1.048, 0.397, -1.060, 0.299, 5.302, 2.673, 0, 0 
1209523, 214278393, -0.057, -0.211, -0.896, 2.901, 0.000, 0.123, -2.164, 0.304, 5.307, 2.698, 0, 0 
1209523, 215461531, -0.059, -0.214, -0.872, 2.925, -0.972, -0.057, -2.417, 0.309, 5.313, 2.706, 0, 0 
1209523, 216993352, -0.060, -0.216, -0.741, 2.952, -0.751, -0.230, -1.439, 0.315, 5.318, 2.734, 0, 0 
1209523, 218005935, -0.061, -0.218, -0.764, 2.984, -1.136, -0.511, -1.691, 0.320, 5.324, 2.732, 0, 0 
1209523, 219042864, -0.062, -0.221, -0.723, 3.021, -1.109, -0.732, -2.322, 0.325, 5.329, 2.743, 0, 0 
1209523, 220059013, -0.063, -0.223, -0.726, 3.061, -1.132, -0.946, -1.470, 0.331, 5.334, 2.745, 0, 0 
1209523, 221071317, -0.064, -0.225, -0.728, 3.112, -1.136, -1.457, -3.205, 0.336, 5.340, 2.746, 0, 0 
1209523, 222084055, -0.067, -0.228, -0.955, 3.166, -2.271, -1.656, -3.079, 0.341, 5.345, 2.701, 0, 0 
1209523, 223096689, -0.068, -0.230, -0.955, 3.224, -1.136, -1.896, -1.817, 0.347, 5.351, 2.703, 0, 0 
1209523, 224112995, -0.070, -0.232, -1.182, 3.286, -2.263, -2.060, -1.754, 0.352, 5.356, 2.657, 0, 0 
1209523, 225128086, -0.072, -0.234, -1.191, 3.349, -2.266, -2.167, -2.070, 0.357, 5.362, 2.655, 0, 0 
1209523, 226149379, -0.075, -0.236, -1.416, 3.411, -2.252, -2.101, -1.817, 0.363, 5.366, 2.609, 0, 0 
1209523, 227163538, -0.077, -0.238, -1.547, 3.472, -2.268, -2.133, -2.480, 0.368, 5.372, 2.582, 0, 0 
1209523, 228174102, -0.079, -0.240, -1.698, 3.535, -2.276, -2.202, -2.795, 0.373, 5.377, 2.421, 0, 0 
1209523, 229191670, -0.082, -0.241, -1.809, 3.599, -2.260, -2.287, -2.858, 0.379, 5.383, 2.398, 0, 0 
1209523, 230206852, -0.084, -0.243, -1.926, 3.661, -2.266, -2.199, -1.502, 0.384, 5.388, 2.373, 0, 0 
1209523, 231226102, -0.086, -0.245, -2.038, 3.723, -2.257, -2.234, -0.461, 0.390, 5.394, 2.350, 0, 0 
1209523, 232237373, -0.089, -0.247, -2.153, 3.778, -2.274, -1.905, 1.117, 0.395, 5.399, 2.325, 0, 0 
1209523, 233404647, -0.091, -0.248, -2.121, 3.831, -1.970, -1.792, -0.366, 0.400, 5.405, 2.330, 0, 0 
1209523, 234420127, -0.092, -0.250, -2.151, 3.876, -1.132, -1.454, 0.076, 0.406, 5.410, 2.325, 0, 0 
1209523, 235436655, -0.094, -0.251, -2.235, 3.920, -2.263, -1.391, -0.681, 0.411, 5.416, 2.307, 0, 0 
1209523, 236452231, -0.095, -0.253, -2.009, 3.958, -1.132, -1.120, -0.114, 0.417, 5.421, 2.353, 0, 0 
1209523, 237467455, -0.097, -0.254, -2.010, 3.996, -1.133, -1.079, -0.839, 0.422, 5.427, 2.353, 0, 0 
1209523, 238625477, -0.098, -0.256, -1.882, 4.025, -0.993, -0.710, 0.486, 0.428, 5.433, 2.379, 0, 0 
1209523, 239723158, -0.099, -0.257, -1.774, 4.052, -1.048, -0.568, -0.050, 0.433, 5.438, 2.402, 0, 0 
1209523, 240738386, -0.099, -0.258, -1.542, 4.075, 0.000, -0.385, -1.565, 0.438, 5.444, 2.581, 0, 0 
1209523, 241777651, -0.100, -0.260, -1.531, 4.091, -1.107, -0.057, 0.265, 0.444, 5.449, 2.583, 0, 0 
1209523, 242815701, -0.100, -0.261, -1.195, 4.111, 0.000, -0.233, -0.397, 0.449, 5.455, 2.653, 0, 0 
1209523, 243826193, -0.100, -0.262, -1.078, 4.135, 0.000, -0.432, -1.533, 0.455, 5.461, 2.679, 0, 0 
1209523, 244863825, -0.101, -0.264, -0.992, 4.160, -1.108, -0.511, -2.290, 0.460, 5.466, 2.697, 0, 0 
1209523, 245920027, -0.102, -0.265, -0.876, 4.187, -1.089, -0.634, -1.912, 0.466, 5.472, 2.720, 0, 0 
1209523, 246934372, -0.102, -0.266, -0.652, 4.217, 0.000, -0.748, -1.439, 0.471, 5.477, 2.768, 0, 0 
1209523, 247945456, -0.103, -0.268, -0.761, 4.250, -1.137, -0.921, -1.375, 0.477, 5.483, 2.746, 0, 0 
1209523, 248954102, -0.105, -0.269, -0.648, 4.285, -1.140, -1.076, -2.322, 0.482, 5.489, 2.769, 0, 0 
1209523, 250003714, -0.106, -0.270, -0.658, 4.327, -1.096, -1.375, -3.458, 0.488, 5.494, 2.767, 0, 0 
1209523, 251054763, -0.107, -0.271, -0.668, 4.372, -1.094, -1.562, -3.047, 0.493, 5.500, 2.765, 0, 0 
1209523, 252063027, -0.108, -0.272, -0.782, 4.421, -1.141, -1.757, -3.111, 0.499, 5.505, 2.742, 0, 0 
1209523, 253116183, -0.110, -0.273, -0.885, 4.476, -2.184, -2.129, -3.521, 0.504, 5.511, 2.719, 0, 0 
1209523, 254128530, -0.113, -0.274, -1.008, 4.534, -2.272, -2.237, -1.880, 0.510, 5.517, 2.692, 0, 0 
1209523, 255139127, -0.114, -0.275, -1.113, 4.595, -1.138, -2.417, -1.691, 0.515, 5.522, 2.670, 0, 0 
1209523, 256149109, -0.116, -0.276, -1.343, 4.656, -2.277, -2.486, -2.795, 0.521, 5.528, 2.621, 0, 0 
1209523, 257162372, -0.118, -0.277, -1.347, 4.715, -2.270, -2.344, -1.596, 0.526, 5.534, 2.618, 0, 0 
1209523, 258209254, -0.122, -0.278, -1.677, 4.776, -3.296, -2.499, -1.786, 0.532, 5.539, 2.416, 0, 0 
1209523, 259214521, -0.123, -0.279, -1.576, 4.837, -1.144, -2.530, -1.880, 0.537, 5.545, 2.436, 0, 0 
1209523, 260231286, -0.126, -0.279, -2.016, 4.896, -3.393, -2.407, -1.186, 0.543, 5.551, 2.342, 0, 0 
1209523, 261239744, -0.128, -0.280, -1.796, 4.948, -1.140, -2.085, 0.454, 0.548, 5.556, 2.385, 0, 0 
1209523, 262288721, -0.131, -0.280, -2.240, 4.996, -3.289, -1.918, 0.265, 0.554, 5.562, 2.291, 0, 0 
1209523, 263392763, -0.132, -0.281, -2.016, 5.037, -1.042, -1.590, -0.019, 0.560, 5.568, 2.334, 0, 0 
1209523, 264399774, -0.135, -0.282, -2.250, 5.071, -2.284, -1.227, -0.177, 0.565, 5.574, 2.284, 0, 0 
1209523, 265434803, -0.136, -0.282, -2.010, 5.097, -1.111, -0.868, 1.558, 0.571, 5.579, 2.331, 0, 0 
1209523, 266442222, -0.137, -0.283, -2.128, 5.122, -1.142, -0.808, 0.644, 0.576, 5.585, 2.306, 0, 0 
1209523, 267475023, -0.138, -0.283, -2.008, 5.139, -1.113, -0.407, 0.297, 0.582, 5.591, 2.328, 0, 0 
1209523, 268547334, -0.139, -0.283, -1.891, 5.152, -1.072, -0.167, 0.454, 0.588, 5.596, 2.350, 0, 0 
1209523, 269617404, -0.140, -0.284, -1.673, 5.162, -1.075, -0.085, -0.808, 0.593, 5.602, 2.392, 0, 0 
1209523, 270691150, -0.140, -0.284, -1.559, 5.166, 0.000, 0.240, 0.107, 0.599, 5.608, 2.416, 0, 0 
1209523, 271761889, -0.141, -0.285, -1.434, 5.169, -1.074, 0.281, 0.139, 0.604, 5.614, 2.440, 0, 0 
1209523, 272832445, -0.141, -0.285, -1.213, 5.175, 0.000, 0.186, -0.461, 0.610, 5.619, 2.615, 0, 0 
1209523, 273901281, -0.141, -0.286, -0.991, 5.180, 0.000, 0.183, -0.366, 0.616, 5.625, 2.660, 0, 0 
1209523, 274907757, -0.143, -0.286, -1.001, 5.188, -1.143, 0.057, -1.186, 0.621, 5.631, 2.657, 0, 0 
1209523, 275921260, -0.143, -0.287, -0.659, 5.196, 0.000, 0.032, -1.249, 0.627, 5.637, 2.726, 0, 0 
1209523, 276928281, -0.143, -0.287, -0.662, 5.213, 0.000, -0.366, -2.480, 0.633, 5.642, 2.726, 0, 0 
1209523, 277967051, -0.144, -0.287, -0.658, 5.232, -1.107, -0.536, -2.290, 0.638, 5.648, 2.726, 0, 0 
1209523, 278982250, -0.144, -0.288, -0.436, 5.257, 0.000, -0.795, -2.101, 0.644, 5.654, 2.771, 0, 0 
1209523, 279991062, -0.145, -0.288, -0.554, 5.288, -1.140, -1.088, -2.290, 0.649, 5.660, 2.746, 0, 0 
1209523, 281023286, -0.146, -0.289, -0.444, 5.320, -1.114, -1.189, -2.006, 0.655, 5.666, 2.766, 0, 0 
