Wed Apr 24 12:06:36 2019
Controller Frequency: 1.00 kHz
Time(s), Time(ns), x, xa, v, va, v_unfilt, f, f_unfilt, xdes, vdes, cmd, LSB, LSF
1030444, 731403393, 0.000, -0.005, 0.000, 0.000, 0.000, 0.010, 0.096, 0.005, 5.000, 2.500, 0, 0 
1030444, 732413954, 0.000, -0.010, 0.000, 0.000, 0.000, 0.006, 0.065, 0.010, 5.005, 2.500, 0, 0 
1030444, 733453934, 0.000, -0.015, 0.000, 0.000, 0.000, 0.013, 0.033, 0.015, 5.010, 2.500, 0, 0 
1030444, 734575087, 0.000, -0.020, 0.000, 0.000, 0.000, 0.023, 0.065, 0.020, 5.015, 2.500, 0, 0 
1030444, 735586417, 0.000, -0.025, 0.000, 0.000, 0.000, 0.029, 0.096, 0.025, 5.020, 2.500, 0, 0 
1030444, 736597467, 0.000, -0.030, 0.000, 0.000, 0.000, 0.026, 0.002, 0.030, 5.025, 2.500, 0, 0 
1030444, 737609741, 0.000, -0.035, 0.000, 0.000, 0.000, 0.036, 0.002, 0.035, 5.030, 2.500, 0, 0 
1030444, 738622094, 0.000, -0.040, 0.000, 0.000, 0.000, 0.029, -0.062, 0.040, 5.035, 2.500, 0, 0 
1030444, 739634717, 0.000, -0.045, 0.000, 0.000, 0.000, 0.030, -0.062, 0.045, 5.040, 2.500, 0, 0 
1030444, 740646167, 0.000, -0.050, 0.000, 0.000, 0.000, 0.027, -0.030, 0.050, 5.045, 2.500, 0, 0 
1030444, 741659447, 0.000, -0.055, 0.000, 0.000, 0.000, 0.017, -0.062, 0.055, 5.050, 2.500, 1, 0 
1030444, 743144886, 0.000, -0.060, 0.000, 0.000, 0.000, 0.008, -0.030, 0.060, 5.055, 2.500, 1, 0 
1030444, 744472742, 0.000, -0.065, 0.000, 0.000, 0.000, -0.002, 0.002, 0.065, 5.060, 2.500, 1, 0 
1030444, 745484406, 0.000, -0.070, 0.000, 0.000, 0.000, -0.008, 0.002, 0.070, 5.065, 2.500, 1, 0 
1030444, 746508294, 0.000, -0.076, 0.000, 0.000, 0.000, -0.014, 0.002, 0.076, 5.070, 2.500, 1, 0 
1030444, 747517888, 0.000, -0.081, 0.000, 0.000, 0.000, -0.017, 0.065, 0.081, 5.075, 2.500, 1, 0 
1030444, 748526137, 0.000, -0.086, 0.000, 0.000, 0.000, -0.011, 0.128, 0.086, 5.080, 2.500, 1, 0 
1030444, 749535980, 0.000, -0.091, 0.000, 0.000, 0.000, -0.011, 0.065, 0.091, 5.085, 2.500, 1, 0 
1030444, 750549919, 0.000, -0.096, 0.000, 0.000, 0.000, 0.008, 0.065, 0.096, 5.091, 2.500, 1, 0 
1030444, 751559058, 0.000, -0.101, 0.000, 0.000, 0.000, 0.021, 0.065, 0.101, 5.096, 2.500, 1, 0 
1030444, 752568722, 0.000, -0.106, 0.000, 0.000, 0.000, 0.027, 0.033, 0.106, 5.101, 2.500, 1, 0 
1030444, 753578495, 0.000, -0.111, 0.000, 0.000, 0.000, 0.030, -0.062, 0.111, 5.106, 2.500, 1, 0 
1030444, 754589332, 0.000, -0.116, 0.000, 0.000, 0.000, 0.043, 0.002, 0.116, 5.111, 2.500, 1, 0 
1030444, 755857173, 0.000, -0.121, 0.000, 0.000, 0.000, 0.033, -0.030, 0.121, 5.116, 2.500, 1, 0 
1030444, 756864975, 0.000, -0.127, 0.000, 0.000, 0.000, 0.030, -0.062, 0.127, 5.121, 2.500, 1, 0 
1030444, 757872799, 0.000, -0.132, 0.000, 0.000, 0.000, 0.033, 0.002, 0.132, 5.126, 2.500, 1, 0 
1030444, 758880951, 0.000, -0.137, 0.000, 0.000, 0.000, 0.014, -0.062, 0.137, 5.131, 2.500, 1, 0 
1030444, 759888118, 0.000, -0.142, 0.000, 0.000, 0.000, 0.008, 0.002, 0.142, 5.136, 2.500, 1, 0 
1030444, 760895308, 0.000, -0.147, 0.000, 0.000, 0.000, -0.008, -0.030, 0.147, 5.142, 2.500, 1, 0 
1030444, 761903362, 0.000, -0.152, 0.000, 0.000, 0.000, -0.005, 0.065, 0.152, 5.147, 2.500, 1, 0 
1030444, 762913413, 0.000, -0.157, 0.000, 0.000, 0.000, -0.011, 0.096, 0.157, 5.152, 2.500, 1, 0 
1030444, 763919392, 0.000, -0.162, 0.000, 0.000, 0.000, -0.011, 0.065, 0.162, 5.157, 2.500, 1, 0 
1030444, 764927789, 0.000, -0.168, 0.000, 0.000, 0.000, 0.005, 0.065, 0.168, 5.162, 2.500, 1, 0 
1030444, 765934623, 0.000, -0.173, 0.000, 0.000, 0.000, 0.014, 0.096, 0.173, 5.167, 2.500, 1, 0 
1030444, 766940125, 0.000, -0.178, 0.000, 0.000, 0.000, 0.024, 0.096, 0.178, 5.172, 2.500, 1, 0 
1030444, 767947604, 0.000, -0.183, 0.000, 0.000, 0.000, 0.036, 0.065, 0.183, 5.178, 2.500, 1, 0 
1030444, 768955317, 0.000, -0.188, 0.000, 0.000, 0.000, 0.046, 0.065, 0.188, 5.183, 2.500, 1, 0 
1030444, 769966336, 0.000, -0.194, 0.000, 0.000, 0.000, 0.055, 0.033, 0.194, 5.188, 2.500, 1, 0 
1030444, 770974608, 0.000, -0.199, 0.000, 0.000, 0.000, 0.058, 0.002, 0.199, 5.193, 2.500, 1, 0 
