Wed Dec  5 13:22:49 2018
Controller Frequency: 1000.000 kHz
Time(s), Time(ns), x, xa, v, va, v_unfilt, f, f_unfilt, xdes, vdes, cmd, LSB, LSF
156657, 475046450, -5.353, 205.353, -0.000, 8.453, -0.000, -0.761, -7.608, 200.000, 0.000, 2.849, 0, 0 
156657, 476662126, -5.353, 205.353, 0.000, 8.377, 0.000, -0.754, -7.540, 200.000, 0.000, 2.849, 0, 0 
156657, 478031935, -5.352, 205.352, 0.084, 19.814, 0.840, -1.783, -10.225, 200.000, 0.000, 2.861, 0, 0 
156657, 479421147, -5.351, 205.351, 0.083, 30.090, 0.828, -2.708, -11.934, 200.000, 0.000, 2.871, 0, 0 
156657, 480778814, -5.349, 205.349, 0.253, 41.738, 1.694, -3.756, -12.192, 200.000, 0.000, 2.882, 0, 0 
156657, 482267358, -5.345, 205.345, 0.399, 54.953, 2.318, -4.946, -12.151, 200.000, 0.000, 2.896, 0, 0 
156657, 483637782, -5.341, 205.341, 0.672, 68.349, 3.357, -6.151, -12.016, 200.000, 0.000, 2.909, 0, 0 
156657, 484856772, -5.336, 205.336, 0.945, 82.046, 3.774, -7.384, -12.192, 200.000, 0.000, 2.923, 0, 0 
156657, 485926432, -5.330, 205.330, 1.441, 95.502, 5.376, -8.595, -12.287, 200.000, 0.000, 2.936, 0, 0 
156657, 486996216, -5.326, 205.326, 1.711, 108.898, 4.300, -9.801, -12.151, 200.000, 0.000, 2.950, 0, 0 
156657, 488156615, -5.319, 205.319, 2.413, 122.610, 5.946, -11.035, -12.205, 200.000, 0.000, 2.963, 1, 0 
156657, 489296901, -5.311, 205.311, 2.954, 127.674, 7.060, -11.491, -12.219, 200.000, 0.000, 2.968, 1, 0 
156657, 490308001, -5.305, 205.305, 3.412, 132.677, 5.687, -11.941, -12.056, 200.000, 0.000, 2.973, 1, 0 
156657, 491312138, -5.298, 205.298, 4.152, 135.043, 6.872, -12.154, -12.192, 200.000, 0.000, 2.976, 1, 0 
156657, 492360588, -5.288, 205.288, 4.938, 135.601, 9.872, -12.204, -12.572, 200.000, 0.000, 2.976, 1, 0 
156657, 493363736, -5.280, 205.280, 5.271, 135.827, 8.025, -12.224, -12.775, 200.000, 0.000, 2.976, 1, 0 
156657, 494454626, -5.269, 205.269, 6.173, 135.721, 9.488, -12.215, -12.260, 200.000, 0.000, 2.976, 1, 0 
156657, 495562345, -5.258, 205.258, 6.729, 136.972, 10.382, -12.327, -12.626, 200.000, 0.000, 2.977, 1, 0 
156657, 496671570, -5.245, 205.245, 7.403, 136.731, 11.404, -12.306, -12.341, 200.000, 0.000, 2.977, 1, 0 
156657, 497781013, -5.231, 205.231, 8.007, 137.590, 12.439, -12.383, -12.775, 200.000, 0.000, 2.978, 1, 0 
156657, 498888804, -5.216, 205.216, 8.823, 138.132, 13.495, -12.432, -13.073, 200.000, 0.000, 2.979, 1, 0 
156657, 499982933, -5.204, 205.204, 9.279, 138.163, 11.562, -12.435, -12.531, 200.000, 0.000, 2.979, 1, 0 
156657, 501022476, -5.187, 205.186, 10.426, 138.705, 16.594, -12.483, -12.165, 200.000, 0.000, 2.979, 1, 0 
156657, 502058181, -5.172, 205.172, 10.797, 139.685, 14.435, -12.572, -12.572, 200.000, 0.000, 2.980, 1, 0 
156657, 503093671, -5.157, 205.157, 11.770, 139.670, 14.438, -12.570, -12.585, 200.000, 0.000, 2.980, 1, 0 
156657, 504097382, -5.139, 205.139, 12.501, 139.971, 17.186, -12.597, -12.856, 200.000, 0.000, 2.980, 1, 0 
156657, 505134513, -5.122, 205.122, 13.087, 139.579, 16.632, -12.562, -12.694, 200.000, 0.000, 2.980, 1, 0 
156657, 506173983, -5.105, 205.105, 13.853, 140.634, 16.595, -12.657, -13.046, 200.000, 0.000, 2.981, 1, 0 
156657, 507210483, -5.086, 205.086, 14.594, 140.860, 17.752, -12.677, -13.182, 200.000, 0.000, 2.981, 1, 0 
156657, 508217335, -5.067, 205.067, 15.279, 141.855, 19.417, -12.767, -13.372, 200.000, 0.000, 2.982, 1, 0 
156657, 509238449, -5.047, 205.047, 15.783, 142.156, 19.146, -12.794, -13.236, 200.000, 0.000, 2.982, 1, 0 
156657, 510320224, -5.024, 205.024, 16.587, 142.322, 21.261, -12.809, -13.087, 200.000, 0.000, 2.982, 1, 0 
156657, 511350722, -5.003, 205.002, 17.340, 142.880, 21.203, -12.859, -12.884, 200.000, 0.000, 2.983, 1, 0 
156657, 512418548, -4.981, 204.981, 17.732, 143.889, 20.462, -12.950, -12.870, 200.000, 0.000, 2.984, 1, 0 
156657, 513507117, -4.958, 204.958, 18.476, 144.733, 21.129, -13.026, -13.318, 200.000, 0.000, 2.985, 1, 0 
156657, 514605968, -4.930, 204.930, 19.477, 145.200, 25.117, -13.068, -13.453, 200.000, 0.000, 2.985, 1, 0 
156657, 515694818, -4.906, 204.906, 19.578, 145.713, 22.179, -13.114, -13.453, 200.000, 0.000, 2.986, 1, 0 
156657, 516790896, -4.877, 204.877, 20.831, 146.285, 26.230, -13.166, -13.209, 200.000, 0.000, 2.986, 1, 0 
156657, 517795983, -4.855, 204.855, 20.941, 147.084, 21.739, -13.238, -13.521, 200.000, 0.000, 2.987, 1, 0 
156657, 518891523, -4.824, 204.824, 22.449, 147.235, 28.342, -13.251, -13.630, 200.000, 0.000, 2.987, 1, 0 
156657, 520015706, -4.797, 204.797, 22.302, 147.280, 24.551, -13.255, -13.521, 200.000, 0.000, 2.987, 1, 0 
156657, 521125065, -4.769, 204.769, 23.254, 147.310, 24.879, -13.258, -13.155, 200.000, 0.000, 2.987, 1, 0 
156657, 522234776, -4.736, 204.736, 24.101, 147.898, 30.053, -13.311, -13.250, 200.000, 0.000, 2.987, 1, 0 
156657, 523333168, -4.706, 204.706, 24.185, 148.199, 27.222, -13.338, -13.250, 200.000, 0.000, 2.988, 1, 0 
156657, 524341040, -4.676, 204.676, 25.389, 148.983, 29.666, -13.408, -13.575, 200.000, 0.000, 2.988, 1, 0 
156657, 525349149, -4.644, 204.644, 26.225, 148.139, 31.941, -13.333, -12.884, 200.000, 0.000, 2.987, 1, 0 
156657, 526356444, -4.617, 204.617, 26.112, 149.088, 26.258, -13.418, -13.616, 200.000, 0.000, 2.988, 1, 0 
156657, 527425891, -4.584, 204.584, 27.581, 148.290, 31.184, -13.346, -13.467, 200.000, 0.000, 2.987, 1, 0 
156657, 528502193, -4.551, 204.551, 27.564, 148.606, 30.986, -13.375, -13.345, 200.000, 0.000, 2.988, 1, 0 
156657, 529589359, -4.511, 204.511, 29.006, 148.486, 35.965, -13.364, -13.290, 200.000, 0.000, 2.988, 1, 0 
156657, 530686560, -4.476, 204.476, 28.923, 147.943, 32.492, -13.315, -13.087, 200.000, 0.000, 2.987, 1, 0 
156657, 531691947, -4.445, 204.445, 29.904, 147.461, 30.884, -13.271, -12.884, 200.000, 0.000, 2.986, 1, 0 
156657, 532701338, -4.408, 204.408, 31.222, 147.627, 36.458, -13.286, -13.101, 200.000, 0.000, 2.986, 1, 0 
156657, 533708547, -4.371, 204.371, 31.313, 147.325, 36.537, -13.259, -13.196, 200.000, 0.000, 2.986, 1, 0 
156657, 534715187, -4.338, 204.338, 31.896, 147.280, 33.130, -13.255, -13.304, 200.000, 0.000, 2.986, 1, 0 
156657, 535721940, -4.299, 204.299, 33.154, 146.948, 38.838, -13.225, -13.385, 200.000, 0.000, 2.986, 1, 0 
156657, 536727836, -4.265, 204.265, 32.705, 147.280, 33.155, -13.255, -13.263, 200.000, 0.000, 2.986, 1, 0 
156657, 537733846, -4.224, 204.224, 34.763, 147.099, 41.153, -13.239, -13.331, 200.000, 0.000, 2.986, 1, 0 
156657, 538739760, -4.188, 204.188, 34.388, 146.903, 35.440, -13.221, -13.358, 200.000, 0.000, 2.985, 1, 0 
