Wed Jan 23 10:21:32 2019
Controller Frequency: 1.00 kHz
Time(s), Time(ns), x, xa, v, va, v_unfilt, f, f_unfilt, xdes, vdes, cmd, LSB, LSF
174795, 997219767, 0.306, 199.691, 0.000, -6.657, 0.000, 0.009, 0.089, 200.000, 0.000, 2.630, 0, 0 
174796, 1641739, 0.306, 199.691, 0.000, -6.657, 0.000, 0.013, 0.132, 200.000, 0.000, 2.630, 0, 0 
174796, 2645840, 0.306, 199.691, 0.000, -6.656, 0.000, -0.001, -0.095, 200.000, 0.000, 2.630, 0, 0 
174796, 3679903, 0.306, 199.691, 0.000, -6.656, 0.000, 0.001, -0.210, 200.000, 0.000, 2.630, 0, 0 
174796, 4789322, 0.307, 199.690, 0.104, -6.760, 1.037, -0.009, -0.215, 200.000, 0.000, 2.630, 0, 0 
174796, 5887568, 0.307, 199.690, 0.000, -6.655, 0.000, -0.031, -0.227, 200.000, 0.000, 2.630, 0, 0 
174796, 6986581, 0.308, 199.688, 0.208, -6.863, 1.046, -0.050, -0.201, 200.000, 0.000, 2.630, 0, 0 
174796, 7993373, 0.310, 199.686, 0.332, -6.986, 2.284, -0.080, -0.275, 200.000, 0.000, 2.630, 0, 0 
174796, 8999464, 0.312, 199.685, 0.323, -6.976, 1.143, -0.094, -0.208, 200.000, 0.000, 2.630, 0, 0 
174796, 10039469, 0.314, 199.682, 0.658, -7.310, 2.212, -0.123, -0.232, 200.000, 0.000, 2.630, 0, 0 
174796, 11047815, 0.316, 199.680, 0.779, -7.431, 2.281, -0.138, -0.172, 200.000, 0.000, 2.630, 1, 0 
174796, 12054945, 0.319, 199.677, 1.001, -7.651, 2.284, -0.168, -0.150, 200.000, 0.000, 2.630, 1, 0 
174796, 13061816, 0.321, 199.675, 1.229, -7.878, 2.284, -0.206, -0.222, 200.000, 0.000, 2.630, 1, 0 
174796, 14068408, 0.324, 199.671, 1.571, -8.220, 3.427, -0.208, -0.193, 200.000, 0.000, 2.630, 1, 0 
174796, 15074962, 0.328, 199.667, 1.800, -8.448, 3.428, -0.217, -0.266, 200.000, 0.000, 2.630, 1, 0 
