Subject ID: 4
Wed Jul 17 11:30:29 2019
Controller Frequency: 1.00 kHz
Time(s), Time(ns), x, xa, v, va, v_unfilt, f, f_unfilt, Fa, xdes, vdes, cmd, LSB, LSF
435576, 655170924, 195.599, 195.599, 0.000, 0.005, 0.000, -1.168, -11.677, 0.000, 195.596, -3.000, 2.500, 0, 0 
435576, 656174251, 195.599, 195.599, 0.000, 0.013, 0.000, -1.291, -12.908, 0.000, 195.593, -3.002, 2.500, 0, 0 
435576, 657203849, 195.599, 195.599, 0.000, 0.042, 0.000, -2.373, -12.056, 0.000, 195.590, -3.004, 2.500, 0, 0 
435576, 658210902, 195.599, 195.599, 0.000, 0.096, 0.000, -3.633, -11.740, 0.000, 195.587, -3.006, 2.500, 0, 0 
435576, 659217037, 195.599, 195.599, 0.000, 0.173, 0.000, -4.788, -11.236, 0.000, 195.584, -3.008, 2.500, 0, 0 
435576, 660224269, 195.599, 195.599, 0.000, 0.271, 0.000, -5.873, -10.352, 0.000, 195.581, -3.010, 2.500, 0, 0 
435576, 661252818, 195.599, 195.599, 0.000, 0.392, 0.000, -7.054, -10.920, 0.000, 195.578, -3.012, 2.500, 0, 0 
435576, 662426989, 195.599, 195.599, 0.000, 0.535, 0.000, -8.202, -12.056, 0.000, 195.575, -3.013, 2.500, 0, 0 
435576, 663433394, 195.599, 195.599, 0.000, 0.697, 0.000, -9.197, -11.078, 0.000, 195.572, -3.015, 2.500, 0, 0 
435576, 664440464, 195.599, 195.599, 0.000, 0.887, 0.000, -10.658, -13.633, 0.000, 195.569, -3.017, 2.500, 0, 0 
435576, 665461022, 195.599, 195.599, 0.000, 1.094, 0.000, -11.583, -11.803, 0.000, 195.566, -3.019, 2.500, 0, 1 
435576, 666466566, 195.599, 195.599, 0.000, 1.305, 0.000, -11.810, -12.119, 0.000, 195.563, -3.021, 2.500, 0, 1 
435576, 667470811, 195.599, 195.599, 0.000, 1.511, 0.000, -11.674, -11.867, 0.000, 195.560, -3.023, 2.500, 0, 1 
435576, 668475398, 195.599, 195.599, 0.000, 1.715, 0.000, -11.624, -11.299, 0.000, 195.557, -3.025, 2.500, 0, 1 
435576, 669478778, 195.599, 195.599, 0.000, 1.919, 0.000, -11.668, -11.614, 0.000, 195.554, -3.027, 2.500, 0, 1 
