Subject ID: 0
Wed Jun 19 11:50:32 2019
Controller Frequency: 1.00 kHz
Time(s), Time(ns), x, xa, v, va, v_unfilt, f, f_unfilt, xdes, vdes, cmd, LSB, LSF
2496232, 258474015, 0.000, -0.005, 0.000, 0.039, 0.000, 0.021, 0.208, 0.005, 5.000, 2.500, 0, 0 
2496232, 259505658, 0.000, -0.010, 0.000, 0.081, 0.000, -0.090, -0.896, 0.010, 5.000, 2.500, 0, 0 
2496232, 260591945, 0.000, -0.015, 0.000, 0.120, 0.000, 0.016, -0.044, 0.015, 5.000, 2.500, 0, 0 
2496232, 261611075, 0.000, -0.020, 0.000, 0.162, 0.000, -0.152, -0.833, 0.020, 5.000, 2.500, 0, 0 
2496232, 262628218, 0.000, -0.024, 0.000, 0.203, 0.000, -0.115, -0.423, 0.025, 5.000, 2.500, 0, 0 
2496232, 264167630, 0.000, -0.029, 0.000, 0.245, 0.000, -0.211, -0.549, 0.030, 5.000, 2.500, 0, 0 
2496232, 265435425, 0.000, -0.034, 0.000, 0.288, 0.000, -0.254, -0.549, 0.035, 5.000, 2.500, 0, 0 
2496232, 266650588, 0.000, -0.039, 0.000, 0.332, 0.000, -0.324, -0.707, 0.040, 5.000, 2.500, 0, 0 
2496232, 267869534, 0.000, -0.043, 0.000, 0.377, 0.000, -0.360, -0.517, 0.045, 5.000, 2.500, 0, 0 
2496232, 269098847, 0.000, -0.048, 0.000, 0.422, 0.000, -0.421, -0.423, 0.050, 5.000, 2.500, 0, 0 
2496232, 270288157, 0.000, -0.052, 0.000, 0.469, 0.000, -0.492, -0.612, 0.055, 5.000, 2.500, 1, 0 
2496232, 271433807, 0.000, -0.057, 0.000, 0.515, 0.000, -0.489, 0.050, 0.060, 5.000, 2.500, 1, 0 
2496232, 272791851, 0.000, -0.061, 0.000, 0.562, 0.000, -0.536, -0.707, 0.065, 5.000, 2.500, 1, 0 
2496232, 274124813, 0.000, -0.066, 0.000, 0.607, 0.000, -0.483, -0.265, 0.070, 5.000, 2.500, 1, 0 
2496232, 275305891, 0.000, -0.070, 0.000, 0.654, 0.000, -0.584, -1.401, 0.075, 5.000, 2.500, 1, 0 
2496232, 276383117, 0.000, -0.075, 0.000, 0.698, 0.000, -0.442, -0.139, 0.080, 5.000, 2.500, 1, 0 
2496232, 277399259, 0.000, -0.079, 0.000, 0.743, 0.000, -0.568, -0.549, 0.085, 5.000, 2.500, 1, 0 
2496232, 278415063, 0.000, -0.083, 0.000, 0.789, 0.000, -0.568, -0.959, 0.090, 5.000, 2.500, 1, 0 
2496232, 279430933, 0.000, -0.087, 0.000, 0.833, 0.000, -0.489, -0.328, 0.095, 5.000, 2.500, 1, 0 
2496232, 280963896, 0.000, -0.091, 0.000, 0.876, 0.000, -0.467, 0.334, 0.100, 5.000, 2.500, 1, 0 
2496232, 282494154, 0.000, -0.096, 0.000, 0.921, 0.000, -0.606, -1.148, 0.105, 5.000, 2.500, 1, 0 
2496232, 283736112, 0.000, -0.100, 0.000, 0.964, 0.000, -0.527, -1.306, 0.110, 5.000, 2.500, 1, 0 
2496232, 284825931, 0.000, -0.104, 0.000, 1.008, 0.000, -0.549, -0.328, 0.115, 5.000, 2.500, 1, 0 
2496232, 285856771, 0.000, -0.108, 0.000, 1.052, 0.000, -0.609, -0.328, 0.120, 5.000, 2.500, 1, 0 
2496232, 286981310, 0.000, -0.111, 0.000, 1.097, 0.000, -0.637, -0.549, 0.125, 5.000, 2.500, 1, 0 
2496232, 288138112, 0.000, -0.115, 0.000, 1.139, 0.000, -0.508, -0.328, 0.130, 5.000, 2.500, 1, 0 
2496232, 289151831, 0.000, -0.119, 0.000, 1.180, 0.000, -0.530, -0.139, 0.135, 5.000, 2.500, 1, 0 
2496232, 290164599, 0.000, -0.123, 0.000, 1.222, 0.000, -0.517, -0.233, 0.140, 5.000, 2.500, 1, 0 
2496232, 291178889, 0.000, -0.127, 0.000, 1.263, 0.000, -0.533, -1.211, 0.145, 5.000, 2.500, 1, 0 
