Wed May  8 13:16:17 2019
Controller Frequency: 1.00 kHz
Time(s), Time(ns), x, xa, v, va, v_unfilt, f, f_unfilt, xdes, vdes, cmd, LSB, LSF
2365, 750697112, 0.000, -0.005, 0.000, 0.040, 0.000, -0.006, -0.060, 0.005, 5.000, 2.500, 0, 0 
2365, 752149554, 0.000, -0.010, 0.000, 0.081, 0.000, -0.091, -0.912, 0.010, 5.006, 2.500, 0, 0 
2365, 753197210, 0.000, -0.015, 0.000, 0.120, 0.000, 0.035, 0.413, 0.015, 5.012, 2.500, 0, 0 
2365, 754427944, 0.000, -0.020, 0.000, 0.163, 0.000, -0.195, -0.975, 0.020, 5.018, 2.500, 0, 0 
2365, 755471626, 0.000, -0.025, 0.000, 0.203, 0.000, -0.049, 0.066, 0.025, 5.024, 2.500, 0, 0 
2365, 756488939, 0.000, -0.029, 0.000, 0.248, 0.000, -0.276, -1.227, 0.030, 5.030, 2.500, 0, 0 
2365, 757501898, 0.000, -0.034, 0.000, 0.291, 0.000, -0.250, -1.038, 0.035, 5.036, 2.500, 0, 0 
2365, 758569602, 0.000, -0.039, 0.000, 0.336, 0.000, -0.307, -0.375, 0.040, 5.042, 2.500, 0, 0 
2365, 759658360, 0.000, -0.044, 0.000, 0.381, 0.000, -0.363, 0.098, 0.045, 5.048, 2.500, 0, 0 
2365, 760937976, 0.000, -0.048, 0.000, 0.428, 0.000, -0.455, -0.439, 0.050, 5.054, 2.500, 0, 0 
2365, 761954119, 0.000, -0.053, 0.000, 0.473, 0.000, -0.394, 0.066, 0.055, 5.060, 2.500, 1, 0 
2365, 763151452, 0.000, -0.057, 0.000, 0.521, 0.000, -0.539, -1.006, 0.060, 5.066, 2.500, 1, 0 
2365, 764165452, 0.000, -0.062, 0.000, 0.566, 0.000, -0.388, -0.470, 0.065, 5.072, 2.500, 1, 0 
2365, 765206173, 0.000, -0.066, 0.000, 0.614, 0.000, -0.555, -0.722, 0.071, 5.078, 2.500, 1, 0 
2365, 766219972, 0.000, -0.071, 0.000, 0.660, 0.000, -0.489, -0.565, 0.076, 5.084, 2.500, 1, 0 
2365, 767230510, 0.000, -0.075, 0.000, 0.707, 0.000, -0.527, -0.155, 0.081, 5.090, 2.500, 1, 0 
2365, 768246057, 0.000, -0.080, 0.000, 0.752, 0.000, -0.489, -0.439, 0.086, 5.096, 2.500, 1, 0 
2365, 769260952, 0.000, -0.084, 0.000, 0.795, 0.000, -0.363, -0.060, 0.091, 5.103, 2.500, 1, 0 
2365, 770656951, 0.000, -0.088, 0.000, 0.839, 0.000, -0.397, -0.344, 0.096, 5.109, 2.500, 1, 0 
2365, 771827882, 0.000, -0.092, 0.000, 0.882, 0.000, -0.388, -0.091, 0.101, 5.115, 2.500, 1, 0 
2365, 772912837, 0.000, -0.097, 0.000, 0.926, 0.000, -0.457, -0.880, 0.106, 5.121, 2.500, 1, 0 
2365, 774074413, 0.000, -0.101, 0.000, 0.968, 0.000, -0.353, 0.319, 0.111, 5.127, 2.500, 1, 0 
2365, 775089163, 0.000, -0.105, 0.000, 1.010, 0.000, -0.410, -0.375, 0.117, 5.133, 2.500, 1, 0 
2365, 776100113, 0.000, -0.109, 0.000, 1.051, 0.000, -0.344, -0.502, 0.122, 5.139, 2.500, 1, 0 
2365, 777114789, 0.000, -0.113, 0.000, 1.091, 0.000, -0.306, -0.470, 0.127, 5.145, 2.500, 1, 0 
2365, 778425758, 0.000, -0.117, 0.000, 1.131, 0.000, -0.284, -0.312, 0.132, 5.152, 2.500, 1, 0 
2365, 779905034, 0.000, -0.121, 0.000, 1.171, 0.000, -0.322, -0.375, 0.137, 5.158, 2.500, 1, 0 
2365, 781021878, 0.000, -0.125, 0.000, 1.210, 0.000, -0.293, -0.218, 0.142, 5.164, 2.500, 1, 0 
2365, 782097376, 0.000, -0.129, 0.000, 1.252, 0.000, -0.451, -1.480, 0.147, 5.170, 2.500, 1, 0 
2365, 783111871, 0.000, -0.133, 0.000, 1.290, 0.000, -0.256, 0.350, 0.153, 5.176, 2.500, 1, 0 
2365, 784173370, 0.000, -0.137, 0.000, 1.331, 0.000, -0.394, 0.350, 0.158, 5.182, 2.500, 1, 0 
2365, 785241132, 0.000, -0.141, 0.000, 1.369, 0.000, -0.265, 0.413, 0.163, 5.189, 2.500, 1, 0 
2365, 786300278, 0.000, -0.145, 0.000, 1.408, 0.000, -0.322, -0.186, 0.168, 5.195, 2.500, 1, 0 
2365, 787317789, 0.000, -0.148, 0.000, 1.446, 0.000, -0.303, -0.786, 0.173, 5.201, 2.500, 1, 0 
2365, 788333349, 0.000, -0.152, 0.000, 1.481, 0.000, -0.148, 0.445, 0.179, 5.207, 2.500, 1, 0 
2365, 789347054, 0.000, -0.156, 0.000, 1.517, 0.000, -0.233, -0.091, 0.184, 5.213, 2.500, 1, 0 
2365, 790361584, 0.000, -0.160, 0.000, 1.552, 0.000, -0.151, -0.028, 0.189, 5.220, 2.500, 1, 0 
2365, 791376030, 0.000, -0.163, 0.000, 1.583, 0.000, 0.009, 1.297, 0.194, 5.226, 2.500, 1, 0 
2365, 792385466, 0.000, -0.167, 0.000, 1.616, 0.000, -0.107, -0.060, 0.199, 5.232, 2.500, 1, 0 
2365, 793405945, 0.000, -0.170, 0.000, 1.645, 0.000, 0.142, -0.344, 0.205, 5.238, 2.500, 1, 0 
2365, 794418575, 0.000, -0.174, 0.000, 1.673, 0.000, 0.151, 0.161, 0.210, 5.245, 2.500, 1, 0 
