Wed Nov 28 15:35:30 2018
Time(s), Time(ns), x, v, f, xdes, vdes, cmd, LSB, LSF
81671, 216710223, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
81671, 218410004, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
81671, 219511042, 0.000, 0.000, -454.994, 250.000, 0.000, 2.350, 0, 0 
81671, 220516998, 0.000, 0.000, -454.967, 250.000, 0.000, 2.350, 0, 0 
81671, 221620279, 0.000, 0.000, -454.994, 250.000, 0.000, 2.350, 0, 0 
81671, 222724758, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
81671, 223735311, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
81671, 224824121, 0.000, 0.000, -454.967, 250.000, 0.000, 2.350, 0, 0 
81671, 225930316, 0.000, 0.000, -454.994, 250.000, 0.000, 2.350, 0, 0 
81671, 227032255, 0.000, 0.000, -454.994, 250.000, 0.000, 2.350, 0, 0 
81671, 228124594, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
81671, 229221123, 0.000, 0.000, -454.994, 250.000, 0.000, 2.350, 0, 0 
81671, 230323488, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
81671, 231334461, 0.000, 0.000, -454.967, 250.000, 0.000, 2.350, 0, 0 
81671, 232432819, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
81671, 233533027, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
81671, 234634662, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
81671, 235732425, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
81671, 236807731, 0.000, 0.000, -454.994, 250.000, 0.000, 2.350, 0, 0 
81671, 237820748, 0.000, 0.000, -454.967, 250.000, 0.000, 2.350, 0, 0 
81671, 238933406, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
81671, 240033221, 0.000, 0.000, -454.967, 250.000, 0.000, 2.350, 0, 0 
81671, 241117037, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
81671, 242199401, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
81671, 243297941, 0.000, 0.000, -454.994, 250.000, 0.000, 2.350, 0, 0 
81671, 244381028, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
81671, 245467838, 0.000, 0.000, -454.967, 250.000, 0.000, 2.350, 0, 0 
81671, 246550372, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
81671, 247632666, 0.000, 0.000, -454.967, 250.000, 0.000, 2.350, 0, 0 
81671, 248718371, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
81671, 249802452, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
81671, 250817410, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
81671, 251836425, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
81671, 252888090, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
81671, 253904780, 0.000, 0.000, -454.967, 250.000, 0.000, 2.350, 0, 0 
81671, 254959272, 0.000, 0.000, -454.967, 250.000, 0.000, 2.350, 0, 0 
81671, 256043911, 0.000, 0.000, -454.967, 250.000, 0.000, 2.350, 0, 0 
81671, 257064436, 0.000, 0.000, -454.967, 250.000, 0.000, 2.350, 0, 0 
81671, 258089088, 0.000, 0.000, -454.967, 250.000, 0.000, 2.350, 0, 0 
81671, 259112809, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
81671, 260182274, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
81671, 261201625, 0.000, 0.000, -454.994, 250.000, 0.000, 2.350, 0, 0 
81671, 262223630, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
81671, 263244101, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
81671, 264268988, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
81671, 265293790, 0.000, 0.000, -454.994, 250.000, 0.000, 2.350, 0, 0 
81671, 266312588, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
81671, 267330109, 0.000, 0.000, -454.967, 250.000, 0.000, 2.350, 0, 0 
81671, 268347601, 0.000, 0.000, -454.967, 250.000, 0.000, 2.350, 0, 0 
81671, 269367749, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
81671, 270430047, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
81671, 271447634, 0.000, 0.000, -454.967, 250.000, 0.000, 2.350, 0, 0 
81671, 272466485, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
81671, 273486677, 0.000, 0.000, -454.967, 250.000, 0.000, 2.350, 0, 0 
81671, 274507964, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
81671, 275528995, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
81671, 276549589, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
81671, 277570405, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
81671, 278596454, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
81671, 279616922, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
81671, 280677092, 0.000, 0.000, -454.967, 250.000, 0.000, 2.350, 0, 0 
81671, 281699286, 0.000, 0.000, -454.967, 250.000, 0.000, 2.350, 0, 0 
81671, 282719324, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
81671, 283747728, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
81671, 284773964, 0.000, 0.000, -454.994, 250.000, 0.000, 2.350, 0, 0 
81671, 285797933, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
81671, 286816380, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
81671, 287836801, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
81671, 288855952, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
81671, 289876388, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
81671, 290942374, 0.000, 0.000, -454.994, 250.000, 0.000, 2.350, 0, 0 
81671, 291962214, 0.000, 0.000, -454.994, 250.000, 0.000, 2.350, 0, 0 
81671, 292982063, 0.000, 0.000, -454.967, 250.000, 0.000, 2.350, 0, 0 
81671, 294006547, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
81671, 295030251, 0.000, 0.000, -454.967, 250.000, 0.000, 2.350, 0, 0 
81671, 296054822, 0.000, 0.000, -454.967, 250.000, 0.000, 2.350, 0, 0 
81671, 297083575, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
81671, 298104968, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
81671, 299125403, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
81671, 300152104, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
81671, 301211958, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
81671, 302235683, 0.000, 0.000, -454.994, 250.000, 0.000, 2.350, 0, 0 
81671, 303279199, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
81671, 304298166, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
81671, 305314583, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
