Wed Nov 28 16:00:14 2018
Controller Frequency: 0.00 Hz
Time(s), Time(ns), x, v, f, xdes, vdes, cmd, LSB, LSF
83155, 473572216, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 475077537, 0.000, 0.000, -454.967, 250.000, 0.000, 2.350, 0, 0 
83155, 476191194, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 477266903, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 478287885, 0.000, 0.000, -454.967, 250.000, 0.000, 2.350, 0, 0 
83155, 479359294, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 480464182, 0.000, 0.000, -454.967, 250.000, 0.000, 2.350, 0, 0 
83155, 481571742, 0.000, 0.000, -454.967, 250.000, 0.000, 2.350, 0, 0 
83155, 482644524, 0.000, 0.000, -454.967, 250.000, 0.000, 2.350, 0, 0 
83155, 483669830, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 484731374, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 485752675, 0.000, 0.000, -454.994, 250.000, 0.000, 2.350, 0, 0 
83155, 486777898, 0.000, 0.000, -454.994, 250.000, 0.000, 2.350, 0, 0 
83155, 487800256, 0.000, 0.000, -454.994, 250.000, 0.000, 2.350, 0, 0 
83155, 488829932, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 489855075, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 490876794, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 491900360, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 492923380, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 493945066, 0.000, 0.000, -454.967, 250.000, 0.000, 2.350, 0, 0 
83155, 495003134, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 496025826, 0.000, 0.000, -454.967, 250.000, 0.000, 2.350, 0, 0 
83155, 497048587, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 498075248, 0.000, 0.000, -454.967, 250.000, 0.000, 2.350, 0, 0 
83155, 499097719, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 500116254, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 501142653, 0.000, 0.000, -454.967, 250.000, 0.000, 2.350, 0, 0 
83155, 502163797, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 503183239, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 504261792, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 505324759, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 506383280, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 507407188, 0.000, 0.000, -454.994, 250.000, 0.000, 2.350, 0, 0 
83155, 508431308, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 509453250, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 510472994, 0.000, 0.000, -454.967, 250.000, 0.000, 2.350, 0, 0 
83155, 511497813, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 512522541, 0.000, 0.000, -454.994, 250.000, 0.000, 2.350, 0, 0 
83155, 513546819, 0.000, 0.000, -454.967, 250.000, 0.000, 2.350, 0, 0 
83155, 514570348, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 515628898, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 516650614, 0.000, 0.000, -454.994, 250.000, 0.000, 2.350, 0, 0 
83155, 517670650, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 518694451, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 519715572, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 520739334, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 521760249, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 522785126, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 523808944, 0.000, 0.000, -454.967, 250.000, 0.000, 2.350, 0, 0 
83155, 524831027, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 525883052, 0.000, 0.000, -454.994, 250.000, 0.000, 2.350, 0, 0 
83155, 526901589, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 527922531, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 528942995, 0.000, 0.000, -454.967, 250.000, 0.000, 2.350, 0, 0 
83155, 529961552, 0.000, 0.000, -454.994, 250.000, 0.000, 2.350, 0, 0 
83155, 531033668, 0.000, 0.000, -454.967, 250.000, 0.000, 2.350, 0, 0 
83155, 532089779, 0.000, 0.000, -454.967, 250.000, 0.000, 2.350, 0, 0 
83155, 533160635, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 534181510, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 535200808, 0.000, 0.000, -454.967, 250.000, 0.000, 2.350, 0, 0 
83155, 536248975, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 537266750, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 538354953, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 539438271, 0.000, 0.000, -454.967, 250.000, 0.000, 2.350, 0, 0 
83155, 540455511, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 541472604, 0.000, 0.000, -454.967, 250.000, 0.000, 2.350, 0, 0 
83155, 542489258, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 543505834, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 544523584, 0.000, 0.000, -454.967, 250.000, 0.000, 2.350, 0, 0 
83155, 545607020, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 546661975, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 547679703, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 548765273, 0.000, 0.000, -454.967, 250.000, 0.000, 2.350, 0, 0 
83155, 549782281, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 550799190, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 551816048, 0.000, 0.000, -454.994, 250.000, 0.000, 2.350, 0, 0 
83155, 552831006, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 553847732, 0.000, 0.000, -454.967, 250.000, 0.000, 2.350, 0, 0 
83155, 554864600, 0.000, 0.000, -454.967, 250.000, 0.000, 2.350, 0, 0 
83155, 555881309, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 556937740, 0.000, 0.000, -454.967, 250.000, 0.000, 2.350, 0, 0 
83155, 557954820, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 558971301, 0.000, 0.000, -454.967, 250.000, 0.000, 2.350, 0, 0 
83155, 560059907, 0.000, 0.000, -454.967, 250.000, 0.000, 2.350, 0, 0 
83155, 561080642, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 562097613, 0.000, 0.000, -454.994, 250.000, 0.000, 2.350, 0, 0 
83155, 563114777, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 564134824, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 565151517, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 566168339, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 567223115, 0.000, 0.000, -454.967, 250.000, 0.000, 2.350, 0, 0 
83155, 568238381, 0.000, 0.000, -454.967, 250.000, 0.000, 2.350, 0, 0 
83155, 569255922, 0.000, 0.000, -454.967, 250.000, 0.000, 2.350, 0, 0 
83155, 570339625, 0.000, 0.000, -454.994, 250.000, 0.000, 2.350, 0, 0 
83155, 571355266, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 572372647, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 573389532, 0.000, 0.000, -454.994, 250.000, 0.000, 2.350, 0, 0 
83155, 574410240, 0.000, 0.000, -454.967, 250.000, 0.000, 2.350, 0, 0 
83155, 575426771, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 576448081, 0.000, 0.000, -454.967, 250.000, 0.000, 2.350, 0, 0 
83155, 577577880, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 578593513, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 579610856, 0.000, 0.000, -454.967, 250.000, 0.000, 2.350, 0, 0 
83155, 580627976, 0.000, 0.000, -454.994, 250.000, 0.000, 2.350, 0, 0 
83155, 581644637, 0.000, 0.000, -454.967, 250.000, 0.000, 2.350, 0, 0 
83155, 582661366, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 583678075, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 584695324, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 585711794, 0.000, 0.000, -454.967, 250.000, 0.000, 2.350, 0, 0 
83155, 586728847, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 587785653, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 588802531, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 589884518, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 590977958, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 591994726, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 593011750, 0.000, 0.000, -454.994, 250.000, 0.000, 2.350, 0, 0 
83155, 594027449, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 595085430, 0.000, 0.000, -454.994, 250.000, 0.000, 2.350, 0, 0 
83155, 596103552, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 597118427, 0.000, 0.000, -454.994, 250.000, 0.000, 2.350, 0, 0 
83155, 598172139, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 599225457, 0.000, 0.000, -454.994, 250.000, 0.000, 2.350, 0, 0 
83155, 600332766, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 601349921, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 602442062, 0.000, 0.000, -454.967, 250.000, 0.000, 2.350, 0, 0 
83155, 603529040, 0.000, 0.000, -454.967, 250.000, 0.000, 2.350, 0, 0 
83155, 604610641, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 605626233, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 606689766, 0.000, 0.000, -454.967, 250.000, 0.000, 2.350, 0, 0 
83155, 607705342, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 608758520, 0.000, 0.000, -454.994, 250.000, 0.000, 2.350, 0, 0 
83155, 609776406, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 610794245, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 611845405, 0.000, 0.000, -454.967, 250.000, 0.000, 2.350, 0, 0 
83155, 612932360, 0.000, 0.000, -454.994, 250.000, 0.000, 2.350, 0, 0 
83155, 613958635, 0.000, 0.000, -454.967, 250.000, 0.000, 2.350, 0, 0 
83155, 614977520, 0.000, 0.000, -454.994, 250.000, 0.000, 2.350, 0, 0 
83155, 616052597, 0.000, 0.000, -454.994, 250.000, 0.000, 2.350, 0, 0 
83155, 617099750, 0.000, 0.000, -454.967, 250.000, 0.000, 2.350, 0, 0 
83155, 618184412, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 619311067, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 620326422, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 621413905, 0.000, 0.000, -454.967, 250.000, 0.000, 2.350, 0, 0 
83155, 622501082, 0.000, 0.000, -454.994, 250.000, 0.000, 2.350, 0, 0 
83155, 623518423, 0.000, 0.000, -454.967, 250.000, 0.000, 2.350, 0, 0 
83155, 624538009, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 625556447, 0.000, 0.000, -454.953, 250.000, 0.000, 2.350, 0, 0 
83155, 626613614, 0.000, 0.000, -454.967, 250.000, 0.000, 2.350, 0, 0 
83155, 627702025, 0.000, 0.000, -454.967, 250.000, 0.000, 2.350, 0, 0 
83155, 628787051, 0.000, 0.000, -454.967, 250.000, 0.000, 2.350, 0, 0 
83155, 629842249, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 630860117, 0.000, 0.000, -454.994, 250.000, 0.000, 2.350, 0, 0 
83155, 631877985, 0.000, 0.000, -454.994, 250.000, 0.000, 2.350, 0, 0 
83155, 632895620, 0.000, 0.000, -454.967, 250.000, 0.000, 2.350, 0, 0 
83155, 633914217, 0.000, 0.000, -454.994, 250.000, 0.000, 2.350, 0, 0 
83155, 634962791, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 635979342, 0.000, 0.000, -454.967, 250.000, 0.000, 2.350, 0, 0 
83155, 636997156, 0.000, 0.000, -454.967, 250.000, 0.000, 2.350, 0, 0 
83155, 638016223, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 639098182, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 640179281, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 641260324, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 642346311, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 643448219, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 644465556, 0.000, 0.000, -454.994, 250.000, 0.000, 2.350, 0, 0 
83155, 645491121, 0.000, 0.000, -454.994, 250.000, 0.000, 2.350, 0, 0 
83155, 646508853, 0.000, 0.000, -454.994, 250.000, 0.000, 2.350, 0, 0 
83155, 647523861, 0.000, 0.000, -454.994, 250.000, 0.000, 2.350, 0, 0 
83155, 648541384, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 649628276, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 650735801, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
83155, 651754108, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
