Wed Nov 28 16:25:45 2018
Controller Frequency: 1.00 kHz
Time(s), Time(ns), x, v, f, xdes, vdes, cmd, LSB, LSF
84686, 97380634, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
84686, 98813435, 0.000, 0.000, -454.994, 250.000, 0.000, 2.350, 0, 0 
84686, 99844662, 0.000, 0.000, -454.967, 250.000, 0.000, 2.350, 0, 0 
84686, 100868239, 0.000, 0.000, -454.967, 250.000, 0.000, 2.350, 0, 0 
84686, 102106618, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
84686, 103322328, 0.000, 0.000, -454.994, 250.000, 0.000, 2.350, 0, 0 
84686, 104561727, 0.000, 0.000, -454.967, 250.000, 0.000, 2.350, 0, 0 
84686, 105884834, 0.000, 0.000, -454.967, 250.000, 0.000, 2.350, 0, 0 
84686, 107191683, 0.000, 0.000, -454.967, 250.000, 0.000, 2.350, 0, 0 
84686, 108414968, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
84686, 109626638, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
84686, 110728653, 0.000, 0.000, -454.994, 250.000, 0.000, 2.350, 0, 0 
84686, 111750528, 0.000, 0.000, -454.967, 250.000, 0.000, 2.350, 0, 0 
84686, 112770676, 0.000, 0.000, -454.994, 250.000, 0.000, 2.350, 0, 0 
84686, 113790408, 0.000, 0.000, -454.994, 250.000, 0.000, 2.350, 0, 0 
84686, 114813432, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
84686, 115833283, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
84686, 116854301, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
84686, 117876157, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
84686, 118897064, 0.000, 0.000, -454.994, 250.000, 0.000, 2.350, 0, 0 
84686, 119982229, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
84686, 121000398, 0.000, 0.000, -454.967, 250.000, 0.000, 2.350, 0, 0 
84686, 122020646, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
84686, 123039055, 0.000, 0.000, -454.967, 250.000, 0.000, 2.350, 0, 0 
84686, 124116260, 0.000, 0.000, -454.967, 250.000, 0.000, 2.350, 0, 0 
84686, 125187932, 0.000, 0.000, -454.967, 250.000, 0.000, 2.350, 0, 0 
84686, 126214697, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
84686, 127295037, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
84686, 128313052, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
84686, 129330675, 0.000, 0.000, -454.967, 250.000, 0.000, 2.350, 0, 0 
84686, 130406097, 0.000, 0.000, -454.981, 250.000, 0.000, 2.350, 0, 0 
