Thu Mar 28 12:09:18 2019
Controller Frequency: 1.00 kHz
Time(s), Time(ns), x, xa, v, va, v_unfilt, f, f_unfilt, xdes, vdes, cmd, LSB, LSF
2498852, 618846501, 0.000, 0.000, 0.000, 0.994, 0.000, 0.101, 1.011, 200.000, 0.000, 2.439, 0, 0 
2498852, 620321713, 0.000, 0.002, 0.000, 1.979, 0.000, 0.152, 1.516, 200.000, 0.000, 2.436, 0, 0 
2498852, 621543356, 0.000, 0.004, 0.000, 2.955, 0.000, 0.240, 1.390, 200.000, 0.000, 2.431, 0, 0 
2498852, 623019811, 0.000, 0.008, 0.000, 3.920, 0.000, 0.341, 0.885, 200.000, 0.000, 2.424, 0, 0 
2498852, 624303296, 0.000, 0.012, 0.000, 4.873, 0.000, 0.603, 2.115, 200.000, 0.000, 2.415, 0, 0 
2498852, 625766996, 0.000, 0.018, 0.000, 5.816, 0.000, 0.692, 2.115, 200.000, 0.000, 2.405, 0, 0 
2498852, 627001494, 0.001, 0.024, 0.093, 6.748, 0.932, 0.887, 1.958, 200.000, 0.000, 2.413, 0, 0 
2498852, 628210445, 0.001, 0.031, 0.000, 7.668, 0.000, 1.105, 2.021, 200.000, 0.000, 2.380, 0, 0 
2498852, 629309543, 0.002, 0.039, 0.198, 8.577, 1.046, 1.295, 1.958, 200.000, 0.000, 2.406, 0, 0 
2498852, 630320329, 0.002, 0.048, 0.093, 9.474, 0.000, 1.519, 2.178, 200.000, 0.000, 2.367, 0, 0 
2498852, 631331331, 0.002, 0.058, 0.198, 10.360, 0.000, 1.721, 2.241, 200.000, 0.000, 2.368, 1, 0 
2498852, 632382190, 0.003, 0.069, 0.307, 11.241, 1.094, 1.617, 0.033, 200.000, 0.000, 2.370, 1, 0 
2498852, 633393769, 0.005, 0.081, 0.311, 12.110, 1.137, 1.863, 1.768, 200.000, 0.000, 2.350, 1, 0 
2498852, 634408298, 0.006, 0.093, 0.421, 12.975, 1.134, 1.734, 1.831, 200.000, 0.000, 2.349, 1, 0 
2498852, 635412240, 0.006, 0.107, 0.421, 13.830, 0.000, 1.834, 1.958, 200.000, 0.000, 2.322, 1, 0 
2498852, 636443476, 0.007, 0.121, 0.646, 14.680, 1.115, 1.806, 1.958, 200.000, 0.000, 2.341, 1, 0 
2498852, 637485519, 0.008, 0.136, 0.645, 15.523, 1.104, 1.756, 1.610, 200.000, 0.000, 2.313, 1, 0 
