Tue Apr 16 15:59:28 2019
Controller Frequency: 1.00 kHz
Time(s), Time(ns), x, xa, v, va, v_unfilt, f, f_unfilt, xdes, vdes, cmd, LSB, LSF
353219, 910837412, 0.000, -0.005, 0.000, 0.000, 0.000, -0.000, -0.005, 0.005, 5.000, 2.500, 0, 0 
353219, 912247471, 0.000, -0.010, 0.000, -0.000, 0.000, 0.006, 0.058, 0.010, 5.005, 2.500, 0, 0 
353219, 913608403, 0.000, -0.015, 0.000, -0.000, 0.000, 0.002, 0.027, 0.015, 5.010, 2.500, 0, 0 
353219, 914788730, 0.000, -0.020, 0.000, -0.000, 0.000, 0.011, 0.058, 0.020, 5.015, 2.500, 0, 0 
353219, 915883872, 0.000, -0.025, 0.000, -0.000, 0.000, 0.014, 0.058, 0.025, 5.020, 2.500, 0, 0 
353219, 917098168, 0.000, -0.030, 0.000, -0.001, 0.000, 0.020, 0.058, 0.030, 5.025, 2.500, 0, 0 
353219, 918157128, 0.000, -0.035, 0.000, -0.001, 0.000, 0.026, 0.058, 0.035, 5.030, 2.500, 0, 0 
353219, 919184757, 0.000, -0.040, 0.000, -0.001, 0.000, 0.025, -0.005, 0.040, 5.035, 2.500, 0, 0 
353219, 920771568, 0.000, -0.045, 0.000, -0.002, 0.000, 0.031, -0.005, 0.045, 5.040, 2.500, 0, 0 
353219, 921974644, 0.000, -0.050, 0.000, -0.002, 0.000, 0.027, -0.036, 0.050, 5.045, 2.500, 0, 0 
353219, 923057534, 0.000, -0.055, 0.000, -0.002, 0.000, 0.027, -0.036, 0.055, 5.050, 2.500, 1, 0 
353219, 924305783, 0.000, -0.060, 0.000, -0.003, 0.000, 0.027, -0.005, 0.060, 5.055, 2.500, 1, 0 
353219, 925396253, 0.000, -0.065, 0.000, -0.003, 0.000, 0.014, -0.036, 0.065, 5.060, 2.500, 1, 0 
353219, 926452816, 0.000, -0.070, 0.000, -0.003, 0.000, 0.014, -0.005, 0.070, 5.065, 2.500, 1, 0 
353219, 927470529, 0.000, -0.076, 0.000, -0.003, 0.000, 0.008, 0.027, 0.076, 5.070, 2.500, 1, 0 
353219, 928619649, 0.000, -0.081, 0.000, -0.002, 0.000, 0.002, 0.027, 0.081, 5.075, 2.500, 1, 0 
353219, 930014144, 0.000, -0.086, 0.000, -0.002, 0.000, 0.002, 0.058, 0.086, 5.080, 2.500, 1, 0 
353219, 931062207, 0.000, -0.091, 0.000, -0.002, 0.000, -0.002, 0.058, 0.091, 5.085, 2.500, 1, 0 
353219, 932075457, 0.000, -0.096, 0.000, -0.001, 0.000, 0.008, 0.090, 0.096, 5.091, 2.500, 1, 0 
353219, 933088394, 0.000, -0.101, 0.000, -0.001, 0.000, 0.011, 0.058, 0.101, 5.096, 2.500, 1, 0 
353219, 934102285, 0.000, -0.106, 0.000, -0.001, 0.000, 0.030, 0.121, 0.106, 5.101, 2.500, 1, 0 
353219, 935282111, 0.000, -0.111, 0.000, -0.002, 0.000, 0.027, -0.005, 0.111, 5.106, 2.500, 1, 0 
353219, 936352430, 0.000, -0.116, 0.000, -0.002, 0.000, 0.046, 0.058, 0.116, 5.111, 2.500, 1, 0 
353219, 937426014, 0.000, -0.121, 0.000, -0.002, 0.000, 0.039, -0.036, 0.121, 5.116, 2.500, 1, 0 
353219, 938508563, 0.000, -0.127, 0.000, -0.003, 0.000, 0.049, -0.005, 0.127, 5.121, 2.500, 1, 0 
353219, 939593283, 0.000, -0.132, 0.000, -0.003, 0.000, 0.039, -0.036, 0.132, 5.126, 2.500, 1, 0 
353219, 940691055, 0.000, -0.137, 0.000, -0.003, 0.000, 0.033, -0.068, 0.137, 5.131, 2.500, 1, 0 
353219, 941735420, 0.000, -0.142, 0.000, -0.003, 0.000, 0.030, -0.005, 0.142, 5.136, 2.500, 1, 0 
353219, 942828036, 0.000, -0.147, 0.000, -0.003, 0.000, 0.017, -0.005, 0.147, 5.142, 2.500, 1, 0 
353219, 943903133, 0.000, -0.152, 0.000, -0.003, 0.000, 0.008, -0.005, 0.152, 5.147, 2.500, 1, 0 
353219, 944982049, 0.000, -0.157, 0.000, -0.002, 0.000, 0.005, 0.027, 0.157, 5.152, 2.500, 1, 0 
353219, 946177872, 0.000, -0.163, 0.000, -0.001, 0.000, -0.005, 0.058, 0.162, 5.157, 2.500, 1, 0 
353219, 947283023, 0.000, -0.168, 0.000, -0.000, 0.000, -0.008, -0.005, 0.168, 5.162, 2.500, 1, 0 
353219, 948362424, 0.000, -0.173, 0.000, 0.000, 0.000, -0.005, 0.027, 0.173, 5.167, 2.500, 1, 0 
353219, 949431809, 0.000, -0.178, 0.000, 0.001, 0.000, -0.002, 0.027, 0.178, 5.172, 2.500, 1, 0 
353219, 950516299, 0.000, -0.183, 0.000, 0.002, 0.000, 0.008, 0.090, 0.183, 5.178, 2.500, 1, 0 
353219, 951597837, 0.000, -0.188, 0.000, 0.002, 0.000, 0.005, -0.005, 0.188, 5.183, 2.500, 1, 0 
353219, 952698383, 0.000, -0.194, 0.000, 0.003, 0.000, 0.021, -0.005, 0.194, 5.188, 2.500, 1, 0 
353219, 953759029, 0.000, -0.199, 0.000, 0.003, 0.000, 0.017, -0.036, 0.199, 5.193, 2.500, 1, 0 
353219, 954772889, 0.000, -0.204, 0.000, 0.004, 0.000, 0.017, -0.036, 0.204, 5.198, 2.500, 1, 0 
353219, 955796950, 0.000, -0.209, 0.000, 0.004, 0.000, 0.014, -0.036, 0.209, 5.203, 2.500, 1, 0 
353219, 957566545, 0.000, -0.214, 0.000, 0.005, 0.000, 0.011, -0.005, 0.214, 5.209, 2.500, 1, 0 
353219, 958667832, 0.000, -0.220, 0.000, 0.006, 0.000, -0.005, -0.068, 0.220, 5.214, 2.500, 1, 0 
353219, 959725713, 0.000, -0.225, 0.000, 0.007, 0.000, -0.002, -0.036, 0.225, 5.219, 2.500, 1, 0 
353219, 960739810, 0.000, -0.230, 0.000, 0.008, 0.000, -0.005, 0.027, 0.230, 5.224, 2.500, 1, 0 
353219, 961754175, 0.000, -0.235, 0.000, 0.009, 0.000, -0.011, 0.027, 0.235, 5.229, 2.500, 1, 0 
353219, 962772408, 0.000, -0.240, 0.000, 0.010, 0.000, -0.017, 0.027, 0.240, 5.235, 2.500, 1, 0 
353219, 963789362, 0.000, -0.246, 0.000, 0.011, 0.000, -0.008, 0.090, 0.246, 5.240, 2.500, 1, 0 
